scenario,seed,method,false_alarm,detected,detection_delay_trials,pre_shift_rmse,initial_shifted_rmse,target_rmse,recovered,recovery_trials,final_rmse
friction_payload_gain_shift,6601,frozen,False,True,2,0.13466797859043161,0.11233943417578492,0.14,True,4,0.11117150301019646
friction_payload_gain_shift,6602,frozen,False,True,2,0.1339682917969799,0.15370849498715844,0.14,True,6,0.16410688352729533
friction_payload_gain_shift,6603,frozen,False,True,2,0.11687031114017447,0.13470313812508067,0.14,True,4,0.13817139991257593
friction_payload_gain_shift,6604,frozen,False,True,2,0.10281873635572661,0.13193265347813682,0.1336643572624446,True,5,0.13029745871848597
friction_payload_gain_shift,6605,frozen,False,True,2,0.10151976809831599,0.13875407489066632,0.1319756985278108,True,6,0.1281650851399973
friction_payload_gain_shift,6606,frozen,False,True,2,0.13173594465482064,0.14104765582478715,0.14,True,6,0.15007858768028282
friction_payload_gain_shift,6607,frozen,False,True,5,0.10911553407556625,0.12672275202537725,0.14,True,4,0.12037352589387464
friction_payload_gain_shift,6608,frozen,False,True,2,0.13166730496508727,0.15481461118925108,0.14,True,7,0.14832408324915294
friction_payload_gain_shift,6609,frozen,False,True,2,0.13889617364178913,0.1050962963675235,0.14,True,4,0.1010222814122901
friction_payload_gain_shift,6610,frozen,False,True,2,0.11921882764552215,0.13932416705359743,0.14,True,5,0.1340707640063758
friction_payload_gain_shift,6611,frozen,False,True,2,0.1175749571431924,0.15687636367970068,0.14,True,7,0.16324750128922458
friction_payload_gain_shift,6612,frozen,False,True,2,0.11178345569931053,0.13229139081828006,0.14,True,5,0.1304022287430592
friction_payload_gain_shift,6613,frozen,False,True,1,0.12010569440611489,0.10806046116309444,0.14,True,5,0.11771796951157566
friction_payload_gain_shift,6614,frozen,False,True,2,0.12497556254632593,0.14777083125777654,0.14,True,6,0.14538460091876323
friction_payload_gain_shift,6615,frozen,False,True,2,0.10618659367764366,0.13465386401837715,0.13804257178093676,True,5,0.127245476343329
friction_payload_gain_shift,6616,frozen,False,True,2,0.105480054993015,0.15433149443303396,0.13712407149091949,True,8,0.15531364377371862
friction_payload_gain_shift,6617,frozen,False,True,2,0.12342824334175327,0.15154884736376717,0.14,True,6,0.15183454916643827
friction_payload_gain_shift,6618,frozen,False,True,2,0.13902284636075457,0.12317415142592056,0.14,True,4,0.11978109605364554
friction_payload_gain_shift,6619,frozen,False,True,2,0.10407452474213545,0.12929787368558124,0.1352968821647761,True,5,0.12346666462840433
friction_payload_gain_shift,6620,frozen,False,True,2,0.10976405573979348,0.12894358101785702,0.14,True,5,0.12351914836285283
