map,seed,method,success,collision,arrival_time_s,completion_time_s,path_length_m,arrival_x,arrival_y,goal_distance_at_arrival_m,final_x,final_y,goal_distance_m,stall_recovery_attempts,regular_recovery_attempts,emergency_recovery_attempts,velocity_feedback_updates,height_rate_guard_updates,serious_safety_event
open_field,8001,B1_dense,True,False,14.8,14.8,2.082520099611429,1.9581451416015625,-0.030534744262695312,0.24377477953659715,1.8126449584960938,-0.06202125549316406,0.39228887864868334,0,0,0,128,42,False
open_field,8002,B1_dense,True,False,18.3,18.3,2.2640653518028557,1.9871978759765625,0.0813150405883789,0.22780886684845317,1.9549827575683594,0.10187625885009766,0.26535301243079484,1,1,0,134,48,False
open_field,8003,B1_dense,True,False,14.6,14.6,2.05742270888004,1.9623908996582031,-0.06470394134521484,0.24626141514829963,1.850555419921875,-0.10785770416259766,0.36571136008224253,0,0,0,126,51,False
open_field,8004,B1_dense,True,False,13.6,13.6,2.0909428590530297,1.9671287536621094,-0.05493279919028282,0.23926267949231564,1.8999748229980469,-0.09664193540811539,0.3152059176387394,0,0,0,116,30,False
open_field,8005,B1_dense,True,False,13.5,13.5,2.0476992270705523,1.9609718322753906,0.04203224182128906,0.24269564132531798,1.9164543151855469,0.061806678771972656,0.29020375758718064,0,0,0,115,45,False
open_field,8006,B1_dense,True,False,11.5,11.5,2.036011788819451,1.973419189453125,0.029636383056640625,0.22851078510380834,1.8963165283203125,0.024034500122070312,0.3046330713621643,0,0,0,95,30,False
open_field,8007,B1_dense,True,False,21.1,21.1,2.319947651392795,1.9717559814453125,0.05182838439941406,0.23405450953879534,1.8788948059082031,0.04278373718261719,0.3239428866946177,1,1,0,162,66,False
open_field,8008,B1_dense,True,False,14.8,14.8,2.054003746030503,1.9523429870605469,-0.017852783203125,0.2482996534959127,1.8836994171142578,0.0024623870849609375,0.3163101675318335,0,0,0,128,45,False
open_field,8009,B1_dense,True,False,16.8,16.8,2.1725075248104986,1.9598960876464844,-0.016040802001953125,0.24063914074050935,1.9020252227783203,-0.05432319641113281,0.30288608011698437,1,0,1,124,57,False
open_field,8010,B1_dense,True,False,17.900000000000002,17.900000000000002,2.238821902355994,1.9569664001464844,0.019171714782714844,0.24378860782544495,1.890512466430664,0.009029865264892578,0.30961923696943167,2,0,2,111,62,False
open_field,8011,B1_dense,True,False,15.8,15.8,2.1956723418916226,1.955404281616211,0.03524481877684593,0.24712195916651084,1.8688468933105469,0.06329131126403809,0.3371471046169577,1,1,0,109,45,False
open_field,8012,B1_dense,True,False,19.1,19.1,2.262807583909307,1.9706802368164062,0.006084442138671875,0.22940046691913782,1.8968925476074219,-0.013730049133300781,0.3034182623790499,2,0,2,122,59,False
open_field,8013,B1_dense,True,False,16.8,16.8,2.213209662717418,1.9553718566894531,0.04187774658203125,0.24818677273044665,1.8754692077636719,0.06861686706542969,0.33170545602298096,1,1,0,119,57,False
open_field,8014,B1_dense,True,False,14.700000000000001,14.700000000000001,2.1060762099878048,1.9722042083740234,0.0528717041015625,0.23385110599932726,1.9143791198730469,0.05777549743652344,0.29140572277931187,0,0,0,127,45,False
open_field,8015,B1_dense,True,False,16.1,16.1,2.2311913571247715,1.955270767211914,-0.019544601440429688,0.24550842923718624,1.869131088256836,-0.05888938903808594,0.3360687383547968,1,1,0,112,23,False
open_field,8016,B1_dense,True,False,14.8,14.8,2.131735562252288,1.9697208404541016,-0.04363059997558594,0.23437602389193957,1.8893089294433594,-0.07768630981445312,0.3202563099397399,1,1,0,99,54,False
open_field,8017,B1_dense,True,False,10.4,10.4,2.0051076659874525,1.9511337280273438,-0.014139175415039062,0.24926760240148627,1.8789310455322266,-0.031154632568359375,0.3225769437723328,0,0,0,84,12,False
open_field,8018,B1_dense,True,False,10.200000000000001,10.200000000000001,2.015427135891514,1.9590415954589844,-0.028519127517938614,0.24264025501415934,1.8819694519042969,-0.0607149600982666,0.32377420512108057,0,0,0,82,9,False
open_field,8019,B1_dense,True,False,17.2,17.2,2.155489401135128,1.9610729217529297,0.008769989013671875,0.23908797842422289,1.8913249969482422,-0.020702362060546875,0.3093684620382123,1,0,1,128,51,False
open_field,8020,B1_dense,True,False,10.1,10.1,2.017143949691672,1.9709625244140625,-0.007657051086425781,0.22916543293899963,1.9303340911865234,0.011816024780273438,0.26992465766914736,0,0,0,81,21,False
open_field,8021,B1_dense,True,False,11.8,11.8,2.05035567865707,1.958211898803711,-0.03314781188964844,0.24404971483937146,1.8832473754882812,-0.0727996826171875,0.3250107981655767,0,0,0,98,15,False
open_field,8022,B1_dense,True,False,15.4,15.4,2.103616198131931,1.9555253982543945,-0.030355453491210938,0.24635195240819496,1.9360466003417969,-0.013187408447265625,0.2642826232136313,0,0,0,134,51,False
open_field,8023,B1_dense,True,False,13.4,13.4,2.089266717841383,1.9615755081176758,0.06728076934814453,0.24773562572513222,1.8895387649536133,0.0745849609375,0.3192946834267309,0,0,0,114,36,False
open_field,8024,B1_dense,True,False,15.9,15.9,2.213956649415195,1.966329574584961,0.031219959259033203,0.235746799702098,1.8998823165893555,0.0528264045715332,0.30473144392354273,1,1,0,110,42,False
open_field,8025,B1_dense,True,False,11.1,11.1,2.0270356383625767,1.9626569747924805,0.019887395203113556,0.23817476798061998,1.9235620498657227,-0.007906222715973854,0.27655098740029094,0,0,0,91,18,False
open_field,8026,B1_dense,True,False,15.4,15.4,2.127039355887973,1.9730195999145508,0.028484344482421875,0.22876070445674002,1.886612892150879,0.033614158630371094,0.3151846935155077,0,0,0,134,33,False
open_field,8027,B1_dense,True,False,9.6,9.6,2.0180286144895945,1.9737720489501953,-0.033664703369140625,0.22871903744359615,1.9022607803344727,-0.05729866027832031,0.30320253857236684,0,0,0,76,0,False
open_field,8028,B1_dense,True,False,12.700000000000001,12.700000000000001,2.0258248776663095,1.963423728942871,-0.0381317138671875,0.23962963011644714,1.889007568359375,-0.07276153564453125,0.3193908790292849,0,0,0,107,45,False
open_field,8029,B1_dense,True,False,14.6,14.6,2.053630155038263,1.9572991132736206,0.008586883544921875,0.24285274342033894,1.9048514366149902,0.029720306396484375,0.29664114866372826,0,0,0,126,51,False
open_field,8030,B1_dense,True,False,14.9,14.9,2.217356501649192,1.9665464162826538,0.0060882568359375,0.23353295832017457,1.9198167324066162,-0.017480850219726562,0.28072805980826054,2,0,2,81,39,False
open_field,8031,B1_dense,True,False,14.3,14.3,2.056354623666266,1.962285041809082,-0.07608222961425781,0.24959348351026037,1.8906821012496948,-0.1099386215209961,0.32827437150840905,0,0,0,123,54,False
open_field,8032,B1_dense,True,False,25.900000000000002,25.900000000000002,2.3753302272598376,1.957952857017517,-0.016768544912338257,0.24262729344502798,1.9599534273147583,-0.016202254220843315,0.2405927473964416,1,1,0,210,57,False
open_field,8033,B1_dense,True,False,16.6,16.6,2.111920546643887,1.9569270610809326,-0.007455348968505859,0.2431872444496112,1.8931753635406494,-0.027531147003173828,0.3080573349130371,0,0,0,146,51,False
open_field,8034,B1_dense,True,False,11.9,11.9,2.044893750513438,1.9673044681549072,-0.033608436584472656,0.2351100541242828,1.8998602628707886,-0.06566905975341797,0.3072397878089526,0,0,0,99,36,False
open_field,8035,B1_dense,True,False,12.0,12.0,2.0394841772213113,1.9679538011550903,0.0019054412841796875,0.2320540219536367,1.8904005289077759,-0.020275115966796875,0.31026265135857406,0,0,0,100,39,False
open_field,8036,B1_dense,True,False,15.0,15.0,2.068155293352902,1.9729118347167969,-0.04862213134765625,0.23223511032675528,1.9222626686096191,-0.03371620178222656,0.27977635266489226,0,0,0,130,36,False
open_field,8037,B1_dense,True,False,12.3,12.3,2.048550587503996,1.9664320945739746,0.08474063873291016,0.24846517320937037,1.9399175643920898,0.11493110656738281,0.2843449183096929,0,0,0,103,30,False
open_field,8038,B1_dense,True,False,21.2,21.2,2.2599578958070197,1.965369701385498,0.05582094192504883,0.24117909234701526,1.9357938766479492,0.0714406967163086,0.27369444415996236,1,1,0,163,39,False
open_field,8039,B1_dense,True,False,10.4,10.4,2.018379344692221,1.960024356842041,0.048516713082790375,0.24483092279659846,1.8944640159606934,0.04994714632630348,0.30959159382807655,0,0,0,84,15,False
open_field,8040,B1_dense,True,False,16.0,16.0,2.1024626132348203,1.982987880706787,0.0734262466430664,0.2290975198822985,1.965254783630371,0.08837127685546875,0.2508282264448917,0,0,0,140,48,False
open_field,8041,B1_dense,True,False,18.8,18.8,2.3381888450530823,1.9653148651123047,0.048648834228515625,0.23967440749702382,1.8932466506958008,0.04809379577636719,0.3105006127232651,2,2,0,109,57,False
open_field,8042,B1_dense,True,False,15.6,15.6,2.0503169382682245,1.9562482833862305,-0.022314071655273438,0.24477094832924143,1.8927698135375977,-0.06298828125,0.3136206483134548,0,0,0,136,69,False
open_field,8043,B1_dense,True,False,16.3,16.3,2.101042435177078,1.9616641998291016,0.017314910888671875,0.2389639298768439,1.8822603225708008,-0.0006542205810546875,0.3177403509429993,0,0,0,143,48,False
