axis,raw_rmse,m0_rmse,m1_rmse,m1_vs_raw_reduction,m1_vs_m0_reduction
vx,0.048785162318831524,0.02576019189507996,0.025869540678363827,0.4697252310180806,-0.00424487456185263
vy,0.0845909205522955,0.06457197084838899,0.025692881545602286,0.6962690395393141,0.6021047335549415
wz,0.05960332508601762,0.037604887588799256,0.03723219799362145,0.3753335415450543,0.0099106690399684
