scenario,no_shift_false_alarm_rate,no_shift_false_alarm_ci95_lower,no_shift_false_alarm_ci95_upper,detection_rate,detection_ci95_lower,p95_detection_delay_trials,p95_recovery_trials
confirm_gain_recoupling,0.0,0.0,0.04994408370585467,1.0,0.9500559162941453,4.0,6.0
confirm_friction_payload,0.0,0.0,0.04994408370585467,1.0,0.9500559162941453,2.0,6.0
confirm_mixed_context,0.0,0.0,0.04994408370585467,1.0,0.9500559162941453,2.0,5.0
confirm_payload_com_only,0.0,0.0,0.04994408370585467,0.9861111111111112,0.9250286891460809,4.0,6.0
