scenario,tier,seed,validation_rows,raw_rmse,calibrated_rmse,absolute_improvement,relative_reduction
tier_a_deadzone,A,5301,8,0.14600239586688255,0.09827423236918396,0.04772816349769858,0.32689986499409684
tier_a_deadzone,A,5302,8,0.13767185503487123,0.10171996559609396,0.035951889438777265,0.2611418973738019
tier_a_deadzone,A,5303,8,0.16572861424904153,0.11445336282617166,0.05127525142286987,0.3093928689092772
tier_a_deadzone,A,5304,8,0.14836172794853647,0.10040052382741234,0.04796120412112413,0.3232720782125216
tier_a_deadzone,A,5305,8,0.15478679876894855,0.10257573213008842,0.05221106663886013,0.33730955775366867
tier_a_deadzone,A,5306,8,0.15464936965868084,0.10471413394715512,0.04993523571152572,0.32289323792095226
tier_a_deadzone,A,5307,8,0.14225610959320328,0.0930261766599115,0.04922993293329178,0.3460655087086951
tier_a_deadzone,A,5308,8,0.14415651024381088,0.09626986726554744,0.047886642978263436,0.332185087564017
tier_a_deadzone,A,5309,8,0.15449722030917534,0.1140282571302921,0.04046896317888324,0.26193974945243625
tier_a_deadzone,A,5310,8,0.1518507373418648,0.10501568955656404,0.04683504778530076,0.30842818813490525
tier_a_deadzone,A,5311,8,0.14590805466764942,0.10152499183058505,0.04438306283706436,0.30418514548878384
tier_a_deadzone,A,5312,8,0.16497387263628382,0.10735353358725068,0.057620339049033145,0.3492694820595508
tier_a_deadzone,A,5313,8,0.14622914150893204,0.09474261218628768,0.05148652932264436,0.35209486147123026
tier_a_deadzone,A,5314,8,0.14802897949386074,0.10477899942155668,0.04324998007230406,0.2921723855706091
tier_a_deadzone,A,5315,8,0.14540991580695284,0.10802964121506836,0.03738027459188448,0.25706826377308944
tier_a_deadzone,A,5316,8,0.15346050013292833,0.104774393978997,0.04868610615393133,0.31725496861902025
tier_a_deadzone,A,5317,8,0.15729399509722464,0.10072945323908351,0.056564541858141124,0.3596103069489598
tier_a_deadzone,A,5318,8,0.14121243553235982,0.10108006237461713,0.04013237315774269,0.2841985764670568
tier_a_deadzone,A,5319,8,0.16096851127407463,0.10566143385241007,0.05530707742166456,0.34358941996733394
tier_a_deadzone,A,5320,8,0.14356043491543694,0.09408040818194563,0.049480026733491306,0.34466339394023915
