scenario,seed,method,false_alarm,detected,detection_delay_trials,pre_shift_rmse,initial_shifted_rmse,target_rmse,recovered,recovery_trials,final_rmse
gain_coupling_shift,6601,frozen,False,True,2,0.13638612266992228,0.1636596495537151,0.14,True,8,0.17430285925048022
gain_coupling_shift,6602,frozen,False,True,2,0.14377331040929964,0.15459326393167036,0.14,True,6,0.15505140628846587
gain_coupling_shift,6603,frozen,False,True,2,0.13160060917391875,0.12955181404708896,0.14,True,4,0.13730788745831904
gain_coupling_shift,6604,frozen,False,True,2,0.12067506126910378,0.12384828459523568,0.14,True,4,0.12774809145137275
gain_coupling_shift,6605,frozen,False,True,2,0.12444520368453756,0.1277154229108361,0.14,True,4,0.1339613982059436
gain_coupling_shift,6606,frozen,False,True,2,0.1333586343310137,0.13756355689007918,0.14,True,4,0.13047019478771002
gain_coupling_shift,6607,frozen,False,True,2,0.12872520741868484,0.1243716430314847,0.14,True,4,0.12569940838481425
gain_coupling_shift,6608,frozen,False,True,2,0.13798376045687058,0.1400429196237372,0.14,True,6,0.15128622733663066
gain_coupling_shift,6609,frozen,False,True,2,0.14422463196635063,0.1499034936556521,0.14,True,6,0.1611525153510992
gain_coupling_shift,6610,frozen,False,True,2,0.12719431097150521,0.13821428618329532,0.14,True,5,0.14574250710274728
gain_coupling_shift,6611,frozen,False,True,2,0.1337142809789954,0.15327209012511242,0.14,True,6,0.1662117303333188
gain_coupling_shift,6612,frozen,False,True,2,0.12232786395742731,0.1391649522855797,0.14,True,5,0.14599420910811362
gain_coupling_shift,6613,frozen,False,True,1,0.12809299637706378,0.12120005907338362,0.14,True,4,0.12628394324411063
gain_coupling_shift,6614,frozen,False,True,2,0.052876720326445116,0.13987849338890093,0.075,False,13,0.1506837582447189
gain_coupling_shift,6615,frozen,False,True,2,0.12690914907134715,0.1290033410035968,0.14,True,4,0.13794679802596574
gain_coupling_shift,6616,frozen,False,True,2,0.13159518102750214,0.14086841271023046,0.14,True,6,0.1464430602013885
gain_coupling_shift,6617,frozen,False,True,4,0.12486880029126449,0.11932031465481494,0.14,True,4,0.11989553770488598
gain_coupling_shift,6618,frozen,False,True,4,0.14144157487192738,0.1541926784630728,0.14,True,6,0.16155882989120907
gain_coupling_shift,6619,frozen,False,True,2,0.12456135975008933,0.1301580754313619,0.14,True,4,0.1360174567815738
gain_coupling_shift,6620,frozen,False,True,2,0.11795226661963328,0.11613028718229618,0.14,True,4,0.11952294772097158
