schema_version,seq,wall_time,ros_time,status,global_frame,base_frame,robot_x,robot_y,robot_yaw,goal_x,goal_y,goal_frame,goal_raw_x,goal_raw_y,goal_in_base_x,goal_in_base_y,target_dist,target_angle,obs_dim,coverage_count,empty_group_count,min_pooled_range,normalized_action_linear,normalized_action_angular,cmd_published_linear,cmd_published_angular,experiment_id,experiment_profile,compensation_mode,action_mapping_mode,accel_limiter_mode,cmd_target_linear,cmd_target_angular,cmd_desired_linear,cmd_desired_angular,cmd_compensated_raw_linear,cmd_compensated_raw_angular,compensation_linear_accepted,compensation_angular_accepted,compensation_linear_reason,compensation_angular_reason,front_straightening_active,scan_valid_beams,front_safety_active,front_safety_hard_brake,front_obstacle_distance,front_stop_threshold
3,0,2026-08-21T03:24:54.813,1787253894.813055277,NAVIGATING,odom,base_link,0.000176,0.000264,0.000201,4.000191,0.001285,odom,4.000191,0.001285,4.000015,0.000217,4.000015,0.000054,548,89,1,1.075928,0.990152,-0.393769,0.095040,-0.095040,,,off,range,last_cmd_dt,0.894091,-0.499192,0.095040,-0.095040,nan,nan,0,0,off,off,0,955,0,0,inf,0.790524
3,1,2026-08-21T03:24:55.330,1787253895.330924034,NAVIGATING,odom,base_link,0.000177,0.000242,-0.000079,4.000191,0.001285,odom,4.000191,0.001285,4.000014,0.001359,4.000014,0.000340,548,89,1,1.074783,0.990139,-0.400593,0.894083,-0.503003,,,off,range,last_cmd_dt,0.894083,-0.503003,0.894083,-0.503003,nan,nan,0,0,off,off,0,967,0,0,inf,0.790778
3,2,2026-08-21T03:24:55.850,1787253895.850249290,NAVIGATING,odom,base_link,0.000080,0.000213,-0.000160,4.000191,0.001285,odom,4.000191,0.001285,4.000111,0.001710,4.000111,0.000427,548,89,1,1.084744,0.990774,-0.408450,0.894464,-0.507391,,,off,range,last_cmd_dt,0.894464,-0.507391,0.894464,-0.507391,nan,nan,0,0,off,off,0,960,0,0,inf,0.790702
3,3,2026-08-21T03:24:56.370,1787253896.370070696,NAVIGATING,odom,base_link,0.000044,0.000274,-0.000235,4.000191,0.001285,odom,4.000191,0.001285,4.000147,0.001952,4.000147,0.000488,548,90,0,1.075572,0.990099,-0.371687,0.894059,-0.486860,,,off,range,last_cmd_dt,0.894059,-0.486860,0.894059,-0.486860,nan,nan,0,0,off,off,0,975,0,0,inf,0.790527
3,4,2026-08-21T03:24:56.890,1787253896.890266180,NAVIGATING,odom,base_link,-0.000072,0.000270,-0.000412,4.000191,0.001285,odom,4.000191,0.001285,4.000262,0.002665,4.000263,0.000666,548,90,0,1.087361,0.990785,-0.355633,0.894471,-0.477894,,,off,range,last_cmd_dt,0.894471,-0.477894,0.894471,-0.477894,nan,nan,0,0,off,off,0,961,0,0,inf,0.790683
3,5,2026-08-21T03:24:57.411,1787253897.411515951,NAVIGATING,odom,base_link,-0.000055,0.000200,-0.000459,4.000191,0.001285,odom,4.000191,0.001285,4.000245,0.002923,4.000246,0.000731,548,90,0,1.074405,0.990073,-0.381790,0.894044,-0.492502,,,off,range,last_cmd_dt,0.894044,-0.492502,0.894044,-0.492502,nan,nan,0,0,off,off,0,952,0,0,inf,0.790635
3,6,2026-08-21T03:24:57.930,1787253897.930320024,NAVIGATING,odom,base_link,-0.000046,0.000151,-0.000621,4.000191,0.001285,odom,4.000191,0.001285,4.000236,0.003618,4.000237,0.000904,548,88,2,1.075473,0.989986,-0.386637,0.893991,-0.495209,,,off,range,last_cmd_dt,0.893991,-0.495209,0.893991,-0.495209,nan,nan,0,0,off,off,0,953,0,0,inf,0.790567
3,7,2026-08-21T03:24:58.451,1787253898.451525211,NAVIGATING,odom,base_link,-0.000043,0.000126,-0.000269,4.000191,0.001285,odom,4.000191,0.001285,4.000234,0.002235,4.000234,0.000559,548,89,1,1.076389,0.989987,-0.386170,0.893992,-0.494948,,,off,range,last_cmd_dt,0.893992,-0.494948,0.893992,-0.494948,nan,nan,0,0,off,off,0,957,0,0,inf,0.790675
3,8,2026-08-21T03:24:58.970,1787253898.970228195,NAVIGATING,odom,base_link,-0.000092,0.000153,-0.000266,4.000191,0.001285,odom,4.000191,0.001285,4.000282,0.002195,4.000282,0.000549,548,90,0,1.079511,0.990500,-0.391685,0.894300,-0.498028,,,off,range,last_cmd_dt,0.894300,-0.498028,0.894300,-0.498028,nan,nan,0,0,off,off,0,960,0,0,inf,0.790611
3,9,2026-08-21T03:24:59.491,1787253899.491643429,NAVIGATING,odom,base_link,-0.000104,0.000158,-0.000021,4.000191,0.001285,odom,4.000191,0.001285,4.000295,0.001212,4.000295,0.000303,548,90,0,1.079458,0.990335,-0.412413,0.894201,-0.509605,,,off,range,last_cmd_dt,0.894201,-0.509605,0.894201,-0.509605,nan,nan,0,0,off,off,0,979,0,0,inf,0.790642
3,10,2026-08-21T03:25:00.010,1787253900.010312080,NAVIGATING,odom,base_link,-0.000153,0.000145,0.000258,4.000191,0.001285,odom,4.000191,0.001285,4.000344,0.000108,4.000344,0.000027,548,88,2,1.084088,0.990817,-0.407159,0.894490,-0.506670,,,off,range,last_cmd_dt,0.894490,-0.506670,0.894490,-0.506670,nan,nan,0,0,off,off,0,958,0,0,inf,0.790691
3,11,2026-08-21T03:25:00.530,1787253900.530663490,NAVIGATING,odom,base_link,-0.000142,0.000194,0.000263,4.000191,0.001285,odom,4.000191,0.001285,4.000333,0.000040,4.000333,0.000010,548,90,0,1.079836,0.990426,-0.382757,0.894255,-0.493042,,,off,range,last_cmd_dt,0.894255,-0.493042,0.894255,-0.493042,nan,nan,0,0,off,off,0,972,0,0,inf,0.790593
3,12,2026-08-21T03:25:01.050,1787253901.050499678,NAVIGATING,odom,base_link,-0.000085,0.000115,0.000538,4.000191,0.001285,odom,4.000191,0.001285,4.000276,-0.000984,4.000276,-0.000246,548,89,1,1.081445,0.990401,-0.368008,0.894240,-0.484805,,,off,range,last_cmd_dt,0.894240,-0.484805,0.894240,-0.484805,nan,nan,0,0,off,off,0,959,0,0,inf,0.790636
3,13,2026-08-21T03:25:01.572,1787253901.572175980,NAVIGATING,odom,base_link,0.000005,0.000133,0.000413,4.000191,0.001285,odom,4.000191,0.001285,4.000185,-0.000500,4.000185,-0.000125,548,90,0,1.081345,0.990572,-0.392483,0.894343,-0.498474,,,off,range,last_cmd_dt,0.894343,-0.498474,0.894343,-0.498474,nan,nan,0,0,off,off,0,980,0,0,inf,0.790642
3,14,2026-08-21T03:25:02.090,1787253902.090717316,NAVIGATING,odom,base_link,0.000022,0.000135,0.000580,4.000191,0.001285,odom,4.000191,0.001285,4.000168,-0.001171,4.000168,-0.000293,548,89,1,1.083890,0.990475,-0.381151,0.894284,-0.492145,,,off,range,last_cmd_dt,0.894284,-0.492145,0.894284,-0.492145,nan,nan,0,0,off,off,0,960,0,0,inf,0.790605
3,15,2026-08-21T03:25:02.610,1787253902.610194206,NAVIGATING,odom,base_link,0.000073,0.000176,0.001026,4.000191,0.001285,odom,4.000191,0.001285,4.000117,-0.002995,4.000118,-0.000749,548,90,0,1.077710,0.990519,-0.380884,0.894311,-0.491996,,,off,range,last_cmd_dt,0.894311,-0.491996,0.894311,-0.491996,nan,nan,0,0,off,off,0,965,0,0,inf,0.790616
3,16,2026-08-21T03:25:03.130,1787253903.130332947,NAVIGATING,odom,base_link,0.000121,0.000199,0.000896,4.000191,0.001285,odom,4.000191,0.001285,4.000069,-0.002497,4.000070,-0.000624,548,89,1,1.085096,0.991023,-0.379738,0.894614,-0.491356,,,off,range,last_cmd_dt,0.894614,-0.491356,0.894614,-0.491356,nan,nan,0,0,off,off,0,948,0,0,inf,0.790743
3,17,2026-08-21T03:25:03.650,1787253903.650214911,NAVIGATING,odom,base_link,0.000192,0.000193,0.001174,4.000191,0.001285,odom,4.000191,0.001285,3.999998,-0.003602,3.999999,-0.000901,548,90,0,1.086220,0.990536,-0.384900,0.894321,-0.494239,,,off,range,last_cmd_dt,0.894321,-0.494239,0.894321,-0.494239,nan,nan,0,0,off,off,0,977,0,0,inf,0.790640
