scenario,seed,method,context_stage,monitor_trial,cmd_vx,cmd_vy,cmd_wz,measured_vx,measured_vy,measured_wz,predicted_vx,predicted_vy,predicted_wz,normalized_nis,cusum,alarm,valid,safety_events
confirm_mixed_context,10101,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.27318137836158296,0.06259712831854485,-0.32329818191804616,-0.2929526465640053,-0.0006791196415200476,-0.2918204456717855,0.5303898047593955,0.0,False,True,
confirm_mixed_context,10102,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.25185352922111903,0.04094704916058432,-0.32434882510919694,-0.29260311761036695,-0.005193561307064151,-0.2975524204927295,0.4496151969931416,0.0,False,True,
confirm_mixed_context,10103,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2912116728993926,0.03912581071493564,-0.3382717255563828,-0.3087912361545952,-0.0032546491052741506,-0.3020387824492803,0.30340803698413416,0.0,False,True,
confirm_mixed_context,10104,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.31864456816292336,0.044924709156661004,-0.3935349945883138,-0.30966132875820246,0.0009806755154748692,-0.309126496617778,0.6310825869183407,0.0,False,True,
confirm_mixed_context,10105,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.30507103369319,0.06395796496745208,-0.36955389951731693,-0.29427719862122087,0.004511143149358361,-0.31571352641418005,0.5584983643549487,0.0,False,True,
confirm_mixed_context,10106,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.3176383551051668,0.03381085663078942,-0.3897514478356349,-0.31007471482208504,0.00032400375495187614,-0.31116669183534074,0.4873526091288835,0.0,False,True,
confirm_mixed_context,10107,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.31213141644206727,0.05872553069557257,-0.36291612640684046,-0.3063479618180181,-0.0048388186110168855,-0.29086869821112993,0.7279106186462667,0.0,False,True,
confirm_mixed_context,10108,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2959024288480298,0.028106655834874938,-0.3410267860072956,-0.31456709687761314,-0.0001477288572011577,-0.30389569383870735,0.20367156518342813,0.0,False,True,
confirm_mixed_context,10109,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.27371544161336353,0.02174619059601902,-0.37514334490474427,-0.28180827730896096,0.002877595849352475,-0.3383483861281701,0.12288352719280543,0.0,False,True,
confirm_mixed_context,10110,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.24652842241258766,0.028610209300041253,-0.30676266261519725,-0.29634532004476266,-0.011681162040441846,-0.29195991448118536,0.4574695396403163,0.0,False,True,
confirm_mixed_context,10111,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.317168685574743,0.012321383024520832,-0.3860996454319005,-0.3142162341573986,0.000237647661038015,-0.3083190421932041,0.3695242236905602,0.0,False,True,
confirm_mixed_context,10112,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2940190386033392,0.02914932171613582,-0.33696896428366346,-0.3040977191994335,0.0031225552849133654,-0.3077228794925742,0.13236942641478486,0.0,False,True,
confirm_mixed_context,10113,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.31363743793110715,0.0526282977987094,-0.36212480928099994,-0.28405296486691806,0.011674149560687427,-0.31991675886211746,0.37786603840187327,0.0,False,True,
confirm_mixed_context,10114,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.31083546572142184,0.04032896650895156,-0.3413952925458132,-0.3088323062428823,-0.013430888648978376,-0.2926001305715779,0.44962862139168464,0.0,False,True,
confirm_mixed_context,10115,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.30944752471453285,0.02986517189276522,-0.3806753788815299,-0.3122017927724595,0.0010103983640458772,-0.30645767548260394,0.4118838445395572,0.0,False,True,
confirm_mixed_context,10116,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.24015804764053783,0.02877850801917759,-0.32477907895383895,-0.3019376053969263,-0.007324988095685425,-0.2793026553289212,0.6741071886583371,0.0,False,True,
confirm_mixed_context,10117,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.3199264771240823,0.026389421675588005,-0.3708385368019424,-0.30885797541230586,-0.0033308014599315546,-0.3079072135170981,0.3396457228369698,0.0,False,True,
confirm_mixed_context,10118,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2931758439614285,0.032252611177140206,-0.35467019255810744,-0.3121389206086664,-0.0020940892434201043,-0.3107586165261631,0.27458930393462877,0.0,False,True,
confirm_mixed_context,10119,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.26731727287217155,0.027018538798599934,-0.3298584202962753,-0.2925151926484182,-0.003785793288961461,-0.291377037585591,0.25737300247579387,0.0,False,True,
