scenario,seed,method,phase,recovery_trial,source,cmd_vx,cmd_vy,cmd_wz,measured_vx,measured_vy,measured_wz,predicted_vx,predicted_vy,predicted_wz,rolling_rmse,target_rmse,recovered,valid,safety_events
confirm_payload_com_only,10101,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.18604946183244458,-0.11386081417298662,-0.18909000502762993,nan,nan,nan,nan,0.14,False,True,
confirm_payload_com_only,10102,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.222722273686737,-0.06752116865332354,-0.18890420434065022,nan,nan,nan,nan,0.14,False,True,
confirm_payload_com_only,10103,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.24888985303372818,-0.010175262859098281,-0.18840790389637427,nan,nan,nan,nan,0.075,False,True,
confirm_payload_com_only,10104,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.2508970115542175,-0.057928657229659786,-0.18195695807979972,nan,nan,nan,nan,0.0812191736534194,False,True,
confirm_payload_com_only,10105,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.26683889916206155,-0.12442402731152835,-0.17699100922167157,nan,nan,nan,nan,0.14,False,True,
confirm_payload_com_only,10106,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.21041450324249653,-0.12236484346912621,-0.14148593158025907,nan,nan,nan,nan,0.14,False,True,
confirm_payload_com_only,10107,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.2309032705683507,-0.10712043928716962,-0.2053059761790066,nan,nan,nan,nan,0.14,False,True,
confirm_payload_com_only,10108,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.18253749657081736,0.01693450613157862,-0.17579531389313527,nan,nan,nan,nan,0.14,False,True,
confirm_payload_com_only,10109,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.2596946193723523,-0.023204768230213512,-0.17794714642994755,nan,nan,nan,nan,0.14,False,True,
confirm_payload_com_only,10110,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.23302204613270902,-0.12813427569431723,-0.19754307425154774,nan,nan,nan,nan,0.14,False,True,
