scenario,seed,method,recovery_trial,rolling_rmse,target_rmse
confirm_payload_com_only,10101,passive,4,0.1274483028442624,0.14
confirm_payload_com_only,10103,passive,4,0.1438072138525236,0.075
confirm_payload_com_only,10104,passive,4,0.1211881719869171,0.0812191736534194
confirm_payload_com_only,10105,passive,4,0.12456935974589568,0.14
confirm_payload_com_only,10106,passive,4,0.0875941349754509,0.14
confirm_payload_com_only,10107,passive,4,0.11516733280795992,0.14
confirm_payload_com_only,10108,passive,4,0.1459772277420212,0.14
confirm_payload_com_only,10109,passive,4,0.11768788916184013,0.14
confirm_payload_com_only,10110,passive,4,0.13717905752607507,0.14
confirm_payload_com_only,10111,passive,4,0.11439814074540006,0.14
confirm_payload_com_only,10112,passive,4,0.10681900207700978,0.14
confirm_payload_com_only,10113,passive,4,0.11436520943272256,0.14
confirm_payload_com_only,10114,passive,4,0.13402360851557,0.14
confirm_payload_com_only,10115,passive,4,0.1282684265074115,0.14
confirm_payload_com_only,10116,passive,4,0.12074577683815156,0.14
confirm_payload_com_only,10117,passive,4,0.1168350575438542,0.14
confirm_payload_com_only,10118,passive,4,0.13470113165808012,0.14
confirm_payload_com_only,10119,passive,4,0.13480688986168582,0.14
confirm_payload_com_only,10120,passive,4,0.10944641086525067,0.14
confirm_payload_com_only,10121,passive,4,0.13982787615563733,0.14
confirm_payload_com_only,10122,passive,4,0.12449845480728082,0.14
confirm_payload_com_only,10123,passive,4,0.11820993391441408,0.14
confirm_payload_com_only,10124,passive,4,0.1352555361344231,0.14
confirm_payload_com_only,10125,passive,4,0.11935784915897138,0.14
confirm_payload_com_only,10126,passive,4,0.132960412730576,0.14
confirm_payload_com_only,10127,passive,4,0.1214599461912413,0.14
confirm_payload_com_only,10128,passive,4,0.12725945942067343,0.14
confirm_payload_com_only,10129,passive,4,0.11896894933452018,0.14
confirm_payload_com_only,10130,passive,4,0.12303880042245836,0.08935904314577116
confirm_payload_com_only,10131,passive,4,0.10012233145987208,0.14
confirm_payload_com_only,10132,passive,4,0.104287517309154,0.14
confirm_payload_com_only,10133,passive,4,0.11605985768579678,0.14
confirm_payload_com_only,10134,passive,4,0.13236096369612277,0.14
confirm_payload_com_only,10135,passive,4,0.12928825536548894,0.14
confirm_payload_com_only,10136,passive,4,0.10952322467395775,0.14
confirm_payload_com_only,10137,passive,4,0.12027046118100676,0.14
confirm_payload_com_only,10138,passive,4,0.12895435330351343,0.14
confirm_payload_com_only,10139,passive,4,0.1052232858972843,0.14
confirm_payload_com_only,10140,passive,4,0.12529770423067077,0.14
confirm_payload_com_only,10141,passive,4,0.11841594753920827,0.14
confirm_payload_com_only,10142,passive,4,0.12191201166914108,0.14
confirm_payload_com_only,10143,passive,4,0.12633900433823184,0.075
confirm_payload_com_only,10145,passive,4,0.13215454905578852,0.14
confirm_payload_com_only,10146,passive,4,0.13790326109946036,0.14
confirm_payload_com_only,10147,passive,4,0.12536473858763292,0.14
confirm_payload_com_only,10148,passive,4,0.12700093636134288,0.14
confirm_payload_com_only,10149,passive,4,0.09865892500081387,0.14
confirm_payload_com_only,10150,passive,4,0.1169389100434818,0.14
confirm_payload_com_only,10153,passive,4,0.13092957954795534,0.14
confirm_payload_com_only,10154,passive,4,0.12142667269503188,0.14
confirm_payload_com_only,10155,passive,4,0.109346056408327,0.14
confirm_payload_com_only,10156,passive,4,0.11431725554132183,0.14
confirm_payload_com_only,10157,passive,4,0.11229876016190395,0.14
confirm_payload_com_only,10158,passive,4,0.1374648514724734,0.14
confirm_payload_com_only,10159,passive,4,0.11287315387915617,0.14
confirm_payload_com_only,10161,passive,4,0.11856896910837518,0.14
confirm_payload_com_only,10163,passive,4,0.12451479849560453,0.14
confirm_payload_com_only,10165,passive,4,0.11893022549669272,0.14
confirm_payload_com_only,10167,passive,4,0.11997165635724324,0.14
confirm_payload_com_only,10168,passive,4,0.11484318477985286,0.14
confirm_payload_com_only,10169,passive,4,0.10159161080234211,0.14
confirm_payload_com_only,10170,passive,4,0.1418889133277119,0.14
confirm_payload_com_only,10171,passive,4,0.1274929187183633,0.14
confirm_payload_com_only,10172,passive,4,0.11679475680302752,0.14
confirm_payload_com_only,10101,passive,5,0.1274483028442624,0.14
confirm_payload_com_only,10102,passive,5,0.08205437571786636,0.14
confirm_payload_com_only,10103,passive,5,0.14713968383754614,0.075
confirm_payload_com_only,10104,passive,5,0.12520755271604966,0.0812191736534194
confirm_payload_com_only,10105,passive,5,0.1278117493045747,0.14
