scenario,seed,passive_early_mean_rmse,full_early_mean_rmse,passive_minus_full_early_rmse,passive_final_rmse,full_final_rmse,full_minus_passive_final_rmse,passive_recovery_trials,full_recovery_trials
final030_friction_payload,18101,0.13436729863131225,0.12673355778115622,0.007633740850156029,0.081778256832809,0.1234239165829801,0.04164565975017111,8.0,8.0
final030_friction_payload,18102,0.13832178412904647,0.1274344513113003,0.010887332817746176,0.0651120862639429,0.07526661790090222,0.010154531636959327,12.0,9.0
final030_friction_payload,18103,0.09996951267698871,0.08647591533845611,0.0134935973385326,0.0621414524509206,0.10776739494470694,0.04562594249378634,9.0,6.0
final030_friction_payload,18104,0.08724694418354396,0.0835091324398191,0.003737811743724867,0.0941590644565502,0.12787494225024743,0.033715877793697224,6.0,6.0
final030_friction_payload,18105,0.10923586256643003,0.08597594136967723,0.023259921196752797,0.07855891150293753,0.10909117408110157,0.030532262578164035,9.0,8.0
final030_friction_payload,18106,0.15192271220315853,0.13387491359080542,0.018047798612353116,0.13938657451519854,0.14627626849813277,0.006889693982934236,7.0,7.0
final030_friction_payload,18107,0.12488058135710356,0.1052661532891775,0.019614428067926057,0.09051153036519954,0.11743616484040538,0.026924634475205836,12.0,8.0
final030_friction_payload,18108,0.0947489830801286,0.08102383206489751,0.013725151015231085,0.09747150534603677,0.13494536955464595,0.03747386420860918,6.0,6.0
final030_friction_payload,18109,0.13803537552267198,0.13532511485783974,0.002710260664832237,0.09034236143825879,0.0884272911938248,-0.0019150702444339918,9.0,13.0
final030_friction_payload,18110,0.13650800916713407,0.1278858211679769,0.008622187999157177,0.06942218950592247,0.11506009021660331,0.04563790071068084,9.0,6.0
final030_friction_payload,18111,0.12417573316086311,0.12262998389637896,0.0015457492644841558,0.09232277192655212,0.11547323490868011,0.023150462982127987,7.0,7.0
final030_friction_payload,18112,0.13527637249201743,0.12908571393309834,0.006190658558919093,0.09214294778985924,0.14125073245218664,0.0491077846623274,8.0,7.0
final030_friction_payload,18113,0.09896997655284157,0.08305818357385987,0.015911792978981695,0.09344422303064465,0.11741873489065076,0.023974511860006112,6.0,6.0
final030_friction_payload,18114,0.1143312940640065,0.10779829782283308,0.006532996241173414,0.0831935253067334,0.11542338693052226,0.03222986162378885,7.0,7.0
final030_friction_payload,18115,0.0898520195594296,0.07841706872769462,0.011434950831734986,0.060396584045077764,0.10821347174189952,0.047816887696821755,8.0,6.0
final030_friction_payload,18116,0.14192717161022042,0.14092090358232345,0.0010062680278969671,0.07843654245892,0.13349850089610027,0.05506195843718027,8.0,8.0
final030_friction_payload,18117,0.11925206940164856,0.11406927835135279,0.005182791050295774,0.09180086483178301,0.11236149583016017,0.020560630998377155,8.0,7.0
final030_friction_payload,18118,0.09921380481352271,0.08369225402940728,0.015521550784115434,0.08884599440719274,0.13147853714711039,0.04263254273991765,6.0,6.0
final030_friction_payload,18119,0.10058907363392601,0.08492877325182796,0.01566030038209805,0.09071458969323376,0.11221736631765314,0.02150277662441938,8.0,6.0
final030_friction_payload,18120,0.11445237487777754,0.10882562539799955,0.0056267494797779954,0.08432517318643734,0.10663494074831457,0.022309767561877233,7.0,7.0
final030_friction_payload,18121,0.13721335946892518,0.12844042614910034,0.008772933319824844,0.07540443951130076,0.12306523721711715,0.047660797705816396,8.0,8.0
final030_friction_payload,18122,0.13146181203714766,0.12184389680288543,0.009617915234262225,0.09030954904961375,0.09142337756397141,0.0011138285143576648,9.0,8.0
final030_friction_payload,18123,0.10981129879060779,0.11370988032070163,-0.003898581530093842,0.0942957985074043,0.12434871866535163,0.030052920157947333,7.0,7.0
final030_friction_payload,18124,0.11128543799153891,0.08483610182068961,0.026449336170849297,0.07624233120266512,0.12429085489129549,0.04804852368863037,8.0,6.0
final030_friction_payload,18125,0.130778936185558,0.11729420257051687,0.013484733615041128,0.0883539440093534,0.12836324332078244,0.04000929931142905,7.0,7.0
final030_friction_payload,18126,0.11371098162821881,0.11314818055331433,0.000562801074904487,0.09843102664233176,0.11701162290287331,0.01858059626054155,7.0,7.0
final030_friction_payload,18127,0.13967288511098364,0.12993929470686674,0.009733590404116893,0.07901506116236179,0.12090237031813073,0.04188730915576894,9.0,8.0
final030_friction_payload,18128,0.11419351120744814,0.1150845532462542,-0.0008910420388060641,0.07638571752318482,0.12550692810167155,0.04912121057848673,7.0,7.0
