armed,attempt_id,bag_path,block_id,command_id,event,map_id,method_id,planned_unit_id,reference_max_age_ms,reference_max_gap_ms,run_id,scan_max_age_ms,scan_max_gap_ms,sent_action,sent_ros_time,shift_id,source,stage,timestamp,trial_index
True,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01_attempt_01,/home/unitree/lly/p8_real/p8_shift_script_smoke_20260821/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_full_part_01,SHIFT_BLOCK_01,PRE_001,sent_action,,full,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01,,,p8_shift_script_smoke_20260821,,,"[7.874980125719351e-07, 5.254362212326669e-08, -6.967288325540721e-07]",1787290573.849345,R1_command_gain_coupling,ramp_in,pre_calibration,,1
True,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01_attempt_01,/home/unitree/lly/p8_real/p8_shift_script_smoke_20260821/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_full_part_01,SHIFT_BLOCK_01,PRE_001,sent_action,,full,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01,,,p8_shift_script_smoke_20260821,,,"[0.01176136256932036, 0.0007847443176126763, -0.010405715673370288]",1787290573.8694813,R1_command_gain_coupling,ramp_in,pre_calibration,,1
True,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01_attempt_01,/home/unitree/lly/p8_real/p8_shift_script_smoke_20260821/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_full_part_01,SHIFT_BLOCK_01,PRE_001,sent_action,,full,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01,,,p8_shift_script_smoke_20260821,,,"[0.023479113286586466, 0.0015665787552791792, -0.020772846316325016]",1787290573.889484,R1_command_gain_coupling,ramp_in,pre_calibration,,1
True,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01_attempt_01,/home/unitree/lly/p8_real/p8_shift_script_smoke_20260821/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_full_part_01,SHIFT_BLOCK_01,PRE_001,sent_action,,full,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01,,,p8_shift_script_smoke_20260821,,,"[0.03519680775452744, 0.002348409439865372, -0.031139927193406036]",1787290573.9094775,R1_command_gain_coupling,ramp_in,pre_calibration,,1
True,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01_attempt_01,/home/unitree/lly/p8_real/p8_shift_script_smoke_20260821/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_full_part_01,SHIFT_BLOCK_01,PRE_001,sent_action,,full,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01,,,p8_shift_script_smoke_20260821,,,"[0.04691746413163713, 0.0031304377496311096, -0.04150962858188432]",1787290573.929481,R1_command_gain_coupling,ramp_in,pre_calibration,,1
True,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01_attempt_01,/home/unitree/lly/p8_real/p8_shift_script_smoke_20260821/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_full_part_01,SHIFT_BLOCK_01,PRE_001,sent_action,,full,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01,,,p8_shift_script_smoke_20260821,,,"[0.058610502384270034, 0.0039106233165923, -0.0518548951866338]",1787290573.9494188,R1_command_gain_coupling,ramp_in,pre_calibration,,1
True,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01_attempt_01,/home/unitree/lly/p8_real/p8_shift_script_smoke_20260821/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_full_part_01,SHIFT_BLOCK_01,PRE_001,sent_action,,full,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01,,,p8_shift_script_smoke_20260821,,,"[0.07035746497501057, 0.0046944068355477065, -0.06224787066243589]",1787290573.9694824,R1_command_gain_coupling,ramp_in,pre_calibration,,1
True,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01_attempt_01,/home/unitree/lly/p8_real/p8_shift_script_smoke_20260821/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_full_part_01,SHIFT_BLOCK_01,PRE_001,sent_action,,full,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01,,,p8_shift_script_smoke_20260821,,,"[0.08207827193758335, 0.00547644519271108, -0.07261770527948393]",1787290573.989495,R1_command_gain_coupling,ramp_in,pre_calibration,,1
True,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01_attempt_01,/home/unitree/lly/p8_real/p8_shift_script_smoke_20260821/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_full_part_01,SHIFT_BLOCK_01,PRE_001,sent_action,,full,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01,,,p8_shift_script_smoke_20260821,,,"[0.0937960789052404, 0.006258283383529005, -0.08298488568925531]",1787290574.009485,R1_command_gain_coupling,ramp_in,pre_calibration,,1
True,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01_attempt_01,/home/unitree/lly/p8_real/p8_shift_script_smoke_20260821/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_full_part_01,SHIFT_BLOCK_01,PRE_001,sent_action,,full,R1_command_gain_coupling_SHIFT_BLOCK_01_full_PRE_CALIBRATION_01,,,p8_shift_script_smoke_20260821,,,"[0.10551773137480751, 0.007040378154803021, -0.09335546835784335]",1787290574.02949,R1_command_gain_coupling,ramp_in,pre_calibration,,1
