scenario,seed,method,context_stage,monitor_trial,cmd_vx,cmd_vy,cmd_wz,measured_vx,measured_vy,measured_wz,predicted_vx,predicted_vy,predicted_wz,normalized_nis,cusum,legacy_alarm,signature_distance,alarm,valid,safety_events
final_stationary_nominal,16101,full,pre_shift,1,-0.2,0.0,-0.2,-0.09288495141125808,0.027208086900913336,-0.1663505375209294,-0.19691077790100742,-0.004269547540100858,-0.17834783103806634,1.409739163476672,0.0,False,nan,False,True,
final_stationary_nominal,16102,full,pre_shift,1,-0.2,0.0,-0.2,-0.12757146214093237,0.02139330141680001,-0.20394235640364305,-0.20471388385068537,0.0020278160891738614,-0.18415618896447128,0.7514933331344507,0.0,False,nan,False,True,
final_stationary_nominal,16103,full,pre_shift,1,-0.2,0.0,-0.2,-0.1590098386295023,0.008518308117992698,-0.16423977563779057,-0.20349824839561723,-0.0015199781302636353,-0.1780661741179378,0.25807655568865245,0.0,False,nan,False,True,
final_stationary_nominal,16104,full,pre_shift,1,-0.2,0.0,-0.2,-0.15287857026681428,0.006287994105744314,-0.17189042622917236,-0.19798369346027672,-0.0012842339179670315,-0.18176285597761843,0.25345860837155026,0.0,False,nan,False,True,
final_stationary_nominal,16105,full,pre_shift,1,-0.2,0.0,-0.2,-0.15106975980635173,0.006014450435707154,-0.16183967005264288,-0.20221655806032152,0.0010519649758380814,-0.17947935566513534,0.328181756535682,0.0,False,nan,False,True,
final_stationary_nominal,16106,full,pre_shift,1,-0.2,0.0,-0.2,-0.1030376000248391,0.013360563281510491,-0.19927018251491926,-0.20059956024497613,0.0009005062556816571,-0.18382308648703816,1.1542674118582021,0.0,False,nan,False,True,
final_stationary_nominal,16107,full,pre_shift,1,-0.2,0.0,-0.2,-0.13776567940526113,0.006069800835749304,-0.1683996137448563,-0.20327402893679294,-0.0021295846164663358,-0.18049561541792475,0.5232100911186236,0.0,False,nan,False,True,
final_stationary_nominal,16108,full,pre_shift,1,-0.2,0.0,-0.2,-0.13644150301140764,0.013824276854001344,-0.19832629499976992,-0.20735724019654925,-0.003938927138082904,-0.1833868022196521,0.6354094678100916,0.0,False,nan,False,True,
final_stationary_nominal,16109,full,pre_shift,1,-0.2,0.0,-0.2,-0.1392789623349073,-0.0011521104970996525,-0.20427638732572703,-0.20371599046911587,0.0013756382216217773,-0.18167907193618205,0.5200799997239808,0.0,False,nan,False,True,
final_stationary_nominal,16110,full,pre_shift,1,-0.2,0.0,-0.2,-0.10076805908176936,0.010607625730090015,-0.20035383833400747,-0.20013268634851314,0.00037387552479158553,-0.18630586238416627,1.1867771221932764,0.0,False,nan,False,True,
final_stationary_nominal,16111,full,pre_shift,1,-0.2,0.0,-0.2,-0.14074132339441295,0.009612700237092245,-0.1598466382891928,-0.20300941849810797,-0.0011809694414161918,-0.18387106853165971,0.5046325096633467,0.0,False,nan,False,True,
final_stationary_nominal,16112,full,pre_shift,1,-0.2,0.0,-0.2,-0.10314972694379151,0.022950498199951264,-0.19248862296613126,-0.19500614555776113,-0.0038229153306504476,-0.18364448125416466,1.087283233945988,0.0,False,nan,False,True,
