family,seed,oracle_target_trial,stop_trial,extra_trials,premature,stop_reason
affine,1001,18,20,2,False,target_reached
affine,1002,18,20,2,False,target_reached
affine,1003,18,20,2,False,target_reached
affine,1004,18,20,2,False,target_reached
affine,1005,18,20,2,False,target_reached
affine,1006,18,20,2,False,target_reached
affine,1007,18,20,2,False,target_reached
affine,1008,18,20,2,False,target_reached
affine,1009,18,20,2,False,target_reached
affine,1010,18,20,2,False,target_reached
affine,1011,18,20,2,False,target_reached
affine,1012,18,20,2,False,target_reached
affine,1013,18,20,2,False,target_reached
affine,1014,18,20,2,False,target_reached
affine,1015,18,20,2,False,target_reached
affine,1016,18,20,2,False,target_reached
affine,1017,18,20,2,False,target_reached
affine,1018,18,20,2,False,target_reached
affine,1019,18,20,2,False,target_reached
affine,1020,18,20,2,False,target_reached
deadzone,1001,18,20,2,False,target_reached
deadzone,1002,18,20,2,False,target_reached
deadzone,1003,18,20,2,False,target_reached
deadzone,1004,18,20,2,False,target_reached
deadzone,1005,18,20,2,False,target_reached
deadzone,1006,18,20,2,False,target_reached
deadzone,1007,18,20,2,False,target_reached
deadzone,1008,18,20,2,False,target_reached
deadzone,1009,18,20,2,False,target_reached
deadzone,1010,18,20,2,False,target_reached
deadzone,1011,18,20,2,False,target_reached
deadzone,1012,18,20,2,False,target_reached
deadzone,1013,18,20,2,False,target_reached
deadzone,1014,18,20,2,False,target_reached
deadzone,1015,18,20,2,False,target_reached
deadzone,1016,18,20,2,False,target_reached
deadzone,1017,18,20,2,False,target_reached
deadzone,1018,18,20,2,False,target_reached
deadzone,1019,18,20,2,False,target_reached
deadzone,1020,18,20,2,False,target_reached
heteroscedastic,1001,20,22,2,False,target_reached
heteroscedastic,1002,20,22,2,False,target_reached
heteroscedastic,1003,20,22,2,False,target_reached
heteroscedastic,1004,20,22,2,False,target_reached
heteroscedastic,1005,20,22,2,False,target_reached
heteroscedastic,1006,20,22,2,False,target_reached
heteroscedastic,1007,20,22,2,False,target_reached
heteroscedastic,1008,20,22,2,False,target_reached
heteroscedastic,1009,20,22,2,False,target_reached
heteroscedastic,1010,20,22,2,False,target_reached
heteroscedastic,1011,20,22,2,False,target_reached
heteroscedastic,1012,20,22,2,False,target_reached
heteroscedastic,1013,20,22,2,False,target_reached
heteroscedastic,1014,20,22,2,False,target_reached
heteroscedastic,1015,20,22,2,False,target_reached
heteroscedastic,1016,20,22,2,False,target_reached
heteroscedastic,1017,20,22,2,False,target_reached
heteroscedastic,1018,20,22,2,False,target_reached
heteroscedastic,1019,20,22,2,False,target_reached
heteroscedastic,1020,20,22,2,False,target_reached
