replicate,scenario,detected,abort_latency_s,reason_codes,serious_event
18,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
18,localization,True,0.0,LOCALIZATION_INVALID,False
18,battery,True,0.0,LOW_BATTERY,False
19,roll,True,0.0,ROLL_LIMIT,False
19,pitch,True,0.0,PITCH_LIMIT,False
19,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
19,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
19,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
19,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
19,localization,True,0.0,LOCALIZATION_INVALID,False
19,battery,True,0.0,LOW_BATTERY,False
