replicate,scenario,detected,abort_latency_s,reason_codes,serious_event
0,roll,True,0.0,ROLL_LIMIT,False
0,pitch,True,0.0,PITCH_LIMIT,False
0,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
0,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
0,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
0,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
0,localization,True,0.0,LOCALIZATION_INVALID,False
0,battery,True,0.0,LOW_BATTERY,False
1,roll,True,0.0,ROLL_LIMIT,False
1,pitch,True,0.0,PITCH_LIMIT,False
1,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
1,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
1,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
1,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
1,localization,True,0.0,LOCALIZATION_INVALID,False
1,battery,True,0.0,LOW_BATTERY,False
2,roll,True,0.0,ROLL_LIMIT,False
2,pitch,True,0.0,PITCH_LIMIT,False
2,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
2,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
2,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
2,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
2,localization,True,0.0,LOCALIZATION_INVALID,False
2,battery,True,0.0,LOW_BATTERY,False
3,roll,True,0.0,ROLL_LIMIT,False
3,pitch,True,0.0,PITCH_LIMIT,False
3,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
3,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
3,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
3,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
3,localization,True,0.0,LOCALIZATION_INVALID,False
3,battery,True,0.0,LOW_BATTERY,False
4,roll,True,0.0,ROLL_LIMIT,False
4,pitch,True,0.0,PITCH_LIMIT,False
4,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
4,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
4,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
4,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
4,localization,True,0.0,LOCALIZATION_INVALID,False
4,battery,True,0.0,LOW_BATTERY,False
5,roll,True,0.0,ROLL_LIMIT,False
5,pitch,True,0.0,PITCH_LIMIT,False
5,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
5,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
5,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
5,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
5,localization,True,0.0,LOCALIZATION_INVALID,False
5,battery,True,0.0,LOW_BATTERY,False
6,roll,True,0.0,ROLL_LIMIT,False
6,pitch,True,0.0,PITCH_LIMIT,False
6,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
6,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
6,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
6,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
6,localization,True,0.0,LOCALIZATION_INVALID,False
6,battery,True,0.0,LOW_BATTERY,False
7,roll,True,0.0,ROLL_LIMIT,False
7,pitch,True,0.0,PITCH_LIMIT,False
7,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
7,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
7,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
7,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
7,localization,True,0.0,LOCALIZATION_INVALID,False
7,battery,True,0.0,LOW_BATTERY,False
8,roll,True,0.0,ROLL_LIMIT,False
8,pitch,True,0.0,PITCH_LIMIT,False
8,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
8,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
8,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
8,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
8,localization,True,0.0,LOCALIZATION_INVALID,False
8,battery,True,0.0,LOW_BATTERY,False
9,roll,True,0.0,ROLL_LIMIT,False
9,pitch,True,0.0,PITCH_LIMIT,False
9,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
9,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
9,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
9,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
9,localization,True,0.0,LOCALIZATION_INVALID,False
9,battery,True,0.0,LOW_BATTERY,False
10,roll,True,0.0,ROLL_LIMIT,False
10,pitch,True,0.0,PITCH_LIMIT,False
10,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
10,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
10,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
10,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
10,localization,True,0.0,LOCALIZATION_INVALID,False
10,battery,True,0.0,LOW_BATTERY,False
11,roll,True,0.0,ROLL_LIMIT,False
11,pitch,True,0.0,PITCH_LIMIT,False
11,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
11,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
11,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
11,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
11,localization,True,0.0,LOCALIZATION_INVALID,False
11,battery,True,0.0,LOW_BATTERY,False
12,roll,True,0.0,ROLL_LIMIT,False
12,pitch,True,0.0,PITCH_LIMIT,False
12,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
12,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
12,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
12,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
12,localization,True,0.0,LOCALIZATION_INVALID,False
12,battery,True,0.0,LOW_BATTERY,False
13,roll,True,0.0,ROLL_LIMIT,False
13,pitch,True,0.0,PITCH_LIMIT,False
13,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
13,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
13,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
13,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
13,localization,True,0.0,LOCALIZATION_INVALID,False
13,battery,True,0.0,LOW_BATTERY,False
14,roll,True,0.0,ROLL_LIMIT,False
14,pitch,True,0.0,PITCH_LIMIT,False
14,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
14,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
14,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
14,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
14,localization,True,0.0,LOCALIZATION_INVALID,False
14,battery,True,0.0,LOW_BATTERY,False
15,roll,True,0.0,ROLL_LIMIT,False
15,pitch,True,0.0,PITCH_LIMIT,False
15,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
15,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
15,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
15,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
15,localization,True,0.0,LOCALIZATION_INVALID,False
15,battery,True,0.0,LOW_BATTERY,False
16,roll,True,0.0,ROLL_LIMIT,False
16,pitch,True,0.0,PITCH_LIMIT,False
16,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
16,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
16,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
16,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
16,localization,True,0.0,LOCALIZATION_INVALID,False
16,battery,True,0.0,LOW_BATTERY,False
17,roll,True,0.0,ROLL_LIMIT,False
17,pitch,True,0.0,PITCH_LIMIT,False
17,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
17,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
17,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
17,workspace,True,0.0,WORKSPACE_STATE_AXIS_0,False
17,localization,True,0.0,LOCALIZATION_INVALID,False
17,battery,True,0.0,LOW_BATTERY,False
18,roll,True,0.0,ROLL_LIMIT,False
18,pitch,True,0.0,PITCH_LIMIT,False
18,height_low,True,0.0,BASE_HEIGHT_LIMIT,False
18,height_high,True,0.0,BASE_HEIGHT_LIMIT,False
18,yaw_rate,True,0.0,YAW_RATE_LIMIT,False
