scenario,seed,method,false_alarm,detected,detection_delay_trials,pre_shift_rmse,initial_shifted_rmse,target_rmse,recovered,recovery_trials,final_rmse
confirm_mixed_context,10101,passive,False,True,2,0.11955967395870039,0.14400024157549648,0.14,True,4,0.10974194556058156
confirm_mixed_context,10102,passive,False,True,2,0.11839517537324283,0.14879188473152968,0.14,True,7,0.10060583812196937
confirm_mixed_context,10103,passive,False,True,2,0.14425588823714391,0.14585361709957367,0.14,True,4,0.10001875852782452
confirm_mixed_context,10104,passive,False,True,2,0.12886902760488736,0.14345768027405068,0.14,True,6,0.10506183396201338
confirm_mixed_context,10105,passive,False,True,2,0.12975593520193618,0.15510832045778028,0.14,True,7,0.09997988423971317
confirm_mixed_context,10106,passive,False,True,2,0.13794087928048004,0.16029353629697393,0.14,True,7,0.09489206688968242
confirm_mixed_context,10107,passive,False,True,2,0.12622052562559546,0.1442589426053788,0.14,True,4,0.09391964018506599
confirm_mixed_context,10108,passive,False,True,2,0.14105612518448526,0.15436437111706944,0.14,True,7,0.10243481160482508
confirm_mixed_context,10109,passive,False,True,2,0.11715039192289269,0.1647499396382741,0.14,True,8,0.09360221101767682
confirm_mixed_context,10110,passive,False,True,2,0.12692367373085411,0.1563245650923255,0.14,True,4,0.10797169500374956
confirm_mixed_context,10111,passive,False,True,2,0.1346238776389374,0.14481252345952594,0.14,True,4,0.09424221022245145
confirm_mixed_context,10112,passive,False,True,2,0.13647660473094772,0.14422033437382284,0.14,True,6,0.10695705282634344
confirm_mixed_context,10113,passive,False,True,2,0.1216953372896798,0.13705904633112423,0.14,True,4,0.09286717042737139
confirm_mixed_context,10114,passive,False,True,2,0.12886991805134856,0.1420067008445275,0.14,True,4,0.1028804221809754
confirm_mixed_context,10115,passive,False,True,2,0.13654793937748522,0.15296298684813603,0.14,True,7,0.10350190214018472
confirm_mixed_context,10116,passive,False,True,2,0.13115530262982772,0.15343720730454172,0.14,True,7,0.11289514169968315
confirm_mixed_context,10117,passive,False,True,2,0.1371412537890597,0.14952036087962958,0.14,True,7,0.09240545909634075
confirm_mixed_context,10118,passive,False,True,2,0.13962560351424644,0.15286694318013788,0.14,True,4,0.09826397740879995
confirm_mixed_context,10119,passive,False,True,2,0.1222265042734684,0.13493594443956963,0.14,True,4,0.08639635571852679
confirm_mixed_context,10120,passive,False,True,2,0.1317506616498111,0.13840296478478192,0.14,True,6,0.1013072667231501
confirm_mixed_context,10121,passive,False,True,2,0.12926627358780565,0.15453068056302188,0.14,True,4,0.10285699315159057
confirm_mixed_context,10122,passive,False,True,2,0.1404863624266672,0.15961005303649567,0.14,True,6,0.10613558366620819
confirm_mixed_context,10123,passive,False,True,2,0.13449916290155242,0.15592436879634258,0.14,True,6,0.09966424647924574
