scenario,seed,passive_early_mean_rmse,full_early_mean_rmse,passive_minus_full_early_rmse,passive_final_rmse,full_final_rmse,full_minus_passive_final_rmse,passive_recovery_trials,full_recovery_trials
ablate_mixed_context,12101,0.12605022716389155,0.10025270040299082,0.025797526760900732,0.08580856608508837,0.09239863309665207,0.0065900670115636995,4.0,4.0
ablate_mixed_context,12102,0.12972780956305863,0.10489197669953969,0.02483583286351894,0.10157580041240231,0.10837360194258144,0.006797801530179129,4.0,4.0
ablate_mixed_context,12103,0.12214908277452774,0.106886806651374,0.015262276123153742,0.10403374643331396,0.11408867753774135,0.010054931104427386,4.0,4.0
ablate_mixed_context,12104,0.11726687663686353,0.09695442920682872,0.02031244743003481,0.09797574637220946,0.0965630704810401,-0.0014126758911693627,4.0,4.0
ablate_mixed_context,12105,0.12635953676418774,0.10435677342530882,0.02200276333887892,0.10760699701571567,0.1051419949308078,-0.00246500208490788,4.0,5.0
ablate_mixed_context,12106,0.1065437319492613,0.08621696998780622,0.02032676196145508,0.069470424259858,0.09781267318902316,0.028342248929165162,8.0,8.0
ablate_mixed_context,12107,0.12288406068278714,0.09712546883010476,0.02575859185268238,0.09590801464276169,0.1022510624468822,0.006343047804120511,4.0,4.0
ablate_mixed_context,12108,0.116406451473769,0.10709278774116808,0.009313663732600924,0.11012529538132722,0.12352162481671523,0.013396329435388016,6.0,4.0
ablate_mixed_context,12109,0.10170640606511226,0.08388317389244819,0.017823232172664072,0.08253385303351365,0.09213507251238812,0.009601219478874462,4.0,4.0
ablate_mixed_context,12110,0.1105103608641082,0.10147512119912426,0.009035239664983943,0.0886018000246017,0.09670094847601567,0.008099148451413962,4.0,4.0
ablate_mixed_context,12111,0.09928895330549951,0.08255602277288364,0.016732930532615875,0.08011891403341785,0.0837080449645654,0.003589130931147544,4.0,4.0
ablate_mixed_context,12112,0.1228150994726437,0.1056280798658502,0.017187019606793502,0.10286167946982352,0.10979453568575662,0.006932856215933092,4.0,4.0
ablate_mixed_context,12113,0.1221421058185667,0.10816953584858098,0.013972569969985721,0.076110906633897,0.0830852517087518,0.00697434507485481,9.0,9.0
ablate_mixed_context,12114,0.1371471647662153,0.12832135508974996,0.008825809676465346,0.0799331394832367,0.09208102567400436,0.012147886190767662,8.0,6.0
ablate_mixed_context,12115,0.1341572939978396,0.11939623342239374,0.014761060575445864,0.11218717350205094,0.11410247263076626,0.0019152991287153115,4.0,4.0
ablate_mixed_context,12116,0.12218568406297413,0.09578912661652461,0.026396557446449517,0.10145650319726252,0.10789453385862981,0.006438030661367292,4.0,4.0
ablate_mixed_context,12117,0.13055211034971534,0.10581488171385227,0.02473722863586307,0.09495416111478153,0.09570271789049595,0.0007485567757144207,4.0,4.0
ablate_mixed_context,12118,0.12454390167537312,0.11222173486999526,0.012322166805377857,0.09951459263915505,0.11595390434069076,0.016439311701535717,7.0,5.0
ablate_mixed_context,12119,0.12512385324046074,0.10881994413433178,0.016303909106128958,0.10551546080434883,0.12626411436663523,0.020748653562286404,7.0,4.0
ablate_mixed_context,12120,0.13122935109988246,0.11918685705299958,0.012042494046882873,0.10608746139972466,0.1126331384477058,0.006545677047981133,7.0,6.0
ablate_mixed_context,12121,0.12679908051019056,0.11483839727876981,0.011960683231420757,0.10425341885549946,0.10017080175349571,-0.004082617102003749,7.0,6.0
ablate_mixed_context,12122,0.1062027153156344,0.09360993909682815,0.01259277621880625,0.0997362019866451,0.10381571615152922,0.0040795141648841265,4.0,4.0
ablate_mixed_context,12123,0.11852744721655506,0.09915445690002972,0.01937299031652534,0.08498040562553537,0.10493271934635011,0.01995231372081474,4.0,4.0
ablate_mixed_context,12124,0.11833049273715897,0.10211600341567467,0.016214489321484296,0.10018625922777277,0.11291587295932366,0.01272961373155089,4.0,4.0
ablate_mixed_context,12125,0.12375263893588649,0.10756812304374162,0.01618451589214487,0.10413704566999206,0.09631056676134546,-0.0078264789086466,4.0,4.0
ablate_mixed_context,12126,0.12410215205397519,0.0930224301475608,0.031079721906414393,0.094259694582895,0.09808607706048277,0.003826382477587764,4.0,4.0
ablate_mixed_context,12127,0.13264782338842243,0.11474745534401888,0.01790036804440355,0.10827705041957268,0.11699050847765978,0.008713458058087098,4.0,4.0
ablate_mixed_context,12128,0.12009980032893851,0.1108486211911804,0.009251179137758109,0.11619214246302448,0.12010772751048181,0.003915585047457329,6.0,5.0
ablate_mixed_context,12129,0.12524806752989887,0.10620927128140738,0.019038796248491488,0.1028828131704573,0.11080053729091227,0.007917724120454966,4.0,4.0
ablate_mixed_context,12130,0.13226079056363255,0.11159464620786745,0.020666144355765095,0.09888942807242014,0.10917299577482162,0.010283567702401478,4.0,4.0
