map,seed,method,trial,source,cmd_vx,cmd_vy,cmd_wz,measured_vx,measured_vy,measured_wz,valid,safety_events
replicate_weighted_arc,10501,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.2595245878665901,-0.012105836011563977,-0.336303695192061,True,
replicate_weighted_arc,10502,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.23025190767290707,-0.05571684537718089,-0.2772717103377071,True,
replicate_weighted_arc,10503,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.19429103013339,-0.061071828312849755,-0.3740655315086707,True,
replicate_weighted_arc,10504,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.23046740794105747,-0.08728062240458326,-0.3798864268847482,True,
replicate_weighted_arc,10505,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.24865392468403377,-0.07406412024552322,-0.37143941562090244,True,
replicate_weighted_arc,10506,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.14168866564498522,-0.0030844742255053013,-0.29494478541849545,True,
replicate_weighted_arc,10507,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.22793469224851828,-0.04466487414925724,-0.3050769072938793,True,
replicate_weighted_arc,10508,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.1839309185929708,-0.035846379790208306,-0.2809718548692725,True,
replicate_weighted_arc,10509,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.19855984174728272,-0.09557104926130587,-0.3079474370452987,True,
replicate_weighted_arc,10510,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.20916278119336407,-0.03158212654289813,-0.32467480229701123,True,
replicate_weighted_arc,10511,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.026028819782480374,0.003880823724403176,0.09402259424378087,False,BASE_HEIGHT_LIMIT
replicate_weighted_arc,10512,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.3210301515162538,0.011030997853726961,-0.33038168404212886,True,
replicate_weighted_arc,10513,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.33697020275462386,-0.016375390316811143,-0.3990287515020376,True,
replicate_weighted_arc,10514,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.27398354357286225,0.05333685678980388,-0.37007062050989026,True,
replicate_weighted_arc,10515,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.12917649098676853,0.008805367674297697,-0.2709976579105451,True,
replicate_weighted_arc,10516,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.20569554310993826,-0.03211857719585581,-0.30327760602137915,True,
replicate_weighted_arc,10517,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.13570333212023855,-0.004998328633405278,-0.3052064017091805,True,
replicate_weighted_arc,10518,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.19241399785918673,-0.04203776823689459,-0.3461123686984382,True,
replicate_weighted_arc,10519,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.29177218916563397,-0.07158853017957591,-0.3556036168972545,False,BASE_HEIGHT_LIMIT
replicate_weighted_arc,10520,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.20431481403802143,-0.06410772524003003,-0.37494585331110525,True,
replicate_weighted_arc,10521,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.2182651410528146,-0.07426454314041621,-0.3615524559375932,True,
replicate_weighted_arc,10522,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.2688517737747252,-0.08209147909319793,-0.3236665022864261,True,
replicate_weighted_arc,10523,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.2507102775743376,-0.05457609298757837,-0.3211821495577871,False,BASE_HEIGHT_LIMIT
replicate_weighted_arc,10524,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.3386482903713097,-0.004743564401223079,-0.3271715334766846,True,
replicate_weighted_arc,10525,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.19276195605370464,-0.025709704907471202,-0.3027903071986578,True,
replicate_weighted_arc,10526,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.1777643594837237,-0.03415266479919301,-0.33800411105522404,True,
replicate_weighted_arc,10527,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.24193929875463813,-0.07760514885923697,-0.3252212195553071,True,
replicate_weighted_arc,10528,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.1725447306091835,-0.09168685274181378,-0.26515433556946527,True,
replicate_weighted_arc,10529,B3_sobol,1,sobol_safe_snap,0.3963786534965038,-0.024202843196690083,-0.5761554364114999,0.24954262516919046,0.012188105301933701,-0.3483448955642213,True,
