schema_version,seq,wall_time,ros_time,status,global_frame,base_frame,robot_x,robot_y,robot_yaw,goal_x,goal_y,goal_frame,goal_raw_x,goal_raw_y,goal_in_base_x,goal_in_base_y,target_dist,target_angle,obs_dim,coverage_count,empty_group_count,min_pooled_range,normalized_action_linear,normalized_action_angular,cmd_published_linear,cmd_published_angular,experiment_id,experiment_profile,compensation_mode,action_mapping_mode,cmd_target_linear,cmd_target_angular,cmd_desired_linear,cmd_desired_angular,cmd_compensated_raw_linear,cmd_compensated_raw_angular,compensation_linear_accepted,compensation_angular_accepted,compensation_linear_reason,compensation_angular_reason
3,0,2026-08-21T15:20:53.712,1787296853.712524652,NAVIGATING,map,base_link,3.085572,-2.452925,1.378098,2.694219,-0.794667,map,2.694219,-0.794667,1.552618,0.701680,1.703813,0.424461,548,90,0,1.586511,0.999278,0.429067,0.599567,0.343254,,,off,policy_direct_scale,0.599567,0.343254,0.599567,0.343254,nan,nan,0,0,off,off
3,1,2026-08-21T15:20:54.264,1787296854.264864206,NAVIGATING,map,base_link,3.082939,-2.450568,1.377728,2.694219,-0.794667,map,2.694219,-0.794667,1.550550,0.699218,1.700915,0.423642,548,90,0,1.586926,0.999276,0.426480,0.599566,0.341184,,,off,policy_direct_scale,0.599566,0.341184,0.599566,0.341184,nan,nan,0,0,off,off
3,2,2026-08-21T15:20:54.785,1787296854.785137892,NAVIGATING,map,base_link,3.087595,-2.452407,1.378837,2.694219,-0.794667,map,2.694219,-0.794667,1.552242,0.702418,1.703774,0.424947,548,90,0,1.582966,0.999273,0.429869,0.599564,0.343895,,,off,policy_direct_scale,0.599564,0.343895,0.599564,0.343895,nan,nan,0,0,off,off
3,3,2026-08-21T15:20:55.308,1787296855.308239460,NAVIGATING,map,base_link,3.084469,-2.450385,1.379119,2.694219,-0.794667,map,2.694219,-0.794667,1.551050,0.698527,1.701087,0.423151,548,90,0,1.588556,0.999281,0.427365,0.599568,0.341892,,,off,policy_direct_scale,0.599568,0.341892,0.599568,0.341892,nan,nan,0,0,off,off
3,4,2026-08-21T15:20:55.868,1787296855.868443012,NAVIGATING,map,base_link,3.079727,-2.454620,1.379403,2.694219,-0.794667,map,2.694219,-0.794667,1.556308,0.694237,1.704131,0.419589,548,90,0,1.586310,0.999274,0.417296,0.599564,0.333837,,,off,policy_direct_scale,0.599564,0.333837,0.599564,0.333837,nan,nan,0,0,off,off
3,5,2026-08-21T15:20:56.386,1787296856.386727571,NAVIGATING,map,base_link,3.084437,-2.449943,1.379962,2.694219,-0.794667,map,2.694219,-0.794667,1.551211,0.697104,1.700650,0.422349,548,90,0,1.591605,0.999273,0.424548,0.599564,0.339638,,,off,policy_direct_scale,0.599564,0.339638,0.599564,0.339638,nan,nan,0,0,off,off
3,6,2026-08-21T15:20:56.907,1787296856.907700539,NAVIGATING,map,base_link,3.083645,-2.453634,1.379492,2.694219,-0.794667,map,2.694219,-0.794667,1.554658,0.697757,1.704061,0.421870,548,90,0,1.582815,0.999274,0.420364,0.599565,0.336291,,,off,policy_direct_scale,0.599565,0.336291,0.599565,0.336291,nan,nan,0,0,off,off
3,7,2026-08-21T15:20:57.469,1787296857.469530582,NAVIGATING,map,base_link,3.083465,-2.453237,1.379331,2.694219,-0.794667,map,2.694219,-0.794667,1.554189,0.697756,1.703633,0.421982,548,90,0,1.592841,0.999275,0.423047,0.599565,0.338438,,,off,policy_direct_scale,0.599565,0.338438,0.599565,0.338438,nan,nan,0,0,off,off
3,8,2026-08-21T15:20:57.985,1787296857.985175133,NAVIGATING,map,base_link,3.082666,-2.455792,1.380559,2.694219,-0.794667,map,2.694219,-0.794667,1.557705,0.695545,1.705939,0.419955,548,90,0,1.574820,0.999280,0.416663,0.599568,0.333330,,,off,policy_direct_scale,0.599568,0.333330,0.599568,0.333330,nan,nan,0,0,off,off
3,9,2026-08-21T15:20:58.505,1787296858.505945921,NAVIGATING,map,base_link,3.092501,-2.451614,1.378442,2.694219,-0.794667,map,2.694219,-0.794667,1.550249,0.707695,1.704143,0.428250,548,90,0,1.592343,0.999277,0.436586,0.599566,0.349269,,,off,policy_direct_scale,0.599566,0.349269,0.599566,0.349269,nan,nan,0,0,off,off
3,10,2026-08-21T15:20:59.106,1787296859.105992317,NAVIGATING,map,base_link,3.080647,-2.450461,1.379774,2.694219,-0.794667,map,2.694219,-0.794667,1.552307,0.693773,1.700288,0.420298,548,90,0,1.596314,0.999282,0.419556,0.599569,0.335645,,,off,policy_direct_scale,0.599569,0.335645,0.599569,0.335645,nan,nan,0,0,off,off
3,11,2026-08-21T15:20:59.664,1787296859.664763212,NAVIGATING,map,base_link,3.085697,-2.454126,1.379656,2.694219,-0.794667,map,2.694219,-0.794667,1.554865,0.699610,1.705010,0.422812,548,90,0,1.582444,0.999283,0.424599,0.599570,0.339679,,,off,policy_direct_scale,0.599570,0.339679,0.599570,0.339679,nan,nan,0,0,off,off
3,12,2026-08-21T15:21:00.227,1787296860.227928162,NAVIGATING,map,base_link,3.080463,-2.450971,1.378426,2.694219,-0.794667,map,2.694219,-0.794667,1.551908,0.695781,1.700744,0.421472,548,90,0,1.583882,0.999276,0.420435,0.599565,0.336348,,,off,policy_direct_scale,0.599565,0.336348,0.599565,0.336348,nan,nan,0,0,off,off
