schema_version,seq,wall_time,ros_time,status,global_frame,base_frame,robot_x,robot_y,robot_yaw,goal_x,goal_y,goal_frame,goal_raw_x,goal_raw_y,goal_in_base_x,goal_in_base_y,target_dist,target_angle,obs_dim,coverage_count,empty_group_count,min_pooled_range,normalized_action_linear,normalized_action_angular,cmd_published_linear,cmd_published_angular,experiment_id,experiment_profile,compensation_mode,action_mapping_mode,cmd_target_linear,cmd_target_angular,cmd_desired_linear,cmd_desired_angular,cmd_compensated_raw_linear,cmd_compensated_raw_angular,compensation_linear_accepted,compensation_angular_accepted,compensation_linear_reason,compensation_angular_reason
3,16,2026-08-21T15:14:49.106,1787296489.106539488,NAVIGATING,map,base_link,3.090816,-2.458801,1.377136,2.694219,-0.794667,map,2.694219,-0.794667,1.556699,0.709449,1.710740,0.427617,548,90,0,1.592804,0.999278,0.436342,0.599567,0.349074,,,off,policy_direct_scale,0.599567,0.349074,0.599567,0.349074,nan,nan,0,0,off,off
3,17,2026-08-21T15:14:49.706,1787296489.706462860,NAVIGATING,map,base_link,3.088073,-2.456860,1.379108,2.694219,-0.794667,map,2.694219,-0.794667,1.556713,0.703315,1.708218,0.424346,548,90,0,1.582747,0.999277,0.427125,0.599566,0.341700,,,off,policy_direct_scale,0.599566,0.341700,0.599566,0.341700,nan,nan,0,0,off,off
3,18,2026-08-21T15:14:50.309,1787296490.309850693,NAVIGATING,map,base_link,3.083429,-2.454778,1.377839,2.694219,-0.794667,map,2.694219,-0.794667,1.554666,0.700333,1.705125,0.423246,548,90,0,1.578608,0.999278,0.425404,0.599567,0.340323,,,off,policy_direct_scale,0.599567,0.340323,0.599567,0.340323,nan,nan,0,0,off,off
3,19,2026-08-21T15:14:50.906,1787296490.906720400,NAVIGATING,map,base_link,3.088981,-2.454302,1.379550,2.694219,-0.794667,map,2.694219,-0.794667,1.554339,0.703033,1.705938,0.424768,548,90,0,1.586636,0.999274,0.427949,0.599564,0.342359,,,off,policy_direct_scale,0.599564,0.342359,0.599564,0.342359,nan,nan,0,0,off,off
3,20,2026-08-21T15:14:51.506,1787296491.506813288,NAVIGATING,map,base_link,3.084295,-2.452061,1.378513,2.694219,-0.794667,map,2.694219,-0.794667,1.552305,0.699616,1.702678,0.423432,548,90,0,1.592052,0.999279,0.427108,0.599567,0.341687,,,off,policy_direct_scale,0.599567,0.341687,0.599567,0.341687,nan,nan,0,0,off,off
3,21,2026-08-21T15:14:52.106,1787296492.106567860,NAVIGATING,map,base_link,3.096148,-2.461396,1.378644,2.694219,-0.794667,map,2.694219,-0.794667,1.559297,0.712831,1.714507,0.428783,548,90,0,1.587099,0.999282,0.437968,0.599569,0.350374,,,off,policy_direct_scale,0.599569,0.350374,0.599569,0.350374,nan,nan,0,0,off,off
3,22,2026-08-21T15:14:52.706,1787296492.706470966,NAVIGATING,map,base_link,3.088185,-2.455775,1.376690,2.694219,-0.794667,map,2.694219,-0.794667,1.553921,0.706978,1.707188,0.426974,548,90,0,1.584494,0.999280,0.434857,0.599568,0.347885,,,off,policy_direct_scale,0.599568,0.347885,0.599568,0.347885,nan,nan,0,0,off,off
3,23,2026-08-21T15:14:53.306,1787296493.306905985,NAVIGATING,map,base_link,3.092443,-2.456279,1.378206,2.694219,-0.794667,map,2.694219,-0.794667,1.554671,0.708898,1.708665,0.427815,548,90,0,1.589701,0.999281,0.435846,0.599569,0.348677,,,off,policy_direct_scale,0.599569,0.348677,0.599569,0.348677,nan,nan,0,0,off,off
3,24,2026-08-21T15:14:53.909,1787296493.909214258,NAVIGATING,map,base_link,3.086749,-2.454159,1.377487,2.694219,-0.794667,map,2.694219,-0.794667,1.553174,0.704020,1.705284,0.425577,548,90,0,1.596323,0.999278,0.430649,0.599567,0.344519,,,off,policy_direct_scale,0.599567,0.344519,0.599567,0.344519,nan,nan,0,0,off,off
3,25,2026-08-21T15:14:54.506,1787296494.506466627,NAVIGATING,map,base_link,3.086691,-2.456906,1.377933,2.694219,-0.794667,map,2.694219,-0.794667,1.556195,0.703796,1.707944,0.424727,548,90,0,1.586004,0.999274,0.427973,0.599564,0.342379,,,off,policy_direct_scale,0.599564,0.342379,0.599564,0.342379,nan,nan,0,0,off,off
