family,method,seed,trials_to_target,target_reached,final_rmse,final_uncertainty,final_coverage_95,oracle_budget
affine,active,1001,18,True,0.004948657894005257,9.187222120185847e-05,0.952755905511811,
affine,active,1002,18,True,0.005574890824297913,9.187222120185847e-05,0.94750656167979,
affine,active,1003,18,True,0.00371666188495773,9.187222120185847e-05,0.952755905511811,
affine,active,1004,18,True,0.005196913666825306,9.187222120185847e-05,0.9536307961504812,
affine,active,1005,18,True,0.004466322570932464,9.187222120185847e-05,0.9536307961504812,
affine,active,1006,18,True,0.007191525381952413,9.187222120185847e-05,0.9378827646544182,
affine,active,1007,18,True,0.004701458286685828,9.187222120185847e-05,0.9501312335958005,
affine,active,1008,18,True,0.00319403813014599,9.187222120185847e-05,0.9501312335958005,
affine,active,1009,18,True,0.00401017745598975,9.187222120185847e-05,0.963254593175853,
affine,active,1010,18,True,0.004604205778795618,9.187222120185847e-05,0.9501312335958005,
affine,active,1011,18,True,0.0033857561785573236,9.187222120185847e-05,0.9545056867891514,
affine,active,1012,18,True,0.004791418199772927,9.187222120185847e-05,0.9405074365704287,
affine,active,1013,18,True,0.004159232506441134,9.187222120185847e-05,0.9536307961504812,
affine,active,1014,18,True,0.004983644370366273,9.187222120185847e-05,0.9510061242344707,
affine,active,1015,18,True,0.004144662919085203,9.187222120185847e-05,0.9413823272090989,
affine,active,1016,18,True,0.004737953324386495,9.187222120185847e-05,0.9510061242344707,
affine,active,1017,18,True,0.00566025946290309,9.187222120185847e-05,0.9448818897637795,
affine,active,1018,18,True,0.005085745810846375,9.187222120185847e-05,0.9641294838145232,
affine,active,1019,18,True,0.005355307765340485,9.187222120185847e-05,0.9510061242344707,
affine,active,1020,18,True,0.003593928881458399,9.187222120185847e-05,0.9597550306211724,
affine,active_no_task,1001,23,True,0.00564608265924959,0.00011697632394698932,0.9501312335958005,
affine,active_no_task,1002,23,True,0.008225300753036745,0.00011697632394698932,0.9466316710411199,
affine,active_no_task,1003,23,True,0.003456624885032549,0.00011697632394698932,0.952755905511811,
affine,active_no_task,1004,23,True,0.00575432290811161,0.00011697632394698932,0.952755905511811,
affine,active_no_task,1005,23,True,0.007486345919435761,0.00011697632394698932,0.9553805774278216,
affine,active_no_task,1006,23,True,0.007475353556604204,0.00011697632394698932,0.9422572178477691,
affine,active_no_task,1007,23,True,0.0050850419975572705,0.00011697632394698932,0.9518810148731408,
affine,active_no_task,1008,23,True,0.008610381695111155,0.00011697632394698932,0.9396325459317585,
affine,active_no_task,1009,23,True,0.005864415759759198,0.00011697632394698932,0.9562554680664916,
