family,method,seed,trial,source,cmd_vx,cmd_vy,cmd_wz,candidate_score,candidate_information,candidate_cost,rmse,integrated_uncertainty,nll,coverage_95,interval_width_95
affine,active,1001,1,seed_design,-0.6,0.0,0.0,,,,0.35795810848973963,15.129971204353314,5.196335649454184,1.0,12.528348768059638
affine,active,1001,2,seed_design,0.6,0.0,0.0,,,,0.24082657602088453,5.2165870338149,2.5605661158331734,1.0,11.439729587339606
affine,active,1001,3,seed_design,0.0,-0.3,0.0,,,,0.24044121280805406,4.911111207448137,2.3583059880718977,1.0,10.343646082255392
affine,active,1001,4,seed_design,0.0,0.3,0.0,,,,0.23954576474772263,4.488134552315127,2.1064778830271544,1.0,9.229498773818674
affine,active,1001,5,seed_design,0.0,0.0,-0.9,,,,0.16029153263576967,2.3438964815311123,1.442818320510518,1.0,7.911542751946644
affine,active,1001,6,seed_design,0.0,0.0,0.9,,,,0.047524556186981544,1.0236839726225566,0.46788145353404104,1.0,6.681252961208406
affine,active,1001,7,active,0.6437628902494907,-0.0049752285704016685,-0.3661094130948186,0.4302495853521846,0.4302495853521846,0.0,0.05389282473505703,0.5934343872704937,-0.47190370890563016,1.0,5.7898267633063565
affine,active,1001,8,active,0.8213807791471481,-0.10794861242175102,-0.048599244095385075,0.2548241966306273,0.2548241966306273,0.0,0.05310067723879288,0.338610190639814,-1.1298740013294273,1.0,4.850947214909226
affine,active,1001,9,active,-0.5587977115064859,-0.4588470859453082,-0.7028134698048234,0.1586778714402985,0.1586778714402985,0.0,0.051155340763375516,0.17993231919957847,-1.8324553733056421,1.0,3.538617258749856
affine,active,1001,10,active,-0.20723631232976913,0.2783943619579077,-0.9262739159166813,0.08744192786977074,0.08744192786977074,0.0,0.05106098150655108,0.09249039132984169,-2.8079326438672516,1.0,2.0004361639470467
affine,active,1001,11,active,-0.1681586466729641,-0.1457687672227621,-0.12793402466922998,0.03449894772893576,0.03449894772893576,0.0,0.04920757156791337,0.05799144360087066,-3.17280175151596,0.9991251093613298,1.553177468886781
affine,active,1001,12,active,0.270050136372447,-0.09123232122510672,-0.38733305409550667,0.03076926200998782,0.03076926200998782,0.0,0.042940314824637886,0.027222181590894012,-4.332403566304176,0.9973753280839895,1.268329102988595
affine,active,1001,13,active,0.5742992460727692,-0.0327353635802865,-1.453157619573176,0.021865987766674904,0.021865987766674904,0.0,0.0343447982452597,0.005356193824219216,-5.580833930187991,0.9825021872265967,0.4501298500234758
affine,active,1001,14,active,0.3620725516229868,-0.014637396670877934,0.26919371634721756,0.0019096661017460723,0.0019096661017460723,0.0,0.03340925841253153,0.00344652772247314,-5.890769895108582,0.931758530183727,0.38360099227325056
affine,active,1001,15,active,0.48825682885944843,0.10327036119997501,-0.5109860077500343,0.0010355079859195708,0.0010355079859195708,0.0,0.0309501348605107,0.00241101973655357,-6.019572880235724,0.9203849518810149,0.36985308442200526
affine,active,1001,16,active,0.17835468612611294,0.43619222939014435,-1.499497932381928,0.0005833454124915549,0.0005833454124915549,0.0,0.019137154940283854,0.0018276743240620138,-6.260306712021265,0.9413823272090989,0.23724210619024627
affine,active,1001,17,active,0.4198023658245802,-0.04138284828513861,1.3801514245569706,0.0003081384474739252,0.0003081384474739252,0.0,0.02045696864492267,0.0015195358765880919,-6.3581670987895365,0.9413823272090989,0.22386139312494469
affine,active,1001,18,active,0.6560612060129642,0.13402184005826712,0.30680720787495375,0.0002914622826123668,0.0002914622826123668,0.0,0.01801762148312155,0.0012280735939757218,-6.404038724326506,0.9308836395450568,0.21555428958852565
affine,active,1001,19,active,0.29380070231854916,0.0753285326063633,-0.8514330200850964,0.0001763717838147809,0.0001763717838147809,0.0,0.016595456894297,0.00105170181016094,-6.476120810196839,0.9247594050743657,0.21319644445802302
affine,active,1001,20,active,0.9203246794641018,0.08823253866285086,-0.17222948838025331,0.00013024608654976875,0.00013024608654976875,0.0,0.015167063634618507,0.0009214557236111713,-6.422825151812413,0.9177602799650044,0.20860560091381153
affine,active,1001,21,active,0.3732727114111185,0.12777768913656473,-0.23342051357030869,8.738689159460192e-05,8.738689159460192e-05,0.0,0.014844814753328805,0.0008340688320165689,-6.451887213804164,0.9203849518810149,0.20787124150718145
affine,active,1001,22,active,0.883257444947958,0.3924001306295395,0.24669424071907997,6.576369669591392e-05,6.576369669591392e-05,0.0,0.014563330714585612,0.0007683051353206546,-6.5571976722082095,0.9203849518810149,0.19262603923772437
