session_id,trial_id,cmd_vx,cmd_vy,cmd_wz,design_source,ramp_in_s,settle_s,measure_s,ramp_out_s,sample_rate_hz
go2-session-01,0,0.25,0.0,-0.5,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-01,1,0.3,0.0,0.0,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-01,2,-0.35,-0.15,-0.45,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-01,3,0.47955854819297705,0.09064823570056746,0.440749887050617,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,4,0.23928908818903438,-0.11283722570222701,-0.5345214201297952,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,5,-0.2666146991363057,0.10455274730066777,-0.7107103367685075,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,6,0.46271061761134014,0.27574253552508105,0.27943552523850057,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,7,-0.3178565348459105,0.0019044257495883232,-0.05899048730185985,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,8,0.16271285366133403,0.08420819780809208,-0.7661397373392533,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,9,0.3,0.0,0.0,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-01,10,0.25,0.0,0.5,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-01,11,0.0,0.25,0.0,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-01,12,0.2784330666784586,-0.059983777062886656,0.011426083261975806,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,13,0.0,0.0,0.7,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-01,14,0.017579728053783605,-0.041827804133260316,-0.26526063539670086,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,15,0.4080162960059991,-0.21341855810269353,-0.7477904005504974,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,16,0.25,0.0,0.5,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-01,17,0.050752969090446354,0.11109051144663368,0.6533991845264671,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,18,-0.5,0.0,0.0,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-01,19,0.5121444172872839,-0.27915374990691694,-0.07947020890851886,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,20,0.20705555172538292,0.2107796314893487,0.6576087473321921,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,21,0.49982377285114266,-0.025936661392395366,-0.28683657922323647,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,22,-0.5071151832062686,0.29148072443747725,0.002567156851869812,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,23,0.4756489886467131,-0.09299819224045291,-0.5540742085481458,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,24,0.25,0.0,0.5,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-01,25,-0.0640524903549774,-0.0794954875790814,-0.5218010496599366,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,26,0.5043226705506697,0.15029071398279992,0.4818378890966242,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,27,0.35,0.15,-0.45,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-01,28,-0.4866586797263166,0.28352041964487656,-0.17676209551746314,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,29,-0.04670692247732611,0.19305123179479666,-0.41141587456603035,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,30,0.3940918047201779,-0.12199603534475242,-0.028514851704269262,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,31,0.1831276148668488,0.22189994589547574,-0.7271929173357581,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,32,0.040884951432615835,0.12161917600846961,0.20338405763237266,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,33,0.5287940493076887,-0.07847912327020293,0.12977095124289773,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,34,0.5,0.0,0.0,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-01,35,-0.34806980209517585,0.16534224858360985,-0.40738529726104555,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,36,0.4294576412367549,0.007065117367781537,-0.6802806432440066,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,37,0.35,-0.15,0.45,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-01,38,-0.12514032379719098,0.018544516946840173,0.34653799436857025,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,39,0.46935552439235095,0.029382544152404932,0.2122036680242303,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,40,0.19866356746009606,-0.2395832655361898,0.08724965062736234,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,41,-0.35,0.15,0.45,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-01,42,0.4183483758237855,-0.03133443149453424,-0.6457940151630975,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,43,0.0,0.0,-0.7,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-01,44,-0.30386192378784127,0.18856002725188553,-0.7585367123875092,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,45,-0.20202692688141038,-0.061908126351274795,0.36948031271977344,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,46,-0.006922992492250146,-0.2585641695232969,-0.12135932914494663,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,47,-0.26177992664668925,-0.29286599313487205,-0.7896078394456126,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-01,48,0.0,-0.25,0.0,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-01,49,0.25,0.0,-0.5,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-01,50,-0.5256046673025896,-0.036842451213904004,0.5561859834331486,lhs,0.6,0.8,2.0,0.6,50.0
