scenario,tier,seed,phase,trial,source,cmd_vx,cmd_vy,cmd_wz,measured_vx,measured_vy,measured_wz,predicted_vx,predicted_vy,predicted_wz,predicted_std_vx,predicted_std_vy,predicted_std_wz,valid,reason_codes,steady_ratio,safety_events
tier_b_friction_payload,B,5309,calibration,2,seed_design,0.4,0.0,0.0,0.4218061876501799,0.018039579610523496,-0.0086729315623612,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5310,calibration,2,seed_design,0.4,0.0,0.0,0.4213130093602511,0.019950978927489448,-0.008858862309418278,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5311,calibration,2,seed_design,0.4,0.0,0.0,0.4213682379906361,0.019986141182443302,-0.008670766801792094,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5312,calibration,2,seed_design,0.4,0.0,0.0,0.421783266635595,0.018028256220789858,-0.008584921347011228,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5313,calibration,2,seed_design,0.4,0.0,0.0,0.42391789975732713,0.01883383673332962,-0.009782550947881805,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5314,calibration,2,seed_design,0.4,0.0,0.0,0.4217884172198783,0.01803324299298987,-0.008810032918386208,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5315,calibration,2,seed_design,0.4,0.0,0.0,0.4231405164258105,0.01882899111529793,-0.010497301031796932,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5316,calibration,2,seed_design,0.4,0.0,0.0,0.42395000328557436,0.01882789241009719,-0.009818381411750737,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5317,calibration,2,seed_design,0.4,0.0,0.0,0.42311631055940113,0.018852564083967023,-0.010522209753859462,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5318,calibration,2,seed_design,0.4,0.0,0.0,0.4231305405606194,0.0188388403318508,-0.010519126815332513,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5319,calibration,2,seed_design,0.4,0.0,0.0,0.4213397461399886,0.020005716661665205,-0.008713055716439893,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5320,calibration,2,seed_design,0.4,0.0,0.0,0.4221304416013246,0.016927388241547,-0.0054812662428888985,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5301,calibration,3,seed_design,0.0,-0.25,0.0,0.018829524696832908,-0.26304632506277187,0.0008849381079184167,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5302,calibration,3,seed_design,0.0,-0.25,0.0,0.018857877345171508,-0.26263929128664143,8.673157547387196e-05,nan,nan,nan,nan,nan,nan,True,,1.0,
tier_b_friction_payload,B,5303,calibration,3,seed_design,0.0,-0.25,0.0,0.018949930579221685,-0.26315329258649073,0.0007334115448217981,nan,nan,nan,nan,nan,nan,True,,1.0,
