scenario,tier,seed,validation_rows,raw_rmse,calibrated_rmse,absolute_improvement,relative_reduction
tier_b_friction_payload,B,5301,8,0.1072480479714135,0.09722341175508636,0.01002463621632714,0.09347150280067718
tier_b_friction_payload,B,5302,8,0.10689818535495939,0.09671857269667151,0.010179612658287873,0.09522717924991986
tier_b_friction_payload,B,5303,8,0.1074170227375675,0.09775553888207475,0.009661483855492745,0.08994369429784788
tier_b_friction_payload,B,5304,8,0.10621596324957301,0.09573783230063454,0.010478130948938472,0.09864930494786617
tier_b_friction_payload,B,5305,8,0.10721251485957986,0.09774402938630992,0.009468485473269936,0.08831511401137415
tier_b_friction_payload,B,5306,8,0.1076367381999092,0.09777877042688728,0.00985796777302192,0.09158553053431562
tier_b_friction_payload,B,5307,8,0.10793364161907337,0.09807128022549068,0.009862361393582694,0.09137430411538972
tier_b_friction_payload,B,5308,8,0.10738008798216563,0.09710511248758871,0.010274975494576913,0.0956879034806104
tier_b_friction_payload,B,5309,8,0.10782435652496335,0.09769612873824988,0.010128227786713462,0.09393265226088865
tier_b_friction_payload,B,5310,8,0.1076497372363943,0.09831835637409005,0.009331380862304256,0.08668280203799228
tier_b_friction_payload,B,5311,8,0.10766195041491602,0.09805496215813837,0.009606988256777652,0.08923290187251387
tier_b_friction_payload,B,5312,8,0.10774705620398024,0.09820574619665856,0.009541310007321682,0.08855286022161613
tier_b_friction_payload,B,5313,8,0.10803945040463339,0.09738608292005177,0.010653367484581622,0.0986062724743807
tier_b_friction_payload,B,5314,8,0.10782472250022847,0.09714362421814558,0.010681098282082885,0.09905982630338095
tier_b_friction_payload,B,5315,8,0.10720647799177138,0.09775970744683309,0.009446770544938296,0.08811753470404449
tier_b_friction_payload,B,5316,8,0.1071433579813719,0.09693935837243249,0.010203999608939404,0.09523688449930312
tier_b_friction_payload,B,5317,8,0.10745891602546509,0.09686230503475385,0.010596610990711242,0.09861081223078882
tier_b_friction_payload,B,5318,8,0.10715775030455876,0.0970735060546928,0.010084244249865967,0.09410653192330931
tier_b_friction_payload,B,5319,8,0.10858447419655444,0.09849332943278483,0.010091144763769613,0.09293358777520166
tier_b_friction_payload,B,5320,8,0.10599807842859163,0.09635115904095476,0.00964691938763687,0.09101032330633962
