distribution,budget,seed,task_ivr_mismatch_to_declared_rmse_ratio
forward_heavy,24,1020,0.9336878444368564
forward_heavy,30,1001,0.986211030552977
forward_heavy,30,1002,1.0154448627619608
forward_heavy,30,1003,1.0186431024561442
forward_heavy,30,1004,1.0207003066770195
forward_heavy,30,1005,0.993468321657734
forward_heavy,30,1006,1.003473864164023
forward_heavy,30,1007,0.9730194422539106
forward_heavy,30,1008,1.0378917262786438
forward_heavy,30,1009,0.9512038035378333
forward_heavy,30,1010,1.0520688124543534
forward_heavy,30,1011,0.9779106269902337
forward_heavy,30,1012,0.9941709557965975
forward_heavy,30,1013,0.9731994890436032
forward_heavy,30,1014,0.9928432648673547
forward_heavy,30,1015,1.0023006555500305
forward_heavy,30,1016,0.9498735339685612
forward_heavy,30,1017,0.9677447724018257
forward_heavy,30,1018,0.9536147333361937
forward_heavy,30,1019,0.9430870253369191
forward_heavy,30,1020,0.8855753520072154
left_heavy,18,1001,1.0465438601542063
left_heavy,18,1002,0.947089474448206
left_heavy,18,1003,0.9681996115627723
left_heavy,18,1004,1.047525432870446
left_heavy,18,1005,0.9333553883788269
left_heavy,18,1006,1.1999420106479939
left_heavy,18,1007,0.9829441884228709
left_heavy,18,1008,0.932632988749611
left_heavy,18,1009,1.0068056413825157
left_heavy,18,1010,0.7642443014111114
left_heavy,18,1011,1.0168643986987251
left_heavy,18,1012,1.1260425054923704
left_heavy,18,1013,1.2225530673302818
left_heavy,18,1014,1.091419464808707
left_heavy,18,1015,0.9134918305013683
left_heavy,18,1016,1.3343290902462075
left_heavy,18,1017,0.8090973567808993
left_heavy,18,1018,1.2571546058321048
left_heavy,18,1019,0.8607114057908059
left_heavy,18,1020,1.0393772413392233
left_heavy,24,1001,1.0826782227934453
left_heavy,24,1002,1.0851582873200276
left_heavy,24,1003,0.9295185111604352
left_heavy,24,1004,0.9591605969052841
left_heavy,24,1005,0.9907890255539434
left_heavy,24,1006,1.1448312735742618
left_heavy,24,1007,1.1293378895095272
left_heavy,24,1008,1.117740794448434
left_heavy,24,1009,0.9355768750024224
left_heavy,24,1010,0.7887544475919231
left_heavy,24,1011,0.7741587095461744
left_heavy,24,1012,1.0905015743204896
left_heavy,24,1013,1.206353001277815
left_heavy,24,1014,0.9773200447343419
left_heavy,24,1015,1.0016215513452134
left_heavy,24,1016,1.2199575578424628
left_heavy,24,1017,0.8526192685109583
left_heavy,24,1018,1.139261462828907
left_heavy,24,1019,0.9041837133274092
left_heavy,24,1020,1.0824215287636574
left_heavy,30,1001,0.8980802423030241
left_heavy,30,1002,1.0585007059641305
left_heavy,30,1003,0.8864888876145339
left_heavy,30,1004,0.8155189809941006
left_heavy,30,1005,0.984555665026122
left_heavy,30,1006,1.0792777219006673
left_heavy,30,1007,1.1736794474878285
left_heavy,30,1008,1.0149908610551999
left_heavy,30,1009,1.0320279244694448
left_heavy,30,1010,0.8696710686464267
left_heavy,30,1011,0.7835877810942773
left_heavy,30,1012,1.0341800669114907
left_heavy,30,1013,1.246451837489174
left_heavy,30,1014,0.9891181876851932
left_heavy,30,1015,1.0181555753183982
left_heavy,30,1016,1.1657777342044782
left_heavy,30,1017,0.7844206769308426
left_heavy,30,1018,1.0259132668185258
left_heavy,30,1019,0.9249538311542097
left_heavy,30,1020,0.8758353976699144
right_heavy,18,1001,1.0474510287133418
right_heavy,18,1002,0.9051357150851881
right_heavy,18,1003,1.1349920056746565
right_heavy,18,1004,0.8275378789066402
right_heavy,18,1005,1.0348981102120343
right_heavy,18,1006,0.7378892310709477
right_heavy,18,1007,0.9630694970275537
right_heavy,18,1008,1.0105241797060134
right_heavy,18,1009,0.9463295757349228
right_heavy,18,1010,1.08756513208776
right_heavy,18,1011,0.8177509572258358
right_heavy,18,1012,0.8867823469900322
right_heavy,18,1013,0.7755658357974875
right_heavy,18,1014,0.9858306024070943
right_heavy,18,1015,1.0621630702492026
right_heavy,18,1016,0.8969038406661138
right_heavy,18,1017,0.9186402967760303
right_heavy,18,1018,1.108282846016932
right_heavy,18,1019,1.3435411914651831
right_heavy,18,1020,1.217880743881066
right_heavy,24,1001,1.0837166894072006
right_heavy,24,1002,0.8680361174065813
right_heavy,24,1003,1.065603668802045
right_heavy,24,1004,1.0098074598272464
right_heavy,24,1005,0.9991507214442025
right_heavy,24,1006,0.8194864679266679
right_heavy,24,1007,0.9943384757151972
right_heavy,24,1008,0.9225658441491519
right_heavy,24,1009,0.9961323884765946
right_heavy,24,1010,1.059242578774097
right_heavy,24,1011,1.2024384035209188
