family,method,seed,budget,distribution,rmse
affine,active,1013,30,broad_uniform,0.02759648126554906
affine,active,1014,18,declared,0.01892296413212061
affine,active,1014,18,forward_heavy,0.018165477332313808
affine,active,1014,18,left_heavy,0.020869040988518345
affine,active,1014,18,right_heavy,0.01904207875665726
affine,active,1014,18,broad_uniform,0.0394388417884785
affine,active,1014,24,declared,0.014255467331301872
affine,active,1014,24,forward_heavy,0.01387247436485662
affine,active,1014,24,left_heavy,0.016445296320383204
affine,active,1014,24,right_heavy,0.012841550780532035
affine,active,1014,24,broad_uniform,0.04523676571925485
affine,active,1014,30,declared,0.011368260316614986
affine,active,1014,30,forward_heavy,0.011415768029425682
affine,active,1014,30,left_heavy,0.011859680165729112
affine,active,1014,30,right_heavy,0.010663085470473942
affine,active,1014,30,broad_uniform,0.034173976861199766
affine,active,1015,18,declared,0.014820027372470491
affine,active,1015,18,forward_heavy,0.014189285695421919
affine,active,1015,18,left_heavy,0.013019438634387334
affine,active,1015,18,right_heavy,0.018162324501441698
affine,active,1015,18,broad_uniform,0.0596790101680929
affine,active,1015,24,declared,0.010614927751317279
affine,active,1015,24,forward_heavy,0.010052295979572044
affine,active,1015,24,left_heavy,0.010208469865396282
affine,active,1015,24,right_heavy,0.012560847462560344
affine,active,1015,24,broad_uniform,0.050266551943751674
affine,active,1015,30,declared,0.007967758148566687
affine,active,1015,30,forward_heavy,0.007157721789433102
affine,active,1015,30,left_heavy,0.008949761252374575
affine,active,1015,30,right_heavy,0.009152291202066917
affine,active,1015,30,broad_uniform,0.03145895689748638
affine,active,1016,18,declared,0.018772281891995687
affine,active,1016,18,forward_heavy,0.016502023099468136
affine,active,1016,18,left_heavy,0.024508347392489
affine,active,1016,18,right_heavy,0.01832823570540917
affine,active,1016,18,broad_uniform,0.04267529560016115
affine,active,1016,24,declared,0.012414116820572274
affine,active,1016,24,forward_heavy,0.010871950154931824
affine,active,1016,24,left_heavy,0.015611457188903081
affine,active,1016,24,right_heavy,0.013034417345197388
affine,active,1016,24,broad_uniform,0.02980913989942808
affine,active,1016,30,declared,0.01077706715108661
affine,active,1016,30,forward_heavy,0.009601304688621352
affine,active,1016,30,left_heavy,0.0136810007838803
affine,active,1016,30,right_heavy,0.010709235135596068
