scenario,seed,monitor_trials,false_alarm,first_alarm_trial,maximum_cusum,mean_normalized_nis,valid_observation_ratio,monitor_safety_event_count
stationary_nominal,13101,100,False,0,130.29187265803878,2.7735247561449428,1.0,0
stationary_nominal,13102,100,False,0,115.11518580389729,2.61612727600311,1.0,0
stationary_nominal,13103,100,False,0,93.07870947919585,2.39427668197027,1.0,0
stationary_nominal,13104,100,False,0,127.38192192327534,2.7423556492329584,1.0,0
stationary_nominal,13105,100,False,0,117.00204114491162,2.6363404894784623,1.0,0
stationary_nominal,13106,100,False,0,128.4812075965646,2.744707714521912,1.0,0
stationary_nominal,13107,100,False,0,42.45073568432806,1.8884984625966248,1.0,0
stationary_nominal,13108,100,False,0,136.1480582950943,2.827068085137711,1.0,0
stationary_nominal,13109,100,False,0,91.50162635789529,2.378318557856173,0.88,0
stationary_nominal,13110,100,False,0,153.1756473452701,2.9995581006032435,1.0,0
stationary_nominal,13111,100,False,0,126.70201999128278,2.731730785158965,1.0,0
stationary_nominal,13112,100,False,0,98.89410014503414,2.4543765315735455,1.0,0
stationary_nominal,13113,100,False,0,117.09628253111585,2.633226884172872,1.0,0
stationary_nominal,13114,100,False,0,104.00819675441471,2.50513058203821,1.0,0
stationary_nominal,13115,100,False,0,133.8320118390627,2.810085673127795,1.0,0
stationary_nominal,13116,100,False,0,68.25869630323368,2.1488175142324963,1.0,0
stationary_nominal,13117,100,False,0,121.25340747807547,2.676076745553751,1.0,0
stationary_nominal,13118,100,False,0,99.0575219397436,2.457129157688412,1.0,0
stationary_nominal,13119,100,False,0,96.54850601352811,2.437795603889953,1.0,0
stationary_nominal,13120,100,False,0,0.5042922135550447,0.7869161736116379,1.0,0
stationary_nominal,13121,100,False,0,132.3062776698845,2.7905984663106773,1.0,0
stationary_nominal,13122,100,False,0,15.631020342222497,1.6134195453708793,1.0,0
stationary_nominal,13123,100,False,0,103.46503675707399,2.4991625638606787,1.0,0
stationary_nominal,13124,100,False,0,132.1563156153694,2.78385890689521,1.0,0
stationary_nominal,13125,100,False,0,81.86078026185965,2.2781647416793764,1.0,0
stationary_nominal,13126,100,False,0,125.4132150682601,2.715528831545748,1.0,0
stationary_nominal,13127,100,False,0,83.10267435226928,2.2938908378524774,1.0,0
stationary_nominal,13128,100,False,0,94.66395759264714,2.4067669741256688,1.0,0
stationary_nominal,13129,100,False,0,110.22750816342818,2.574546318658686,1.0,0
stationary_nominal,13130,100,False,0,68.89157279626859,2.151947530125039,1.0,0
stationary_low_friction,13101,100,True,4,103.41566264936579,2.5341566264936595,1.0,0
stationary_low_friction,13102,100,True,5,38.98111555428602,1.888122254715271,1.0,0
stationary_low_friction,13103,100,False,0,23.100181367408176,1.7109005457866704,1.0,0
stationary_low_friction,13104,100,True,3,65.86032309002024,2.147375817191967,1.0,0
stationary_low_friction,13105,100,True,3,76.2639885971716,2.249469607249331,1.0,0
stationary_low_friction,13106,100,True,4,150.0958672867318,3.0009586728673194,1.0,0
stationary_low_friction,13107,100,False,0,10.73008619501047,1.596517060257684,1.0,0
stationary_low_friction,13108,100,True,6,79.36950251060296,2.268690502402425,1.0,0
stationary_low_friction,13109,100,True,5,51.45137804426947,2.0026820056501546,1.0,0
stationary_low_friction,13110,100,False,0,22.581566020453327,1.703748611964234,1.0,0
stationary_low_friction,13111,100,False,0,3.0276791308222313,1.3471856478209328,1.0,0
stationary_low_friction,13112,100,True,4,69.12002025255461,2.185715709549082,1.0,0
stationary_low_friction,13113,100,True,3,70.17867717012528,2.1906436471691304,1.0,0
stationary_low_friction,13114,100,True,4,36.95320667460558,1.8695320667460562,1.0,0
stationary_low_friction,13115,100,True,4,66.38924799307576,2.163892479930757,1.0,0
stationary_low_friction,13116,100,True,5,15.246691570306274,1.6445027592355104,1.0,0
stationary_low_friction,13117,100,False,0,30.969042803510263,1.796370663765644,1.0,0
stationary_low_friction,13118,100,False,0,35.94343954693482,1.8419453971593347,1.0,0
stationary_low_friction,13119,100,True,4,33.64689892681637,1.8364689892681636,1.0,0
stationary_low_friction,13120,100,False,0,4.153557072829924,1.4715159695353797,1.0,0
stationary_low_friction,13121,100,False,0,37.481587948817086,1.8502157132000756,1.0,0
stationary_low_friction,13122,100,True,7,53.883512560272024,2.0157702414837475,1.0,0
stationary_low_friction,13123,100,True,5,55.55709240692359,2.047552515478635,1.0,0
stationary_low_friction,13124,100,True,5,132.8205034379998,2.8174932348652995,1.0,0
stationary_low_friction,13125,100,True,5,58.50293802573687,2.076666654510404,1.0,0
stationary_low_friction,13126,100,True,4,124.12466901710982,2.741246690171098,1.0,0
stationary_low_friction,13127,100,False,0,29.54265076434132,1.7750443006864347,1.0,0
stationary_low_friction,13128,100,True,4,66.33259933056105,2.1633259933056106,1.0,0
stationary_low_friction,13129,100,True,3,51.6946186247978,2.0169461862479774,1.0,0
stationary_low_friction,13130,100,False,0,1.925180964053854,1.4244795971873236,1.0,0
stationary_payload_com,13101,100,True,10,31.350245028207436,1.8039559223730661,0.75,25
stationary_payload_com,13102,100,True,4,72.49031482134308,2.224903148213431,1.0,0
stationary_payload_com,13103,100,False,0,2.2476777633882192,1.4572528383733856,1.0,0
stationary_payload_com,13104,100,False,0,50.8120126124223,1.9924188902044457,1.0,0
stationary_payload_com,13105,100,False,0,1.564318854183099,1.4316142508206884,1.0,0
stationary_payload_com,13106,100,True,4,78.6426477148817,2.286426477148818,0.88,12
stationary_payload_com,13107,100,True,18,6.3387201515519696,1.5482627049030169,0.88,12
stationary_payload_com,13108,100,True,5,82.75391850915705,2.3080079779036593,1.0,0
stationary_payload_com,13109,100,False,0,26.135406538929104,1.7488427351509648,1.0,0
