scenario,seed,passive_early_mean_rmse,full_early_mean_rmse,passive_minus_full_early_rmse,passive_final_rmse,full_final_rmse,full_minus_passive_final_rmse,passive_recovery_trials,full_recovery_trials
final030_gain_recoupling,18101,0.10399500894760018,0.0931177295050828,0.010877279442517374,0.09578594516745997,0.12503258414767957,0.02924663898021959,7.0,6.0
final030_gain_recoupling,18102,0.09379773293549809,0.07995565223944409,0.013842080696053999,0.07225502465609523,0.09380636346737752,0.02155133881128228,8.0,6.0
final030_gain_recoupling,18103,0.08104067574437968,0.07664806205509374,0.004392613689285937,0.0701216246754353,0.09900701299648214,0.02888538832104684,7.0,6.0
final030_gain_recoupling,18104,0.09064674446090422,0.0799799308210866,0.010666813639817613,0.05180068087438854,0.09931914365174326,0.04751846277735471,8.0,6.0
final030_gain_recoupling,18105,0.12295949057021094,0.10215478084799133,0.020804709722219608,0.08035358490166022,0.11608978690991248,0.035736202008252255,9.0,8.0
final030_gain_recoupling,18106,0.09857320870591,0.09243442013159997,0.006138788574310036,0.0815706415444123,0.11711640342545569,0.035545761881043386,6.0,6.0
final030_gain_recoupling,18107,0.11846830036376606,0.11706291648013079,0.0014053838836352722,0.07850820698169111,0.12164303102005089,0.043134824038359776,8.0,8.0
final030_gain_recoupling,18108,0.09177535424201162,0.08615074651694903,0.005624607725062597,0.07511096276227851,0.11029761979431198,0.03518665703203347,7.0,6.0
final030_gain_recoupling,18109,0.09991187606720682,0.09190285578040658,0.008009020286800242,0.10027555896778209,0.11480042782192781,0.014524868854145723,8.0,7.0
final030_gain_recoupling,18110,0.1002541559481599,0.0922841423844465,0.007970013563713393,0.09045493367672555,0.10103506410047632,0.010580130423750764,6.0,6.0
final030_gain_recoupling,18111,0.11620861682522714,0.11620861682522714,0.0,0.1387184168470657,0.1387184168470657,-0.0,6.0,6.0
final030_gain_recoupling,18112,0.1118929195337537,0.09926629130241094,0.012626628231342765,0.08051268747892894,0.10399525723818448,0.023482569759255542,8.0,8.0
final030_gain_recoupling,18113,0.10737901733785284,0.1037810652427178,0.0035979520951350402,0.061632255359356757,0.08547481803283767,0.023842562673480915,8.0,6.0
final030_gain_recoupling,18114,0.08377003437934072,0.0725753626008419,0.011194671778498824,0.07565488913768609,0.10310432916297622,0.027449440025290137,6.0,6.0
final030_gain_recoupling,18115,0.08254288534600951,0.07196719739464882,0.010575687951360685,0.07758836979044959,0.10033912564419149,0.022750755853741908,7.0,6.0
final030_gain_recoupling,18116,0.10733759483458437,0.09361184497386925,0.01372574986071512,0.08252525955663856,0.11432471826651387,0.031799458709875314,7.0,6.0
final030_gain_recoupling,18117,0.10044539570512732,0.0901123219070089,0.01033307379811843,0.07318943670129112,0.11695299077399487,0.043763554072703756,8.0,8.0
final030_gain_recoupling,18118,0.1009232832384294,0.08200088301660213,0.01892240022182727,0.08116684375549192,0.11148144003821292,0.030314596282721,6.0,6.0
final030_gain_recoupling,18119,0.08980372400396308,0.0811396900416736,0.008664033962289486,0.08639991046864083,0.1100375394831445,0.02363762901450367,7.0,6.0
final030_gain_recoupling,18120,0.08952724421586344,0.08074819916355619,0.008779045052307255,0.04597605311265865,0.10096929883098947,0.05499324571833082,8.0,6.0
final030_gain_recoupling,18121,0.09824094489507568,0.0806607371213821,0.017580207773693582,0.08995030245299085,0.1190503738933899,0.029100071440399056,6.0,6.0
final030_gain_recoupling,18122,0.11514462677542792,0.11004776046283625,0.005096866312591666,0.09791933779804528,0.11807638020370724,0.020157042405661962,8.0,8.0
final030_gain_recoupling,18123,0.08942019213258778,0.08206110710393717,0.007359085028650611,0.07942824512423409,0.10721512186579618,0.02778687674156209,7.0,6.0
final030_gain_recoupling,18124,0.0861284465859286,0.06910858671957035,0.017019859866358247,0.07081662358151004,0.09816072038702243,0.02734409680551239,6.0,6.0
final030_gain_recoupling,18125,0.11140078544972781,0.08906657761426391,0.0223342078354639,0.08190291852072244,0.11087538595803405,0.028972467437311605,6.0,6.0
final030_gain_recoupling,18126,0.0882186231911599,0.08505243577645065,0.003166187414709254,0.08662274244996165,0.11274335408235833,0.02612061163239668,7.0,6.0
final030_gain_recoupling,18127,0.08958225105055305,0.07918343013877562,0.010398820911777434,0.08924386456345484,0.11484489520736996,0.025601030643915113,7.0,6.0
final030_gain_recoupling,18128,0.08869459546319274,0.07712099611954762,0.011573599343645116,0.06406771874785677,0.10030948374158398,0.03624176499372721,7.0,6.0
final030_gain_recoupling,18129,0.0869161250802024,0.07896652598204264,0.00794959909815976,0.08407906102923016,0.09832584412484888,0.01424678309561872,6.0,6.0
final030_gain_recoupling,18130,0.081757512003261,0.074313238532782,0.00744427347047899,0.0773758043679107,0.10944247040872143,0.03206666604081074,6.0,6.0
final030_gain_recoupling,18131,0.10245626233018619,0.08426986753341342,0.018186394796772767,0.08898168130139787,0.1171399245431413,0.02815824324174343,7.0,6.0
final030_gain_recoupling,18132,0.08712714103076326,0.06906266994437689,0.01806447108638637,0.08794927018913991,0.07436415990382868,-0.01358511028531123,7.0,6.0
final030_gain_recoupling,18133,0.12569629739965768,0.11167422187177667,0.014022075527881012,0.12634990677405475,0.13622668221936257,0.009876775445307823,8.0,8.0
final030_gain_recoupling,18134,0.08633603579058695,0.07660675923221884,0.00972927655836811,0.0745795610059215,0.11023277704741602,0.03565321604149452,7.0,6.0
final030_gain_recoupling,18135,0.10101706588469504,0.09370954758047774,0.007307518304217303,0.10277443745294812,0.1158264417342753,0.013052004281327176,7.0,6.0
final030_gain_recoupling,18136,0.12379156927819875,0.10974135054401286,0.014050218734185882,0.09347546474574864,0.12254813292033812,0.029072668174589478,13.0,8.0
final030_gain_recoupling,18137,0.09189581910247341,0.08148134620326551,0.010414472899207897,0.08397059644096896,0.10863850473686348,0.02466790829589452,7.0,6.0
final030_gain_recoupling,18138,0.09054289880063045,0.08503029201808655,0.005512606782543894,0.06185347485444759,0.10472213280508054,0.04286865795063295,8.0,6.0
final030_gain_recoupling,18139,0.08936068247916269,0.08236165253621629,0.006999029942946405,0.08095811025581791,0.10078478775963015,0.019826677503812243,7.0,6.0
final030_gain_recoupling,18140,0.11727435201460201,0.11401444312728663,0.0032599088873153798,0.08639747333652946,0.13996284717572155,0.05356537383919209,8.0,8.0
final030_gain_recoupling,18141,0.09171311824010782,0.09263754708583148,-0.0009244288457236627,0.09489516368446213,0.11242378152381348,0.01752861783935135,7.0,6.0
final030_gain_recoupling,18142,0.09326426629867397,0.0806199324902349,0.012644333808439073,0.08330541238915393,0.10024414900086308,0.01693873661170915,8.0,6.0
final030_gain_recoupling,18143,0.10144202577155657,0.08954167296515758,0.011900352806398992,0.0910886544878891,0.11769418310613353,0.02660552861824443,8.0,6.0
final030_gain_recoupling,18144,0.09485338649243112,0.08327641491883171,0.01157697157359941,0.09967683789047481,0.11971631425976742,0.02003947636929261,6.0,6.0
final030_gain_recoupling,18145,0.09309069317792103,0.08007375056259397,0.013016942615327057,0.054801653008458434,0.06961807349651768,0.014816420488059243,8.0,6.0
final030_gain_recoupling,18146,0.08677087160458856,0.07289746069354346,0.013873410911045103,0.07343145341771891,0.09886947674610627,0.025438023328387363,7.0,6.0
final030_gain_recoupling,18147,0.12393292866321555,0.1134721782159226,0.010460750447292944,0.07216173330608207,0.11468737108455976,0.04252563777847769,8.0,8.0
final030_gain_recoupling,18148,0.09369347369077506,0.08556023163079836,0.008133242059976703,0.08067688859081845,0.11310683218684245,0.032429943596024,7.0,6.0
final030_gain_recoupling,18149,0.0943315120233521,0.08216405521917781,0.01216745680417429,0.07888492057021673,0.11643579399576147,0.03755087342554474,6.0,6.0
final030_gain_recoupling,18150,0.11255427880862896,0.10428414397564569,0.008270134832983278,0.08001876425526236,0.13344062524798453,0.05342186099272217,8.0,6.0
final030_gain_recoupling,18151,0.09401143662264703,0.08984967741843695,0.00416175920421008,0.07702573293564936,0.11410412335113734,0.03707839041548798,7.0,6.0
final030_gain_recoupling,18152,0.11693436835243946,0.11227616218207193,0.004658206170367538,0.07193615702110484,0.0853972262632324,0.01346106924212756,9.0,9.0
