command_id,cmd_vx,cmd_vy,cmd_wz
POOL_001,-0.600000,0.000000,0.000000
POOL_002,-0.480000,0.000000,0.000000
POOL_003,-0.360000,0.000000,0.000000
POOL_004,-0.240000,0.000000,0.000000
POOL_005,-0.120000,0.000000,0.000000
POOL_006,0.000000,0.000000,0.000000
POOL_007,0.120000,0.000000,0.000000
POOL_008,0.240000,0.000000,0.000000
POOL_009,0.360000,0.000000,0.000000
POOL_010,0.480000,0.000000,0.000000
POOL_011,0.600000,0.000000,0.000000
POOL_012,0.000000,-0.300000,0.000000
POOL_013,0.000000,-0.200000,0.000000
POOL_014,0.000000,-0.100000,0.000000
POOL_015,0.000000,0.100000,0.000000
POOL_016,0.000000,0.200000,0.000000
POOL_017,0.000000,0.300000,0.000000
POOL_018,0.000000,0.000000,-0.800000
POOL_019,0.000000,0.000000,-0.666667
POOL_020,0.000000,0.000000,-0.533333
POOL_021,0.000000,0.000000,-0.400000
POOL_022,0.000000,0.000000,-0.266667
POOL_023,0.000000,0.000000,-0.133333
POOL_024,0.000000,0.000000,0.133333
POOL_025,0.000000,0.000000,0.266667
POOL_026,0.000000,0.000000,0.400000
POOL_027,0.000000,0.000000,0.533333
POOL_028,0.000000,0.000000,0.666667
POOL_029,0.000000,0.000000,0.800000
POOL_030,0.450000,0.033333,-0.096000
POOL_031,-0.525000,0.233333,0.224000
POOL_032,0.075000,-0.277778,0.544000
POOL_033,-0.225000,-0.077778,-0.672000
POOL_034,0.375000,0.122222,-0.352000
POOL_035,-0.375000,-0.211111,-0.032000
POOL_036,0.225000,-0.011111,0.288000
POOL_037,-0.075000,0.188889,0.608000
POOL_038,0.525000,-0.144444,-0.608000
POOL_039,-0.562500,0.055556,-0.288000
POOL_040,0.037500,0.255556,0.032000
POOL_041,-0.262500,-0.255556,0.352000
POOL_042,0.337500,-0.055556,0.672000
POOL_043,-0.412500,0.144444,-0.544000
POOL_044,0.187500,-0.188889,-0.224000
POOL_045,-0.112500,0.011111,0.096000
POOL_046,0.487500,0.211111,0.416000
POOL_047,-0.487500,-0.122222,0.736000
POOL_048,0.112500,0.077778,-0.787200
POOL_049,-0.187500,0.277778,-0.467200
POOL_050,0.412500,-0.292593,-0.147200
POOL_051,-0.337500,-0.092593,0.172800
POOL_052,0.262500,0.107407,0.492800
POOL_053,-0.037500,-0.225926,-0.723200
POOL_054,0.562500,-0.025926,-0.403200
POOL_055,-0.581250,0.174074,-0.083200
POOL_056,0.018750,-0.159259,0.236800
POOL_057,-0.281250,0.040741,0.556800
POOL_058,0.318750,0.240741,-0.659200
POOL_059,-0.431250,-0.270370,-0.339200
POOL_060,0.168750,-0.070370,-0.019200
POOL_061,-0.131250,0.129630,0.300800
POOL_062,0.468750,-0.203704,0.620800
POOL_063,-0.506250,-0.003704,-0.595200
POOL_064,0.093750,0.196296,-0.275200
POOL_065,-0.206250,-0.137037,0.044800
POOL_066,0.393750,0.062963,0.364800
POOL_067,-0.356250,0.262963,0.684800
POOL_068,0.243750,-0.248148,-0.531200
POOL_069,-0.056250,-0.048148,-0.211200
POOL_070,0.543750,0.151852,0.108800
POOL_071,-0.543750,-0.181481,0.428800
POOL_072,0.056250,0.018519,0.748800
POOL_073,-0.243750,0.218519,-0.774400
POOL_074,0.356250,-0.114815,-0.454400
POOL_075,-0.393750,0.085185,-0.134400
POOL_076,0.206250,0.285185,0.185600
POOL_077,-0.093750,-0.285185,0.505600
POOL_078,0.506250,-0.085185,-0.710400
POOL_079,-0.468750,0.114815,-0.390400
POOL_080,0.131250,-0.218519,-0.070400
POOL_081,-0.168750,-0.018519,0.249600
POOL_082,0.431250,0.181481,0.569600
POOL_083,-0.318750,-0.151852,-0.646400
POOL_084,0.281250,0.048148,-0.326400
POOL_085,-0.018750,0.248148,-0.006400
POOL_086,0.581250,-0.262963,0.313600
POOL_087,-0.590625,-0.062963,0.633600
POOL_088,0.009375,0.137037,-0.582400
POOL_089,-0.290625,-0.196296,-0.262400
POOL_090,0.309375,0.003704,0.057600
POOL_091,-0.440625,0.203704,0.377600
POOL_092,0.159375,-0.129630,0.697600
POOL_093,-0.140625,0.070370,-0.518400
POOL_094,0.459375,0.270370,-0.198400
POOL_095,-0.515625,-0.240741,0.121600
POOL_096,0.084375,-0.040741,0.441600
POOL_097,-0.215625,0.159259,0.761600
POOL_098,0.384375,-0.174074,-0.761600
POOL_099,-0.365625,0.025926,-0.441600
POOL_100,0.234375,0.225926,-0.121600
POOL_101,-0.065625,-0.107407,0.198400
POOL_102,0.534375,0.092593,0.518400
POOL_103,-0.553125,0.292593,-0.697600
POOL_104,0.046875,-0.297531,-0.377600
POOL_105,-0.253125,-0.097531,-0.057600
POOL_106,0.346875,0.102469,0.262400
POOL_107,-0.403125,-0.230864,0.582400
POOL_108,0.196875,-0.030864,-0.633600
POOL_109,-0.103125,0.169136,-0.313600
POOL_110,0.496875,-0.164198,0.006400
POOL_111,-0.478125,0.035802,0.326400
POOL_112,0.121875,0.235802,0.646400
POOL_113,-0.178125,-0.275309,-0.569600
POOL_114,0.421875,-0.075309,-0.249600
POOL_115,-0.328125,0.124691,0.070400
POOL_116,0.271875,-0.208642,0.390400
POOL_117,-0.028125,-0.008642,0.710400
POOL_118,0.571875,0.191358,-0.505600
POOL_119,-0.571875,-0.141975,-0.185600
POOL_120,0.028125,0.058025,0.134400
POOL_121,-0.271875,0.258025,0.454400
POOL_122,0.328125,-0.253086,0.774400
POOL_123,-0.421875,-0.053086,-0.748800
POOL_124,0.178125,0.146914,-0.428800
POOL_125,-0.121875,-0.186420,-0.108800
POOL_126,0.478125,0.013580,0.211200
POOL_127,-0.496875,0.213580,0.531200
POOL_128,0.103125,-0.119753,-0.684800
POOL_129,-0.196875,0.080247,-0.364800
POOL_130,0.403125,0.280247,-0.044800
POOL_131,-0.346875,-0.290123,0.275200
POOL_132,0.253125,-0.090123,0.595200
POOL_133,-0.046875,0.109877,-0.620800
POOL_134,0.553125,-0.223457,-0.300800
POOL_135,-0.534375,-0.023457,0.019200
POOL_136,0.065625,0.176543,0.339200
POOL_137,-0.234375,-0.156790,0.659200
POOL_138,0.365625,0.043210,-0.556800
POOL_139,-0.384375,0.243210,-0.236800
POOL_140,0.215625,-0.267901,0.083200
POOL_141,-0.084375,-0.067901,0.403200
POOL_142,0.515625,0.132099,0.723200
POOL_143,-0.459375,-0.201235,-0.492800
POOL_144,0.140625,-0.001235,-0.172800
POOL_145,-0.159375,0.198765,0.147200
POOL_146,0.440625,-0.134568,0.467200
POOL_147,-0.309375,0.065432,0.787200
POOL_148,0.290625,0.265432,-0.797440
POOL_149,-0.009375,-0.245679,-0.477440
POOL_150,0.590625,-0.045679,-0.157440
POOL_151,-0.595313,0.154321,0.162560
POOL_152,0.004687,-0.179012,0.482560
POOL_153,-0.295312,0.020988,-0.733440
POOL_154,0.304688,0.220988,-0.413440
POOL_155,-0.445312,-0.112346,-0.093440
POOL_156,0.154687,0.087654,0.226560
POOL_157,-0.145313,0.287654,0.546560
POOL_158,0.454688,-0.282716,-0.669440
POOL_159,-0.520312,-0.082716,-0.349440
POOL_160,0.079688,0.117284,-0.029440
POOL_161,-0.220312,-0.216049,0.290560
POOL_162,0.379687,-0.016049,0.610560
POOL_163,-0.370312,0.183951,-0.605440
POOL_164,0.229688,-0.149383,-0.285440
POOL_165,-0.070312,0.050617,0.034560
POOL_166,0.529687,0.250617,0.354560
POOL_167,-0.557812,-0.260494,0.674560
POOL_168,0.042188,-0.060494,-0.541440
POOL_169,-0.257812,0.139506,-0.221440
POOL_170,0.342187,-0.193827,0.098560
POOL_171,-0.407813,0.006173,0.418560
POOL_172,0.192187,0.206173,0.738560
POOL_173,-0.107812,-0.127160,-0.784640
POOL_174,0.492187,0.072840,-0.464640
POOL_175,-0.482812,0.272840,-0.144640
POOL_176,0.117188,-0.238272,0.175360
