cmd_vx,cmd_vy,cmd_wz,information_gain,cost,score
-1.0,0.0,0.0,6.100531559615972e-07,0.0,6.100531559615972e-07
-0.5,0.0,0.0,3.8945241849108283e-07,0.0,3.8945241849108283e-07
0.0,0.0,0.0,1.127814668867447e-06,0.0,-inf
0.5,0.0,0.0,2.06811152949949e-06,0.0,-inf
1.0,0.0,0.0,2.303616848637036e-06,0.0,-inf
0.0,-0.5,0.0,3.1934022076896383e-07,0.0,3.1934022076896383e-07
0.0,-0.25,0.0,5.472294164181253e-07,0.0,5.472294164181253e-07
0.0,0.25,0.0,7.039730712740147e-07,0.0,7.039730712740147e-07
0.0,0.5,0.0,4.711915259991287e-07,0.0,4.711915259991287e-07
0.0,0.0,-1.5,1.3633099875765343e-06,0.0,-inf
0.0,0.0,-0.75,1.1474239942431878e-06,0.0,-inf
0.0,0.0,0.75,9.868481829111412e-07,0.0,9.868481829111412e-07
0.0,0.0,1.5,1.1583848778938704e-06,0.0,-inf
0.5007137097418308,0.30246617645025253,1.0001929141581059,6.872598010633142e-07,0.0,6.872598010633142e-07
-0.49596384912729263,-0.021186206489801407,-0.4864738108590245,7.132310477050559e-07,0.0,7.132310477050559e-07
-0.7474131491035223,0.04153157863765955,0.5017785988748074,6.509282511499882e-07,0.0,6.509282511499882e-07
0.2561004962772131,-0.26031170319765806,-1.008323167450726,1.3422122522041674e-06,0.0,-inf
0.1602389346808195,0.22782151028513908,-0.10488591715693474,2.962523405923996e-06,0.0,-inf
-0.8432131838053465,-0.446542464196682,1.3612929610535502,7.059503738797997e-07,0.0,-inf
-0.08785790205001831,0.49068060982972383,-1.400175679475069,1.7448841398812696e-06,0.0,-inf
0.9087581895291805,-0.20945975091308355,0.13631905149668455,1.868640012660399e-06,0.0,-inf
0.8606342300772667,0.12379827443510294,-1.2838939363136888,2.3681461730079396e-06,0.0,-inf
-0.1349371038377285,-0.34257743041962385,0.20314224064350128,8.930878712381485e-07,0.0,-inf
-0.8873629365116358,0.345680370926857,-0.21126332972198725,6.353860064746531e-07,0.0,6.353860064746531e-07
0.11699754931032658,-0.06440136954188347,1.2992128059267998,2.3769657294715656e-06,0.0,-inf
0.4588801432400942,0.40841392893344164,0.5642337715253234,6.194675029150967e-07,0.0,6.194675029150967e-07
-0.5454188454896212,-0.12719400878995657,-0.9023204147815704,8.381495859015669e-07,0.0,8.381495859015669e-07
-0.2890869714319706,0.18460730090737343,0.9337389310821891,6.053150759015076e-07,0.0,6.053150759015076e-07
0.7064228057861328,-0.4033273160457611,-0.6031244024634361,8.611433872062519e-07,0.0,-inf
0.6560612060129642,0.13402184005826712,0.30680720787495375,2.8887103898328505e-06,0.0,-inf
-0.34829867631196976,-0.4152427138760686,-1.2065242789685726,9.736476027255565e-07,0.0,-inf
-0.5958720054477453,0.3964994829148054,1.1912053478881717,8.211259111350511e-07,0.0,-inf
0.3996989633888006,-0.17777851782739162,-0.29868609085679054,2.8063273536521317e-06,0.0,-inf
0.05798421613872051,0.3337964741513133,-0.8380978675559163,8.262499485620643e-07,0.0,8.262499485620643e-07
-0.9375261794775724,-0.11501636449247599,0.695715744048357,1.0038013148684823e-06,0.0,-inf
-0.19385889172554016,0.07318232394754887,-0.6568249957635999,1.0096804558020292e-06,0.0,-inf
0.8104404769837856,-0.3544622827321291,0.8066792003810406,7.600688123737921e-07,0.0,7.600688123737921e-07
-0.020848896354436874,-0.2209784220904112,1.1031403010711074,7.727822663440297e-07,0.0,7.727822663440297e-07
-0.76939875818789,0.216303794644773,-1.0950101092457771,6.459157329715171e-07,0.0,6.459157329715171e-07
0.22727845050394535,-0.4975236998870969,0.39452341105788946,1.183847884279562e-06,0.0,-inf
0.32281957753002644,0.02998337335884571,1.4920401871204376,2.2455481067789194e-06,0.0,-inf
-0.6737970877438784,-0.31126239337027073,-0.04141599778085947,2.4763796021469905e-07,0.0,2.4763796021469905e-07
-0.4291532076895237,0.2515145344659686,0.009982980787754059,2.5752684103322935e-07,0.0,2.5752684103322935e-07
0.5742992460727692,-0.0327353635802865,-1.453157619573176,1.3988060521673453e-06,0.0,-inf
0.6135522201657295,0.04862803407013416,-0.2538777971640229,3.799078267102524e-06,0.0,-inf
-0.38977770134806633,-0.2673489395529032,1.2356259226799011,6.432098351421352e-07,0.0,6.432098351421352e-07
-0.634421581402421,0.2958583338186145,-1.2437444189563394,7.160364366080039e-07,0.0,7.160364366080039e-07
0.3620725516229868,-0.014637396670877934,0.26919371634721756,2.6036391201558655e-06,0.0,-inf
0.20401662774384022,0.4816597606986761,0.843784905038774,9.216477078463805e-07,0.0,-inf
-0.7925389725714922,-0.20037962310016155,-0.6193717271089554,6.071084609312604e-07,0.0,6.071084609312604e-07
-0.04398911073803902,0.23635399248450994,0.6507930150255561,6.951901651128758e-07,0.0,6.951901651128758e-07
0.7555772252380848,0.36983782332390547,0.5330459363758564,9.230769089241304e-07,0.0,-inf
-0.2488437220454216,-0.08861785475164652,-0.9568266542628407,8.706791869316063e-07,0.0,-inf
-0.9925110097974539,0.09915239550173283,0.97213439270854,1.137797783235317e-06,0.0,-inf
0.003120964393019676,-0.31787233240902424,-0.5411787824705243,5.397051216866443e-07,0.0,5.397051216866443e-07
0.4073209445923567,0.16237448807805777,-1.3223119340837002,2.6701018145347417e-06,0.0,-inf
-0.5883725862950087,-0.38115347642451525,0.14121915679425,4.1018262460331274e-07,0.0,4.1018262460331274e-07
-0.3407992571592331,0.43113541416823864,-0.1800987459719181,8.959442765940904e-07,0.0,8.959442765940904e-07
0.6636831872165203,-0.1498562153428793,1.353742296807468,1.5445864918567677e-06,0.0,-inf
0.7296851053833961,0.3879975201562047,-1.0648401975631714,6.234665220910152e-07,0.0,6.234665220910152e-07
-0.26594723388552666,-0.1692175781354308,0.4456521486863494,1.226339973828811e-06,0.0,-inf
-0.5222791079431772,0.1430121697485447,-0.4375191852450371,1.4794580138175622e-06,0.0,-inf
0.4821424428373575,-0.42429232597351074,1.049532308243215,5.400249590039703e-07,0.0,5.400249590039703e-07
0.07774409838020802,0.07982068601995707,0.08747886121273041,3.146484319473194e-06,0.0,-inf
-0.9267379660159349,-0.3610416082665324,-1.4493548506870866,8.139266293491488e-07,0.0,-inf
-0.17431213334202766,0.32666949927806854,1.417924426496029,1.095514711851026e-06,0.0,-inf
0.8213807791471481,-0.10794861242175102,-0.048599244095385075,2.6759372515873303e-06,0.0,-inf
0.9011366851627827,0.19355178996920586,1.1489557949826121,1.4776741078577213e-06,0.0,-inf
-0.09535779803991318,-0.4748309776186943,-0.3611726872622967,8.764394520226473e-07,0.0,-inf
-0.8507130797952414,0.4619617508724332,0.34585688542574644,1.0375256789297252e-06,0.0,-inf
0.15261743031442165,-0.2431827774271369,-1.140837449580431,1.8308485176780419e-06,0.0,-inf
0.31096327118575573,0.2761298939585686,-0.7456788243725896,1.7856664625148055e-06,0.0,-inf
-0.6924278419464827,-0.057409945875406265,0.7907968796789646,5.418650568541723e-07,0.0,5.418650568541723e-07
-0.440978541970253,0.005856440402567387,-0.7519031809642911,3.161953050247331e-07,0.0,3.161953050247331e-07
0.5555764846503735,-0.28707642387598753,0.7142575643956661,7.935242900386293e-07,0.0,7.935242900386293e-07
0.5377432741224766,0.248234867118299,-0.9246359663084149,1.427373317192283e-06,0.0,-inf
-0.466555692255497,-0.4670147942379117,0.5887000970542431,7.86071168994838e-07,0.0,-inf
-0.7141300942748785,0.4697865154594183,-0.5792975099757314,8.775829917824883e-07,0.0,8.775829917824883e-07
0.2813797201961279,-0.18850637786090374,0.9105979688465595,1.8395856469260994e-06,0.0,-inf
