family,method,seed,trials_to_target,target_reached,final_rmse,final_uncertainty,final_coverage_95
heteroscedastic,active,1001,20,True,0.012143990635456719,0.00016117316965546955,0.9422572178477691
heteroscedastic,active,1002,20,True,0.008880241338074213,0.00016117316965546955,0.9413823272090989
heteroscedastic,active,1003,20,True,0.009513621482124876,0.00016117316965546955,0.9492563429571304
heteroscedastic,active,1004,20,True,0.009893592593100898,0.00016117316965546955,0.9466316710411199
heteroscedastic,active,1005,20,True,0.012372865457629525,0.00016117316965546955,0.9518810148731408
heteroscedastic,active,1006,20,True,0.008092207637544145,0.00016117316965546955,0.9361329833770778
heteroscedastic,active,1007,20,True,0.01025188644135238,0.00016117316965546955,0.9413823272090989
heteroscedastic,active,1008,20,True,0.010569371914089134,0.00016117316965546955,0.9597550306211724
heteroscedastic,active,1009,20,True,0.010173141196783017,0.00016117316965546955,0.9536307961504812
heteroscedastic,active,1010,20,True,0.012038950706632818,0.00016117316965546955,0.9422572178477691
heteroscedastic,active,1011,20,True,0.011045244163960381,0.00016117316965546955,0.9440069991251093
heteroscedastic,active,1012,20,True,0.009022516369554194,0.00016117316965546955,0.9396325459317585
heteroscedastic,active,1013,20,True,0.009197840898532846,0.00016117316965546955,0.9405074365704287
heteroscedastic,active,1014,20,True,0.008755415814745275,0.00016117316965546955,0.9536307961504812
heteroscedastic,active,1015,20,True,0.009295741072394887,0.00016117316965546955,0.9352580927384077
heteroscedastic,active,1016,20,True,0.010525230224411984,0.00016117316965546955,0.9466316710411199
heteroscedastic,active,1017,20,True,0.011890823054107255,0.00016117316965546955,0.9457567804024497
heteroscedastic,active,1018,20,True,0.012620192008214208,0.00016117316965546955,0.952755905511811
heteroscedastic,active,1019,20,True,0.009992156464869216,0.00016117316965546955,0.9431321084864392
heteroscedastic,active,1020,20,True,0.007470495581884111,0.00016117316965546955,0.9536307961504812
heteroscedastic,active_no_task,1001,31,True,0.01318129115931428,0.0002369095705866883,0.9431321084864392
heteroscedastic,active_no_task,1002,31,True,0.012608067613243353,0.0002369095705866883,0.94750656167979
heteroscedastic,active_no_task,1003,31,True,0.01102224285874933,0.0002369095705866883,0.9510061242344707
heteroscedastic,active_no_task,1004,31,True,0.010082584942744725,0.0002369095705866883,0.9492563429571304
heteroscedastic,active_no_task,1005,31,True,0.0116782698286685,0.0002369095705866883,0.9501312335958005
heteroscedastic,active_no_task,1006,31,True,0.01375449896560201,0.0002369095705866883,0.9326334208223972
heteroscedastic,active_no_task,1007,31,True,0.015738445691202425,0.0002369095705866883,0.94750656167979
heteroscedastic,active_no_task,1008,31,True,0.012875921437789732,0.0002369095705866883,0.9562554680664916
heteroscedastic,active_no_task,1009,31,True,0.01140282960912534,0.0002369095705866883,0.9492563429571304
heteroscedastic,active_no_task,1010,31,True,0.01208660394273807,0.0002369095705866883,0.9501312335958005
heteroscedastic,active_no_task,1011,31,True,0.009439067047240611,0.0002369095705866883,0.952755905511811
heteroscedastic,active_no_task,1012,31,True,0.011164861094280183,0.0002369095705866883,0.9536307961504812
heteroscedastic,active_no_task,1013,31,True,0.013328207597747947,0.0002369095705866883,0.9571303587051618
heteroscedastic,active_no_task,1014,31,True,0.009587373710015822,0.0002369095705866883,0.94750656167979
heteroscedastic,active_no_task,1015,31,True,0.009973317393138436,0.0002369095705866883,0.9352580927384077
heteroscedastic,active_no_task,1016,31,True,0.014648829765832065,0.0002369095705866883,0.9440069991251093
heteroscedastic,active_no_task,1017,31,True,0.01137757051563412,0.0002369095705866883,0.9431321084864392
heteroscedastic,active_no_task,1018,31,True,0.009354802536999367,0.0002369095705866883,0.9466316710411199
heteroscedastic,active_no_task,1019,31,True,0.0090029572697738,0.0002369095705866883,0.9440069991251093
heteroscedastic,active_no_task,1020,31,True,0.009930807538231041,0.0002369095705866883,0.9440069991251093
heteroscedastic,active_noise_aware,1001,21,True,0.008458760751140975,0.00015950546140647878,0.9501312335958005
heteroscedastic,active_noise_aware,1002,21,True,0.009167781117234416,0.00015950546140647878,0.94750656167979
heteroscedastic,active_noise_aware,1003,21,True,0.008300182463461956,0.00015950546140647878,0.9510061242344707
heteroscedastic,active_noise_aware,1004,21,True,0.008445791113592662,0.00015950546140647878,0.9562554680664916
heteroscedastic,active_noise_aware,1005,21,True,0.010242163544118402,0.00015950546140647878,0.9510061242344707
heteroscedastic,active_noise_aware,1006,21,True,0.009551499498808649,0.00015950546140647878,0.937007874015748
heteroscedastic,active_noise_aware,1007,21,True,0.012258687461390255,0.00015950546140647878,0.9457567804024497
heteroscedastic,active_noise_aware,1008,21,True,0.010344772430978628,0.00015950546140647878,0.9492563429571304
