vx,wz,epistemic_trace,error_norm
-1.0,-1.5,0.0014817542872071644,0.021741864986980414
-0.9666666666666667,-1.5,0.0013892482776782047,0.02120161824385172
-0.9333333333333333,-1.5,0.0013010081628526586,0.02066627249388088
-0.9,-1.5,0.0012170339427305268,0.02013621863737155
-0.8666666666666667,-1.5,0.0011373256173118102,0.01961188575379963
-0.8333333333333334,-1.5,0.001061883186596506,0.019093745159489722
-0.8,-1.5,0.0009907066505846168,0.018582314850371956
-0.7666666666666666,-1.5,0.0009237960092761408,0.018078164336252422
-0.7333333333333334,-1.5,0.0008611512626710789,0.01758191985893804
-0.7,-1.5,0.0008027724107694305,0.017094269966016862
-0.6666666666666667,-1.5,0.0007486594535711968,0.01661597138308176
-0.6333333333333333,-1.5,0.0006988123910763774,0.016147855087382063
-0.6,-1.5,0.0006532312232849712,0.015690832432671165
-0.5666666666666667,-1.5,0.0006119159501969788,0.015245901105694574
-0.5333333333333333,-1.5,0.0005748665718124004,0.0148141506069855
-0.5,-1.5,0.0005420830881312369,0.014396766841053349
-0.4666666666666667,-1.5,0.0005135654991534862,0.013995035274419084
-0.43333333333333335,-1.5,0.0004893138048791499,0.013610341978664287
-0.4,-1.5,0.00046932800530822747,0.013244171729765811
-0.3666666666666667,-1.5,0.00045360810044071866,0.012898102202503951
-0.33333333333333337,-1.5,0.00044215409027662466,0.012573793207792316
-0.30000000000000004,-1.5,0.00043496597481594383,0.012272969910571273
-0.2666666666666667,-1.5,0.00043204375405867727,0.011997399085077878
-0.2333333333333334,-1.5,0.0004333874280048242,0.011748857764686827
-0.19999999999999996,-1.5,0.00043899699665438585,0.011529094167818854
-0.16666666666666663,-1.5,0.0004488724600073611,0.01133978154434214
-0.1333333333333333,-1.5,0.00043158438402859163,0.024771412822728177
-0.09999999999999998,-1.5,0.00039067842565519055,0.03137729599293266
-0.06666666666666665,-1.5,0.00035876590456801905,0.02401884019066631
-0.033333333333333326,-1.5,0.0003358468207670779,0.016852118898692474
0.0,-1.5,0.0003219211742523673,0.010286028662258731
0.033333333333333215,-1.5,0.00031698896502388636,0.006506159151157343
0.06666666666666665,-1.5,0.000321050193081636,0.00967352444323207
0.10000000000000009,-1.5,0.0003341048584256152,0.016110347308536492
0.1333333333333333,-1.5,0.0003561529610558253,0.011812047322904704
0.16666666666666674,-1.5,0.00036484947139939466,0.012052098772132229
0.19999999999999996,-1.5,0.00035511671265785606,0.011878307984653008
0.2333333333333334,-1.5,0.0003476071554712599,0.011719463395908345
0.2666666666666666,-1.5,0.0003423207998396055,0.01157618028291348
0.30000000000000004,-1.5,0.00033925764576289274,0.011449042909418925
0.33333333333333326,-1.5,0.00033841769324112177,0.011338594405200098
0.3666666666666667,-1.5,0.0003398009422742926,0.011245326521460935
0.3999999999999999,-1.5,0.00034340739286240537,0.01116966964630699
0.43333333333333335,-1.5,0.0003492370450054606,0.01111198350366443
0.46666666666666656,-1.5,0.0003572898987034568,0.011072548970698221
0.5,-1.5,0.00036756595395639536,0.011051561427057629
0.5333333333333332,-1.5,0.00038006521076427557,0.011049125992053101
0.5666666666666667,-1.5,0.00039478766912709776,0.01106525491550999
0.6000000000000001,-1.5,0.0004117333290448625,0.011099867271589072
0.6333333333333333,-1.5,0.0004309021905175678,0.011152790973262706
0.6666666666666667,-1.5,0.0004522942535452153,0.011223766991719179
0.7,-1.5,0.0004759095181278045,0.011312455543348561
0.7333333333333334,-1.5,0.0005017479842653363,0.011418443908904294
0.7666666666666666,-1.5,0.000529809651957809,0.011541255483094667
0.8,-1.5,0.000560094521205224,0.011680359621863427
0.8333333333333333,-1.5,0.0005926025920075815,0.011835181857950766
0.8666666666666667,-1.5,0.000627333864364881,0.012005114088179067
0.8999999999999999,-1.5,0.0006642883382771212,0.012189524390818033
0.9333333333333333,-1.5,0.0007034660137443036,0.012387766199893142
0.9666666666666666,-1.5,0.0007448668907664277,0.012599186637112764
1.0,-1.5,0.0007884909693434933,0.012823133874179016
-1.0,-1.45,0.0014182785087987937,0.02102759838264422
-0.9666666666666667,-1.45,0.0013281268604768944,0.020498674503475405
-0.9333333333333333,-1.45,0.0012421656555469738,0.019974970260220277
-0.9,-1.45,0.001160394894009031,0.019456907134319718
-0.8666666666666667,-1.45,0.0010828145758630683,0.01894494791257022
-0.8333333333333334,-1.45,0.001009424701109085,0.018439601010489894
-0.8,-1.45,0.0009402252697470799,0.01794142517420863
-0.7666666666666666,-1.45,0.0008752162817770547,0.0174510345532004
-0.7333333333333334,-1.45,0.0008143977371990081,0.016969104116359948
-0.7,-1.45,0.0007577696360129406,0.016496375356008938
-0.6666666666666667,-1.45,0.0007053319782188525,0.016033662186176238
-0.6333333333333333,-1.45,0.0006570847638167435,0.015581856890438135
-0.6,-1.45,0.0006130279928066135,0.015141935908178198
-0.5666666666666667,-1.45,0.0005731616651884623,0.014714965164085938
-0.5333333333333333,-1.45,0.0005374857809622899,0.014302104542785047
-0.5,-1.45,0.0005060003401280974,0.013904610989338826
-0.4666666666666667,-1.45,0.0004787053426858835,0.013523839581144767
-0.43333333333333335,-1.45,0.00045560078863564877,0.013161241776817018
-0.4,-1.45,0.00043668667797739334,0.012818359920002834
-0.3666666666666667,-1.45,0.0004219630107111166,0.012496816987106682
-0.33333333333333337,-1.45,0.00041142978683681927,0.012198300554558582
-0.30000000000000004,-1.45,0.00040508700635450085,0.01192454006949754
-0.2666666666666667,-1.45,0.0004029346692641612,0.011677276786921034
-0.2333333333333334,-1.45,0.0004049727755658009,0.011458226227792767
-0.19999999999999996,-1.45,0.00041120132525942045,0.011269033732126107
-0.16666666666666663,-1.45,0.00042162031834501825,0.011111224597852232
-0.1333333333333333,-1.45,0.00040476512177841707,0.024644315642741707
-0.09999999999999998,-1.45,0.0003642040999642023,0.03127551552809431
-0.06666666666666665,-1.45,0.00033259134074808136,0.023915311520743533
-0.033333333333333326,-1.45,0.00030992684413005326,0.016738912003084055
0.0,-1.45,0.00029621061011011844,0.010144211220514864
0.033333333333333215,-1.45,0.0002914426386882772,0.006331166073678025
0.06666666666666665,-1.45,0.0002956229298645296,0.009577426728783034
0.10000000000000009,-1.45,0.00030875148363887505,0.016057251880834535
0.1333333333333333,-1.45,0.00033082830001131345,0.011739762303150178
0.16666666666666674,-1.45,0.0003394578323984551,0.011994119808855805
0.19999999999999996,-1.45,0.0003295499600070008,0.011823814242993247
0.2333333333333334,-1.45,0.0003218035224892442,0.011669032476199352
0.2666666666666666,-1.45,0.0003162185198451844,0.011530399690494441
0.30000000000000004,-1.45,0.00031279495207482233,0.011408504614044556
0.33333333333333326,-1.45,0.00031153281917815684,0.01130388873127181
0.3666666666666667,-1.45,0.00031243212115518915,0.011217035516723508
0.3999999999999999,-1.45,0.00031549285800591784,0.011148360127483745
0.43333333333333335,-1.45,0.000320715029730344,0.01109820002049306
0.46666666666666656,-1.45,0.0003280986363284673,0.01106680695918398
0.5,-1.45,0.00033764367780028757,0.011054340833490982
0.5333333333333332,-1.45,0.0003493501541458054,0.011060865638289624
0.5666666666666667,-1.45,0.0003632180653650198,0.011086347842629274
0.6000000000000001,-1.45,0.00037924741145793205,0.011130657245707496
0.6333333333333333,-1.45,0.000397438192424541,0.01119357026909814
0.6666666666666667,-1.45,0.00041779040826484687,0.011274775493606138
0.7,-1.45,0.0004403040589788498,0.011373881127714347
0.7333333333333334,-1.45,0.0004649791445665507,0.011490424004261177
0.7666666666666666,-1.45,0.0004918156650279481,0.011623879649333481
0.8,-1.45,0.0005208136203630429,0.011773672953707005
0.8333333333333333,-1.45,0.0005519730105718346,0.011939188998993296
0.8666666666666667,-1.45,0.0005852938356543233,0.012119783640836216
0.8999999999999999,-1.45,0.0006207760956105096,0.012314793520877752
0.9333333333333333,-1.45,0.0006584197904403933,0.012523545258319857
0.9666666666666666,-1.45,0.000698224920143973,0.012745363652194665
1.0,-1.45,0.0007401914847212504,0.012979578800190865
-1.0,-1.4,0.0013575108717163212,0.02031334467726529
-0.9666666666666667,-1.4,0.0012696482775082247,0.01979577509850443
-0.9333333333333333,-1.4,0.0011859026927227437,0.019283769353060972
-0.9,-1.4,0.0011062741173598744,0.01877778256642262
-0.8666666666666667,-1.4,0.0010307625514196198,0.018278314602280382
-0.8333333333333334,-1.4,0.0009593679949019782,0.01778591465813146
-0.8,-1.4,0.0008920904478069506,0.017301186222078525
-0.7666666666666666,-1.4,0.0008289299101345372,0.016824792364069193
-0.7333333333333334,-1.4,0.0007698863818847364,0.016357461307774893
-0.7,-1.4,0.0007149598630575493,0.015899992192292614
-0.6666666666666667,-1.4,0.0006641503536529761,0.015453260883479739
-0.6333333333333333,-1.4,0.0006174578536710164,0.015018225630516451
-0.6,-1.4,0.0005748823631116702,0.014595932282099306
-0.5666666666666667,-1.4,0.0005364238819749367,0.01418751867721964
-0.5333333333333333,-1.4,0.0005020824102608169,0.013794217708430858
-0.5,-1.4,0.00047185794796931145,0.013417358424705745
-0.4666666666666667,-1.4,0.0004457504951004193,0.013058364405420858
-0.43333333333333335,-1.4,0.0004237600516541404,0.012718748512758782
-0.4,-1.4,0.00040588661763047557,0.01240010304211831
