family,method,seed,trial,source,cmd_vx,cmd_vy,cmd_wz,candidate_score,candidate_information,candidate_cost,rmse,integrated_uncertainty,nll,coverage_95,interval_width_95
heteroscedastic,active,1001,1,seed_design,-0.6,0.0,0.0,,,,0.30875585322771076,15.129982706894692,5.185518367574632,1.0,12.528889140790024
heteroscedastic,active,1001,2,seed_design,0.6,0.0,0.0,,,,0.18442116829201247,5.216978217333871,2.526680213005635,1.0,11.440396460127308
heteroscedastic,active,1001,3,seed_design,0.0,-0.3,0.0,,,,0.18458114177737522,4.911496043918695,2.3213558023770386,1.0,10.344398858569997
heteroscedastic,active,1001,4,seed_design,0.0,0.3,0.0,,,,0.18441928166289143,4.488507206022835,2.0673627878617347,1.0,9.230351163687427
heteroscedastic,active,1001,5,seed_design,0.0,0.0,-0.9,,,,0.12149845833924856,2.3445829300059655,1.421754269004606,1.0,7.912878569611941
heteroscedastic,active,1001,6,seed_design,0.0,0.0,0.9,,,,0.02830745345194059,1.0245570912275417,0.4531046109427683,1.0,6.6831357811741166
heteroscedastic,active,1001,7,active,0.6437628902494907,-0.0049752285704016685,-0.3661094130948186,0.43022608535127727,0.43022608535127727,0.0,0.03331780177184834,0.5949808420799203,-0.48545811194282257,1.0,5.794737345041719
heteroscedastic,active,1001,8,active,0.8213807791471481,-0.10794861242175102,-0.048599244095385075,0.25464480325831484,0.25464480325831484,0.0,0.036751500238260446,0.34052443358393925,-1.1344756257763746,1.0,4.858252961846029
heteroscedastic,active,1001,9,active,-0.5587977115064859,-0.4588470859453082,-0.7028134698048234,0.15871021452613737,0.15871021452613737,0.0,0.037698768672817136,0.18183495410576922,-1.8385557411380624,1.0,3.5494889370621827
heteroscedastic,active,1001,10,active,-0.20723631232976913,0.2783943619579077,-0.9262739159166813,0.08735038809575543,0.08735038809575543,0.0,0.0409590995119955,0.0945362263436128,-2.782422296517189,1.0,2.0208895946881604
heteroscedastic,active,1001,11,active,-0.1681586466729641,-0.1457687672227621,-0.12793402466922998,0.03437651584941242,0.03437651584941242,0.0,0.039295921644467435,0.06018981199001103,-3.1113199238523297,0.9991251093613298,1.5793809242819488
heteroscedastic,active,1001,12,active,0.270050136372447,-0.09123232122510672,-0.38733305409550667,0.030711063153853146,0.030711063153853146,0.0,0.0425598630679909,0.02965670726721271,-4.168557702856669,0.9965004374453194,1.3116876043158994
heteroscedastic,active,1001,13,active,0.5742992460727692,-0.0327353635802865,-1.453157619573176,0.021852363870807027,0.021852363870807027,0.0,0.04745685993626938,0.007880410367914962,-5.04949204326154,0.9728783902012248,0.5487930654570938
heteroscedastic,active,1001,14,active,0.16496936790645123,-0.09905705414712429,0.1626325137913227,0.0027965743497174738,0.0027965743497174738,0.0,0.03270173224551881,0.005129414452223494,-5.387448972706307,0.9606299212598425,0.42724658964081164
heteroscedastic,active,1001,15,active,0.48825682885944843,0.10327036119997501,-0.5109860077500343,0.001654876441436349,0.001654876441436349,0.0,0.02703794754890476,0.0036816282283454235,-5.536273022028859,0.9693788276465442,0.399169980061469
heteroscedastic,active,1001,16,active,0.5176245085895061,0.09604868665337563,0.402820679359138,0.0009551313037729117,0.0009551313037729117,0.0,0.03004460634656861,0.0028345540579605534,-5.597723331778005,0.9702537182852143,0.38239546617551395
heteroscedastic,active,1001,17,active,0.4198023658245802,-0.04138284828513861,1.3801514245569706,0.0006112244595279267,0.0006112244595279267,0.0,0.031335137554045926,0.0022998786727245956,-5.772156468409457,0.9728783902012248,0.3635094345190015
heteroscedastic,active,1001,18,active,0.883257444947958,0.3924001306295395,0.24669424071907997,0.0004726253182194692,0.0004726253182194692,0.0,0.030483679243637637,0.0018351856975749416,-5.792740377409707,0.9291338582677166,0.2838114245161036
heteroscedastic,active,1001,19,active,0.3732727114111185,0.12777768913656473,-0.23342051357030869,0.0003224127178402088,0.0003224127178402088,0.0,0.0297230843401376,0.001562277100808234,-5.83217419145774,0.9343832020997376,0.28086244480333805
heteroscedastic,active,1001,20,active,0.12032369710505009,0.20101669616997242,-1.2633467093110085,0.00017530989790152062,0.00017530989790152062,0.0,0.028366208500482423,0.0014262274819082028,-5.939771671082087,0.9291338582677166,0.26655040390205476
heteroscedastic,active,1001,21,active,0.6560612060129642,0.13402184005826712,0.30680720787495375,0.00016671805590444288,0.00016671805590444288,0.0,0.023936992999805735,0.0012975348135037751,-6.073481890858354,0.9273840769903762,0.26380055292741617
heteroscedastic,active,1001,22,active,0.1413561161607504,0.1143869673833251,1.1752851717174053,0.00014326124755436296,0.00014326124755436296,0.0,0.023599308855182202,0.0011906302641186712,-6.070907369602744,0.9247594050743657,0.25538459694718196
heteroscedastic,active,1001,23,active,0.9203246794641018,0.08823253866285086,-0.17222948838025331,0.00011579924000232625,0.00011579924000232625,0.0,0.024608728374638945,0.0011001869117954702,-6.159981188224516,0.926509186351706,0.2527859547486471
heteroscedastic,active,1001,24,active,0.739737331867218,-0.08450751844793558,0.4779058462008834,0.0001009961543433875,0.0001009961543433875,0.0,0.024087707535491183,0.0010278955630916237,-6.1061247207106035,0.9238845144356955,0.24993861483376187
heteroscedastic,active,1001,25,active,0.15261743031442165,-0.2431827774271369,-1.140837449580431,8.775144000705009e-05,8.775144000705009e-05,0.0,0.02401492337997457,0.0009622103558579809,-6.1146938539927564,0.9072615923009624,0.23865125601090714
heteroscedastic,active,1001,26,active,0.29380070231854916,0.0753285326063633,-0.8514330200850964,7.057853937650148e-05,7.057853937650148e-05,0.0,0.023320154225621195,0.0009204567442652437,-6.083242987813455,0.910761154855643,0.23798947460736336
heteroscedastic,active,1001,27,active,0.9422402605414391,-0.13078891579061747,-0.7069767275825143,6.791011847977313e-05,6.791011847977313e-05,0.0,0.02330845594109745,0.0008719622037139235,-6.147716990166964,0.8932633420822397,0.2326181211796447
heteroscedastic,active,1001,28,active,0.11699754931032658,-0.06440136954188347,1.2992128059267998,6.711883092726011e-05,6.711883092726011e-05,0.0,0.02139205982468957,0.0008281855675417063,-6.161378434862894,0.8915135608048994,0.22814260957416457
heteroscedastic,active,1001,29,active,0.39618959091603756,0.056818705052137375,0.33322402462363243,5.5684461017037273e-05,5.5684461017037273e-05,0.0,0.02082713351864847,0.0007866622456993293,-6.1923633053072145,0.8880139982502188,0.22757512899379811
heteroscedastic,active,1001,30,active,0.6135522201657295,0.04862803407013416,-0.2538777971640229,5.375103309969109e-05,5.375103309969109e-05,0.0,0.021288515699514118,0.0007483283913465647,-6.186735552604215,0.8862642169728784,0.22731258168806676
heteroscedastic,active,1001,31,active,-0.17431213334202766,0.32666949927806854,1.417924426496029,4.847389474149067e-05,4.847389474149067e-05,0.0,0.021452872822117955,0.0007085439560623556,-6.157773875164649,0.8985126859142607,0.21888890693613544
