context,n,detected,detection_rate,detection_ci95_low,detection_ci95_high,recovered,recovery_rate,recovery_ci95_low,recovery_ci95_high,median_detection_trials,p95_detection_trials,median_recovery_trials,p95_recovery_trials,active_minus_passive_early_gain,active_minus_passive_early_ci95_low,active_minus_passive_early_ci95_high,active_vs_passive_p,full_final_rmse,full_final_rmse_ci95_low,full_final_rmse_ci95_high,serious_safety_events
friction_payload,144,143,0.9930555555555556,0.9619166671702172,0.9998241973440963,141,0.9791666666666666,0.9403247938795611,0.9956828857296033,2.0,3.0,6.0,9.0,0.009358168773327236,0.008109831590047736,0.01065408525185325,2.3005523663157778e-22,0.11226898097145262,0.10933886567680917,0.11501767161030295,0
gain_recoupling,144,143,0.9930555555555556,0.9619166671702172,0.9998241973440963,144,1.0,0.9747081185124834,1.0,3.0,3.9000000000000057,6.0,8.0,0.010531559335637097,0.009610253888068389,0.011400800963599243,2.324486672931421e-25,0.10685179592583995,0.10471597648941854,0.10891800170920801,0
mixed_context,144,144,1.0,0.9747081185124834,1.0,144,1.0,0.9747081185124834,1.0,2.0,2.0,8.0,9.0,0.01846599734409846,0.017740144344708015,0.019172510000264174,1.1129579362482242e-25,0.09762265640381379,0.09581112369021234,0.09939431536276917,0
payload_com_only,144,144,1.0,0.9747081185124834,1.0,144,1.0,0.9747081185124834,1.0,2.0,3.0,6.0,8.849999999999994,0.011915333476301351,0.01091647256565475,0.01290571247774488,1.2358007844554643e-25,0.09942408772311621,0.0968668734607359,0.10199170250440956,0
