map,seed,method,success,collision,arrival_time_s,completion_time_s,path_length_m,arrival_x,arrival_y,goal_distance_at_arrival_m,final_x,final_y,goal_distance_m,stall_recovery_attempts,regular_recovery_attempts,emergency_recovery_attempts,velocity_feedback_updates,height_rate_guard_updates,high_rate_height_interlock_updates,serious_safety_event
replicate_extended_lane,10501,B5_active_no_task,True,False,35.4,35.4,3.804114231304993,3.278148651123047,0.03848075866699219,0.24489353552347803,3.2610321044921875,0.0413665771484375,0.2622509573075434,3,3,0,292,192,91,False
replicate_extended_lane,10502,B5_active_no_task,True,False,35.4,35.4,3.5342045195902756,3.2779502868652344,0.03424263000488281,0.24445985629193526,3.234027862548828,0.03727531433105469,0.2883912489256061,1,1,0,320,199,157,False
replicate_extended_lane,10503,B5_active_no_task,True,False,31.7,31.7,3.5352244024034007,3.2795944213867188,0.0630197525024414,0.24852833124989096,3.217914581298828,0.08812141418457031,0.3146759981786837,1,1,0,283,167,111,False
replicate_extended_lane,10504,B5_active_no_task,True,False,39.4,39.4,3.6833458157962014,3.2746200561523438,-0.02178478240966797,0.24634507015021737,3.2300796508789062,-0.04067230224609375,0.2927593636495586,0,0,0,374,240,100,False
replicate_extended_lane,10505,B5_active_no_task,True,False,36.9,36.9,3.730790916055412,3.2791290283203125,-0.01756453514099121,0.241510533709476,3.262310028076172,0.009102344512939453,0.25785068218978124,0,0,0,349,224,123,False
replicate_extended_lane,10506,B5_active_no_task,True,False,24.400000000000002,24.400000000000002,3.4070379533186497,3.2892417907714844,0.08719635009765625,0.24668310561670906,3.2906951904296875,0.09845352172851562,0.24954717316135758,0,0,0,224,126,110,False
replicate_extended_lane,10507,B5_active_no_task,True,False,37.7,37.7,3.752390312314674,3.2892303466796875,0.07567024230957031,0.2428592564938926,3.2403488159179688,0.07445716857910156,0.28939359825555727,2,2,0,329,167,278,False
replicate_extended_lane,10508,B5_active_no_task,True,False,32.2,32.2,3.641588167480222,3.289234161376953,0.06073188781738281,0.23862362513645058,3.210857391357422,0.07951736450195312,0.31920551958835974,0,0,0,302,172,159,False
replicate_extended_lane,10509,B5_active_no_task,True,False,42.2,42.2,3.9181178067792644,3.292512893676758,0.03971099853515625,0.23092714640765233,3.2488250732421875,0.07494735717773438,0.2813413358360834,3,3,0,360,225,57,False
replicate_extended_lane,10510,B5_active_no_task,True,False,37.0,37.0,3.698444478217425,3.279275894165039,0.053806304931640625,0.246664171659441,3.2431640625,0.07140922546386719,0.28589755817924245,2,2,0,322,190,191,False
replicate_extended_lane,10511,B5_active_no_task,True,False,30.1,30.1,3.544950264320505,3.287607192993164,0.01990509033203125,0.23324371239037253,3.231761932373047,0.013646125793457031,0.28856091276971463,0,0,0,281,164,130,False
replicate_extended_lane,10512,B5_active_no_task,True,False,37.0,37.0,3.6803814462509763,3.2948265075683594,0.07642102241516113,0.23778829735889168,3.2778358459472656,0.0812826156616211,0.2554414631904368,1,1,0,336,171,398,False
replicate_extended_lane,10513,B5_active_no_task,True,False,35.300000000000004,35.300000000000004,3.72213467728443,3.283599853515625,-0.002060413360595703,0.236409125376011,3.233997344970703,-0.013091564178466797,0.28630212667118965,0,0,0,333,216,194,False
replicate_extended_lane,10514,B5_active_no_task,True,False,40.300000000000004,40.300000000000004,3.980218222601252,3.3011131286621094,0.09135723114013672,0.23718685909148227,3.2773475646972656,0.09472274780273438,0.2604853226376644,3,3,0,341,229,64,False
replicate_extended_lane,10515,B5_active_no_task,True,False,30.8,30.8,3.581358784418626,3.312166213989258,0.09131813049316406,0.22701075649476507,3.298311233520508,0.11742210388183594,0.2508662186569477,3,3,0,254,151,139,False
replicate_extended_lane,10516,B5_active_no_task,True,False,23.1,23.1,3.39072605977708,3.2918529510498047,0.08484840393066406,0.24341390180978562,3.2521324157714844,0.09497642517089844,0.2842069035380108,0,0,0,211,100,77,False
replicate_extended_lane,10517,B5_active_no_task,True,False,36.7,36.7,3.661978010754865,3.2748184204101562,0.025480270385742188,0.2465020307200357,3.195049285888672,0.018802642822265625,0.3254942487641891,1,1,0,333,204,152,False
replicate_extended_lane,10518,B5_active_no_task,True,False,39.6,39.6,3.8598255646429607,3.2845516204833984,0.065155029296875,0.2442971904457157,3.2176647186279297,0.0629730224609375,0.30882393676688125,3,3,0,334,212,124,False
replicate_extended_lane,10519,B5_active_no_task,True,False,27.0,27.0,3.4526964842589223,3.291963577270508,0.08288860321044922,0.24263373762410487,3.29412841796875,0.10372161865234375,0.24854807531976975,0,0,0,250,149,102,False
replicate_extended_lane,10520,B5_active_no_task,True,False,36.6,36.6,3.749363754501246,3.2768993377685547,0.020178794860839844,0.24393670437103787,3.222871780395508,0.007246494293212891,0.2972165718207464,2,2,0,318,192,83,False
replicate_extended_lane,10521,B5_active_no_task,True,False,34.800000000000004,34.800000000000004,3.7791682171555294,3.2831077575683594,0.07029247283935547,0.24710112557850222,3.227142333984375,0.1254119873046875,0.31858088314246114,3,3,0,286,178,101,False
replicate_extended_lane,10522,B5_active_no_task,True,False,30.8,30.8,3.602626769323251,3.2746009826660156,-0.011343002319335938,0.2456610294900305,3.223041534423828,-0.0192413330078125,0.297581180811677,0,0,0,288,167,114,False
replicate_extended_lane,10523,B5_active_no_task,True,False,39.300000000000004,39.300000000000004,3.6572339967024163,3.2874813079833984,-0.029577255249023438,0.23439231251296852,3.2175235748291016,-0.043666839599609375,0.3056121408988592,0,0,0,373,228,247,False
replicate_extended_lane,10524,B5_active_no_task,True,False,29.900000000000002,29.900000000000002,3.5875145757527207,3.2799129486083984,0.05834007263183594,0.24707358482970498,3.210094451904297,0.05724334716796875,0.3151479803766649,1,1,0,265,158,168,False
replicate_extended_lane,10525,B5_active_no_task,True,False,48.2,48.2,4.017915773514687,3.271930694580078,0.012744903564453125,0.24839648318442373,3.2032108306884766,0.014806747436523438,0.3171350147220172,3,3,0,420,261,47,False
