scenario,seed,method,false_alarm,detected,detection_delay_trials,pre_shift_rmse,initial_shifted_rmse,target_rmse,recovered,recovery_trials,final_rmse
confirm_friction_payload,10101,full,False,True,2,0.11388530302346364,0.15922475302763628,0.14,True,6,0.13412123631268863
confirm_friction_payload,10102,full,False,True,2,0.102170066858326,0.13371840409638205,0.1328210869158238,True,4,0.1099217268724105
confirm_friction_payload,10103,full,False,True,2,0.14043053743961456,0.15695902461599395,0.14,True,6,0.13156194252837586
confirm_friction_payload,10104,full,False,True,2,0.12778214217053285,0.12500681706588343,0.14,True,4,0.10198082514172742
confirm_friction_payload,10105,full,False,True,2,0.11370135324646752,0.1420001472639175,0.14,True,4,0.1304439458451764
confirm_friction_payload,10106,full,False,True,2,0.12945210339609015,0.16154390880795244,0.14,True,6,0.1278205266903029
confirm_friction_payload,10107,full,False,True,2,0.11860145713839744,0.15162770148363555,0.14,True,5,0.12106034042739161
confirm_friction_payload,10108,full,False,True,2,0.1387683916699601,0.1580453539327319,0.14,True,6,0.1462222970714143
confirm_friction_payload,10109,full,False,True,2,0.1067262548322661,0.13535325568964535,0.13874413128194593,True,4,0.1283201711972625
confirm_friction_payload,10110,full,False,True,2,0.12305972061167762,0.1515151675314052,0.14,True,6,0.1602825322437779
confirm_friction_payload,10111,full,False,True,2,0.12993400850506615,0.1454979027073936,0.14,True,4,0.11736905954778619
confirm_friction_payload,10112,full,False,True,2,0.12544221758971302,0.12359591826948949,0.14,True,5,0.09227849905876377
confirm_friction_payload,10113,full,False,True,2,0.10570363473472495,0.13565620690861976,0.13741472515514244,True,5,0.10596457089291546
confirm_friction_payload,10114,full,False,True,2,0.12707184414402328,0.15103860335462257,0.14,True,6,0.13238841262578285
confirm_friction_payload,10115,full,False,True,2,0.12850734307502268,0.14990131054220238,0.14,True,6,0.1222979457793398
confirm_friction_payload,10116,full,False,True,2,0.13019222626288973,0.16746833626366558,0.14,True,7,0.13087257156655685
confirm_friction_payload,10117,full,False,True,2,0.13043363692762763,0.1430341669376035,0.14,True,4,0.12486214974688664
confirm_friction_payload,10118,full,False,True,2,0.13717846321864363,0.17326356948927477,0.14,True,7,0.13005374926691324
confirm_friction_payload,10119,full,False,True,2,0.10114913858387782,0.1345541536122599,0.13149388015904118,True,5,0.10495273415206695
confirm_friction_payload,10120,full,False,True,2,0.11730773701315138,0.13580090999603064,0.14,True,5,0.11314321545177906
confirm_friction_payload,10121,full,False,True,2,0.12134591895033219,0.14350136707234665,0.14,True,4,0.12445061144124074
confirm_friction_payload,10122,full,False,True,2,0.13777254142682857,0.15418490225718326,0.14,True,6,0.12059683646983059
confirm_friction_payload,10123,full,False,True,2,0.13045034749999404,0.12730800066230238,0.14,True,4,0.10391535244648996
confirm_friction_payload,10124,full,False,True,2,0.1234730589786457,0.15591291309432703,0.14,True,5,0.1284895121040016
confirm_friction_payload,10125,full,False,True,2,0.12679407047160862,0.10989688966468514,0.14,True,4,0.08838463102901424
confirm_friction_payload,10126,full,False,True,2,0.12682523641444934,0.14978934773802352,0.14,True,6,0.11710766342302774
confirm_friction_payload,10127,full,False,True,5,0.1273456554272334,0.14199226297350032,0.14,True,4,0.11938583463862246
confirm_friction_payload,10128,full,False,True,2,0.12494817698886596,0.132084324742475,0.14,True,4,0.11722920278778812
confirm_friction_payload,10129,full,False,True,2,0.11361427861004351,0.13897925788752413,0.14,True,4,0.11797181056098825
confirm_friction_payload,10130,full,False,True,2,0.12845447268695964,0.14020651214729626,0.14,True,5,0.13178116676740256
confirm_friction_payload,10131,full,False,True,1,0.14766327614707098,0.12428514682982936,0.14,True,4,0.08881186019541396
confirm_friction_payload,10132,full,False,True,2,0.12821761851381763,0.13328552435699892,0.14,True,5,0.13120952597324606
confirm_friction_payload,10133,full,False,True,2,0.11871466295599196,0.15098883831125048,0.14,True,6,0.1287420310223725
confirm_friction_payload,10134,full,False,True,2,0.1142433038401855,0.1365452720775202,0.14,True,5,0.11063831744745994
confirm_friction_payload,10135,full,False,True,2,0.10943179066959534,0.13222352179732097,0.14,True,4,0.1161936175687027
confirm_friction_payload,10136,full,False,True,2,0.10391877848300866,0.11567931559143176,0.13509441202791128,True,5,0.09901710240693393
confirm_friction_payload,10137,full,False,True,2,0.12396368171966697,0.1362813750002556,0.14,True,4,0.12061851240763201
confirm_friction_payload,10138,full,False,True,2,0.13109612623184458,0.16103822524614728,0.14,True,8,0.13183117848392367
confirm_friction_payload,10139,full,False,True,2,0.12849433778969774,0.1419680630618383,0.14,True,6,0.13397329732714788
confirm_friction_payload,10140,full,False,True,2,0.12421288263506931,0.1472345450553248,0.14,True,6,0.16957198976836999
confirm_friction_payload,10141,full,False,True,2,0.13422479523963868,0.1509227275222193,0.14,True,5,0.135428994950808
confirm_friction_payload,10142,full,False,True,2,0.12665200155677386,0.1402877726210883,0.14,True,4,0.12541214840662732
confirm_friction_payload,10143,full,False,True,2,0.12822756187430964,0.14713473176293645,0.14,True,5,0.1252119520826298
confirm_friction_payload,10144,full,False,True,2,0.12881526840542978,0.14464379557368315,0.14,True,4,0.13455856610773548
confirm_friction_payload,10145,full,False,True,2,0.132829313964942,0.1558175806576532,0.14,True,6,0.13394205628122643
confirm_friction_payload,10146,full,False,True,2,0.12543029457020616,0.141721374093589,0.14,True,4,0.12623637783350694
confirm_friction_payload,10147,full,False,True,2,0.12324828743404947,0.14932113924054427,0.14,True,4,0.12571850136018686
confirm_friction_payload,10148,full,False,True,2,0.12478490728345046,0.14382990616398747,0.14,True,5,0.1215796252899943
confirm_friction_payload,10149,full,False,True,2,0.10676344568628686,0.11775108573725764,0.13879247939217293,True,4,0.10414733893835808
confirm_friction_payload,10150,full,False,True,2,0.1043166647885766,0.13950238665442835,0.1356116642251496,True,4,0.1226408915095827
confirm_friction_payload,10151,full,False,True,2,0.10952975093021723,0.1511418618217043,0.14,True,5,0.12664747086941705
confirm_friction_payload,10152,full,False,True,2,0.1094401010213184,0.13607306922218973,0.14,True,4,0.12370251880863838
confirm_friction_payload,10153,full,False,True,2,0.13040087815447088,0.14989089901669858,0.14,True,5,0.12758936776982094
confirm_friction_payload,10154,full,False,True,2,0.13169424543364083,0.14971105027929477,0.14,True,5,0.11879592305015012
confirm_friction_payload,10155,full,False,True,2,0.119222850826928,0.138868004220294,0.14,True,5,0.11813207202521457
confirm_friction_payload,10156,full,False,True,2,0.12213023334406203,0.141014439322977,0.14,True,5,0.1293989233221275
confirm_friction_payload,10157,full,False,True,2,0.1241651819231906,0.11817582629830407,0.14,True,5,0.07616194759689705
confirm_friction_payload,10158,full,False,True,2,0.11747779715277182,0.14172331125456497,0.14,True,5,0.1195691922321108
confirm_friction_payload,10159,full,False,True,2,0.12787297599124853,0.13462564162289145,0.14,True,4,0.11869441664854051
confirm_friction_payload,10160,full,False,True,2,0.13926130586004482,0.1467950247557926,0.14,True,5,0.1377679117490094
confirm_friction_payload,10161,full,False,True,2,0.1286627469456456,0.1419885631362709,0.14,True,5,0.12757042456928866
confirm_friction_payload,10162,full,False,True,2,0.1309885067634444,0.12867477312277215,0.14,True,4,0.11576356783236867
confirm_friction_payload,10163,full,False,True,2,0.12430639290134186,0.14318437953796243,0.14,True,4,0.12273148471647792
confirm_friction_payload,10164,full,False,True,2,0.1287070969840198,0.148977066052479,0.14,True,6,0.13347582743165787
confirm_friction_payload,10165,full,False,True,2,0.1265108083360053,0.14924090986490696,0.14,True,5,0.12781285661390349
confirm_friction_payload,10166,full,False,True,2,0.12585694226834446,0.1484767048546786,0.14,True,5,0.12986999580610684
confirm_friction_payload,10167,full,False,True,2,0.11375876227329405,0.1416058419881157,0.14,True,5,0.10735528203235341
confirm_friction_payload,10168,full,False,True,1,0.1263515301854929,0.13327333096825877,0.14,True,5,0.11637534776349238
confirm_friction_payload,10169,full,False,True,2,0.10462021644136558,0.13878441043647122,0.13600628137377527,True,5,0.12954817369770646
confirm_friction_payload,10170,full,False,True,2,0.11614411928094347,0.1565834047079134,0.14,True,5,0.1402594345531565
confirm_friction_payload,10171,full,False,True,2,0.10334825824483203,0.14194618210221038,0.13435273571828163,True,6,0.12316492732472241
confirm_friction_payload,10172,full,False,True,2,0.13134059808627863,0.13847173476340555,0.14,True,4,0.12231507106291144
