[INFO] [1787254378.885933352] [dclp_go2_policy_ros2]: trajectory log enabled: /home/unitree/qyw/dclp_20260710_reproduction/dclp_deploy/robots/unitree_go2/../trajectory_logs/trajectory_20260821_033258.csv (rate=2.00 Hz)
[INFO] [1787254378.893761920] [dclp_go2_policy_ros2]: Go2 DCLP policy ready: backend={"action_dim": 2, "backend_type": "pth", "checkpoint_meta": {"T": 1010000, "episode": 16356, "test_time": 101}, "deterministic_rule": "highest_weight_component_tanh_mu", "device": "cpu", "model_path": "/home/unitree/qyw/dclp_20260710_reproduction/models/dclp/V1_41lambda1_101.pth", "obs_dim": 548, "policy_id": "V1_41lambda1_101.pth"} scan=/scan odom=/odom goal=/move_base_simple/goal rel_goal=/dclp_relative_goal global=odom zmq=tcp://*:5596 rate=25.0Hz scan_stamp_timeout=0.08s experiment=<unset> profile=<unset> compensation=off mapping=range limiter=last_cmd_dt config={"accel_limiter_mode":"last_cmd_dt","action_mapping_mode":"range","backend":{"action_dim":2,"backend_type":"pth","checkpoint_meta":{"T":1010000,"episode":16356,"test_time":101},"deterministic_rule":"highest_weight_component_tanh_mu","device":"cpu","model_path":"/home/unitree/qyw/dclp_20260710_reproduction/models/dclp/V1_41lambda1_101.pth","obs_dim":548,"policy_id":"V1_41lambda1_101.pth"},"cap_angular":1.5708,"cap_linear":1.5,"compensation_available":true,"compensation_mode":"off","compensation_source":"/home/unitree/qyw/dclp_20260710_reproduction/dclp_deploy/robots/unitree_go2/velocity_compensation.py","compensation_source_sha256":"53f5318dde1c9965c6c7177ae72e8200b85b26c8b9143ecb9dcc5d356a458000","control_period_sec":0.02,"control_rate_hz":25.0,"dclp_length1":0.6048,"dclp_length2":0.6048,"dclp_width":0.53568,"deploy_core_source":"/home/unitree/qyw/dclp_20260710_reproduction/dclp_deploy/dclp_deploy_core.py","deploy_core_source_sha256":"df6c78b263454c8bf8fb616de9dff7d268f6f48fe40127c299dd56455464e7de","experiment_id":"","experiment_profile":"","floor_angular":0.27928,"floor_linear":0.29997,"front_safety_angle":0.55,"front_safety_base_distance":0.55,"front_safety_decel":3.0,"front_safety_enabled":true,"front_safety_hold_sec":0.75,"front_safety_min_cluster_beams":2,"front_safety_reaction_time":0.12,"front_safety_release_margin":0.15,"front_safety_reverse_w_limit":0.35,"goal_topic":"/move_base_simple/goal","max_angular":0.83776,"max_angular_acc":3.0,"max_linear":0.9,"max_linear_acc":3.0,"min_angular":0.27928,"min_linear":0.29997,"model_path":"/home/unitree/qyw/dclp_20260710_reproduction/models/dclp/V1_41lambda1_101.pth","model_sha256":"dacaf9fc45da536ae6b45cdbedc949370b7828fac4cadcf40ebedabc4080c452","odom_stamp_timeout":0.05,"odom_timeout":0.1,"odom_topic":"/odom","pid":85223,"policy_source":"/home/unitree/qyw/dclp_20260710_reproduction/dclp_deploy/robots/unitree_go2/dclp_go2_policy_ros2.py","policy_source_sha256":"451166a2ba16b882f495a5576dd545252174d4c93240304f5142e832e658ef99","relative_goal_topic":"/dclp_relative_goal","scan_min_valid_beams":64,"scan_stamp_timeout":0.08,"scan_timeout":0.1,"scan_topic":"/scan","schema_version":1,"speed_scale":1.0,"straighten_front_clear_angle":0.35,"straighten_front_clear_range":1.2,"straighten_front_goal_angle":0.0,"straighten_front_goal_w_limit":0.0,"trajectory_log_path":"/home/unitree/qyw/dclp_20260710_reproduction/dclp_deploy/robots/unitree_go2/../trajectory_logs/trajectory_20260821_033258.csv","written_at":"2026-08-21T03:32:58"}
[INFO] [1787254378.897696029] [dclp_go2_policy_ros2]: received first scan: frame=base_link beams=1081 valid=957
[INFO] [1787254378.899459015] [dclp_go2_policy_ros2]: received first odom: frame=odom child=base_link
[WARN] [1787254378.934089879] [dclp_go2_policy_ros2]: DCLP stop: waiting goal
[WARN] [1787254380.934246278] [dclp_go2_policy_ros2]: DCLP stop: waiting goal
[WARN] [1787254382.934901396] [dclp_go2_policy_ros2]: DCLP stop: waiting goal
[WARN] [1787254384.974237511] [dclp_go2_policy_ros2]: DCLP stop: waiting goal
[WARN] [1787254386.974259693] [dclp_go2_policy_ros2]: DCLP stop: waiting goal
[WARN] [1787254388.975432641] [dclp_go2_policy_ros2]: DCLP stop: waiting goal
[WARN] [1787254391.014139839] [dclp_go2_policy_ros2]: DCLP stop: waiting goal
[WARN] [1787254393.054082830] [dclp_go2_policy_ros2]: DCLP stop: waiting goal
[INFO] [1787254393.744928132] [dclp_go2_policy_ros2]: received relative goal: right=0.000 forward=4.000 -> global=(4.000, 0.001) frame=odom
[INFO] [1787254393.784425930] [dclp_go2_policy_ros2]: ⏱ v=0.086 w=-0.086 dist=4.00 | total=10.8ms (tf=0.3 feat=0.5 infer=2.3 conv=6.1) | e2e_scan→cmd=49.4ms | valid=951 cov=88/90 safety=off front=inf/0.791
[INFO] [1787254394.180683432] [dclp_go2_policy_ros2]: ⏱ v=0.894 w=-0.494 dist=4.00 | total=6.5ms (tf=0.3 feat=0.4 infer=2.4 conv=2.3) | e2e_scan→cmd=45.7ms | valid=968 cov=90/90 safety=off front=inf/0.791
[INFO] [1787254394.580165363] [dclp_go2_policy_ros2]: ⏱ v=0.895 w=-0.489 dist=4.00 | total=6.4ms (tf=0.3 feat=0.3 infer=2.3 conv=2.4) | e2e_scan→cmd=45.2ms | valid=962 cov=90/90 safety=off front=inf/0.791
[INFO] [1787254394.980527123] [dclp_go2_policy_ros2]: ⏱ v=0.894 w=-0.496 dist=4.00 | total=6.3ms (tf=0.3 feat=0.3 infer=2.3 conv=2.4) | e2e_scan→cmd=45.4ms | valid=958 cov=89/90 safety=off front=inf/0.791
[INFO] [1787254395.379957503] [dclp_go2_policy_ros2]: ⏱ v=0.894 w=-0.501 dist=4.00 | total=6.2ms (tf=0.2 feat=0.3 infer=2.3 conv=2.3) | e2e_scan→cmd=45.0ms | valid=971 cov=90/90 safety=off front=inf/0.791
[INFO] [1787254395.780122813] [dclp_go2_policy_ros2]: ⏱ v=0.894 w=-0.505 dist=4.00 | total=6.3ms (tf=0.3 feat=0.3 infer=2.3 conv=2.4) | e2e_scan→cmd=45.0ms | valid=974 cov=88/90 safety=off front=inf/0.791
[INFO] [1787254396.180812935] [dclp_go2_policy_ros2]: ⏱ v=0.894 w=-0.490 dist=4.00 | total=6.2ms (tf=0.2 feat=0.3 infer=2.3 conv=2.2) | e2e_scan→cmd=45.9ms | valid=972 cov=90/90 safety=off front=inf/0.791
[INFO] [1787254396.579990767] [dclp_go2_policy_ros2]: ⏱ v=0.894 w=-0.481 dist=4.00 | total=6.3ms (tf=0.2 feat=0.3 infer=2.3 conv=2.4) | e2e_scan→cmd=44.9ms | valid=954 cov=89/90 safety=off front=inf/0.791
[INFO] [1787254396.979675811] [dclp_go2_policy_ros2]: ⏱ v=0.894 w=-0.480 dist=4.00 | total=6.0ms (tf=0.2 feat=0.3 infer=2.3 conv=2.2) | e2e_scan→cmd=44.7ms | valid=947 cov=89/90 safety=off front=inf/0.791
[INFO] [1787254397.389211394] [dclp_go2_policy_ros2]: ⏱ v=0.894 w=-0.486 dist=4.00 | total=15.3ms (tf=0.5 feat=0.5 infer=5.0 conv=2.6) | e2e_scan→cmd=54.1ms | valid=964 cov=90/90 safety=off front=inf/0.791
[INFO] [1787254397.779997925] [dclp_go2_policy_ros2]: ⏱ v=0.894 w=-0.489 dist=4.00 | total=6.3ms (tf=0.2 feat=0.3 infer=2.3 conv=2.4) | e2e_scan→cmd=44.9ms | valid=962 cov=90/90 safety=off front=inf/0.791
[INFO] [1787254398.179794270] [dclp_go2_policy_ros2]: ⏱ v=0.894 w=-0.491 dist=4.00 | total=6.2ms (tf=0.2 feat=0.3 infer=2.4 conv=2.2) | e2e_scan→cmd=44.9ms | valid=986 cov=90/90 safety=off front=inf/0.791
[INFO] [1787254398.580539279] [dclp_go2_policy_ros2]: ⏱ v=0.895 w=-0.489 dist=4.00 | total=6.7ms (tf=0.3 feat=0.3 infer=2.5 conv=2.5) | e2e_scan→cmd=45.5ms | valid=978 cov=89/90 safety=off front=inf/0.791
[INFO] [1787254398.980531949] [dclp_go2_policy_ros2]: ⏱ v=0.894 w=-0.501 dist=4.00 | total=6.9ms (tf=0.2 feat=0.5 infer=2.3 conv=2.3) | e2e_scan→cmd=45.5ms | valid=971 cov=89/90 safety=off front=inf/0.791
[INFO] [1787254399.380780756] [dclp_go2_policy_ros2]: ⏱ v=0.894 w=-0.503 dist=4.00 | total=6.9ms (tf=0.3 feat=0.4 infer=2.4 conv=2.6) | e2e_scan→cmd=45.7ms | valid=947 cov=88/90 safety=off front=inf/0.791
[INFO] [1787254399.781063068] [dclp_go2_policy_ros2]: ⏱ v=0.895 w=-0.489 dist=4.00 | total=7.1ms (tf=0.4 feat=0.4 infer=2.4 conv=2.7) | e2e_scan→cmd=44.7ms | valid=974 cov=88/90 safety=off front=inf/0.791
[INFO] [1787254400.180542289] [dclp_go2_policy_ros2]: ⏱ v=0.894 w=-0.483 dist=4.00 | total=6.7ms (tf=0.2 feat=0.3 infer=2.4 conv=2.6) | e2e_scan→cmd=45.4ms | valid=982 cov=90/90 safety=off front=inf/0.791
[INFO] [1787254400.579990663] [dclp_go2_policy_ros2]: ⏱ v=0.894 w=-0.499 dist=4.00 | total=6.4ms (tf=0.2 feat=0.3 infer=2.4 conv=2.4) | e2e_scan→cmd=45.9ms | valid=976 cov=89/90 safety=off front=inf/0.791
