scenario,seed,method,context_stage,monitor_trial,cmd_vx,cmd_vy,cmd_wz,measured_vx,measured_vy,measured_wz,predicted_vx,predicted_vy,predicted_wz,normalized_nis,cusum,legacy_alarm,signature_distance,alarm,valid,safety_events
final030_mixed_context,18101,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.11341788311255686,0.008723114382037279,-0.22024390434727364,-0.20037305278879067,-0.0022527279465960823,-0.18760925813968102,0.9680058820548,0.0,False,nan,False,True,
final030_mixed_context,18102,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.11454691646902401,0.017397090843918966,-0.17341478958348155,-0.2014508715835153,-0.0037420535158528725,-0.1848553440977193,0.9481674854472093,0.0,False,nan,False,True,
final030_mixed_context,18103,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.15123190351528548,0.006535855004917209,-0.16444644375290815,-0.19846613054937348,0.0015736373672806682,-0.18224623475870708,0.28509262154581655,0.0,False,nan,False,True,
final030_mixed_context,18104,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.12276086733376715,0.02008670595157104,-0.18819904374068963,-0.2046172417269839,-0.006747880458961578,-0.17809350791292497,0.8782806138878746,0.0,False,nan,False,True,
final030_mixed_context,18105,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.11729623311868712,0.025423902807429025,-0.22324415022532326,-0.2009583298198303,-0.005971768683039511,-0.19276984114281837,1.0029205616062535,0.0,False,nan,False,True,
final030_mixed_context,18106,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.1506120564707761,0.010602355671364956,-0.16651314522221125,-0.20345030896218874,0.0019678904350642476,-0.18109121863545924,0.34998283629405574,0.0,False,nan,False,True,
final030_mixed_context,18107,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.14952391781739816,0.013653197175146011,-0.17922057884560536,-0.20589553621956078,-0.0003694786892196061,-0.18210113199196704,0.3942743308645215,0.0,False,nan,False,True,
final030_mixed_context,18108,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.14423070182090628,0.015571726454660451,-0.16148589267358907,-0.20165927736660466,-0.00849454897068583,-0.1826697179089694,0.4841846462079455,0.0,False,nan,False,True,
final030_mixed_context,18109,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.11339522844120796,0.017641655136775923,-0.18798431866993817,-0.19741987816766024,-0.008774255453645675,-0.18021095193408443,0.9196888879809708,0.0,False,nan,False,True,
final030_mixed_context,18110,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.18125869859273844,-0.00010821905952988246,-0.16146037809202152,-0.20821504714892286,-0.0005007808675990059,-0.17950959887892753,0.10557177126439876,0.0,False,nan,False,True,
