scenario,seed,passive_early_mean_rmse,full_early_mean_rmse,passive_minus_full_early_rmse,passive_final_rmse,full_final_rmse,full_minus_passive_final_rmse,passive_recovery_trials,full_recovery_trials
final030_mixed_context,18101,0.12135922057493938,0.0999782849282212,0.021380935646718183,0.07220094816925117,0.09614829575604676,0.023947347586795592,9.0,8.0
final030_mixed_context,18102,0.13113908963793441,0.10694394664853647,0.02419514298939794,0.07505721549582207,0.09437199027175414,0.01931477477593206,9.0,8.0
final030_mixed_context,18103,0.1049929189183692,0.0828597073829943,0.02213321153537491,0.06828763970583077,0.09214076568096248,0.023853125975131714,8.0,7.0
final030_mixed_context,18104,0.10116648563299087,0.0805907497678086,0.02057573586518227,0.06522495435237384,0.09573145954905893,0.030506505196685088,8.0,7.0
final030_mixed_context,18105,0.1350467493976236,0.11220651302566283,0.022840236371960768,0.08937900214693209,0.09837207014355877,0.008993067996626677,9.0,8.0
final030_mixed_context,18106,0.11603391174533956,0.09843662779011371,0.017597283955225848,0.06307542874851298,0.09807050760838652,0.034995078859873546,9.0,7.0
final030_mixed_context,18107,0.11419650319628498,0.0921507350026728,0.022045768193612175,0.07480979962604899,0.09220863759371747,0.017398837967668487,8.0,7.0
final030_mixed_context,18108,0.12402691660714577,0.10162277348300902,0.022404143124136744,0.08505743348911461,0.11010596759126788,0.02504853410215327,9.0,8.0
final030_mixed_context,18109,0.12046341175649106,0.09654533135841198,0.023918080398079078,0.07349241802234904,0.09954497080935945,0.026052552787010408,9.0,8.0
final030_mixed_context,18110,0.12658805278900176,0.111915226012915,0.014672826776086764,0.07872011938375471,0.12007037816696811,0.0413502587832134,8.0,8.0
final030_mixed_context,18111,0.12323859455017498,0.10575683103699153,0.01748176351318345,0.08124737289663306,0.10912490459447974,0.02787753169784668,9.0,8.0
final030_mixed_context,18112,0.1285742848501639,0.1085808988225443,0.01999338602761959,0.08134746659827102,0.1041576191568143,0.02281015255854328,9.0,8.0
final030_mixed_context,18113,0.11751065887982003,0.09590355018553887,0.02160710869428116,0.0643601006280672,0.07671638577957077,0.012356285151503568,9.0,7.0
final030_mixed_context,18114,0.1297584147865215,0.10942651264816883,0.020331902138352675,0.08719542930156825,0.1153666232846062,0.028171193983037954,9.0,8.0
final030_mixed_context,18115,0.09928560520113174,0.09356994597012558,0.005715659231006157,0.06276098152962249,0.07342432734689824,0.010663345817275752,8.0,8.0
final030_mixed_context,18116,0.1320149766340669,0.11470624514187777,0.017308731492189117,0.07343387626976632,0.08797749374707693,0.014543617477310616,9.0,9.0
final030_mixed_context,18117,0.09326193274728191,0.07538441460654077,0.017877518140741136,0.06664569247773275,0.0737552232788614,0.007109530801128652,8.0,7.0
final030_mixed_context,18118,0.13280464516262572,0.11411099992690986,0.01869364523571586,0.09070082984107052,0.11336747410945698,0.022666644268386466,9.0,8.0
final030_mixed_context,18119,0.11093432428701507,0.09621780898661819,0.014716515300396874,0.07317108014706726,0.10433406771782573,0.03116298757075847,8.0,8.0
final030_mixed_context,18120,0.14219437995417725,0.12773169722118363,0.014462682732993615,0.09358058455482703,0.11169794861184526,0.018117364057018234,9.0,8.0
final030_mixed_context,18121,0.11577151558415107,0.09949999193026837,0.016271523653882694,0.08675297674662621,0.11255747887250248,0.02580450212587626,8.0,8.0
final030_mixed_context,18122,0.13486027786703084,0.10959032832576261,0.025269949541268225,0.08546753598296353,0.10339021514527257,0.017922679162309038,9.0,8.0
final030_mixed_context,18123,0.1246216333880442,0.0972207388487405,0.027400894539303708,0.08056370337916118,0.09392404740619169,0.013360344027030513,9.0,8.0
final030_mixed_context,18124,0.12216887162321367,0.1017507478090015,0.02041812381421218,0.09264736105007247,0.11912598921704562,0.026478628166973148,8.0,8.0
final030_mixed_context,18125,0.13775487264609268,0.11340661467000063,0.024348257976092053,0.07822843335927901,0.11544705113712574,0.03721861777784673,9.0,8.0
final030_mixed_context,18126,0.11024932836466017,0.09133056116954129,0.018918767195118882,0.07745992997183085,0.08881664026101875,0.011356710289187902,9.0,8.0
final030_mixed_context,18127,0.11023160277713495,0.09523350929243062,0.014998093484704336,0.0676418365507742,0.09120961944360213,0.023567782892827932,9.0,8.0
final030_mixed_context,18128,0.10462565954320102,0.08410164555567767,0.02052401398752335,0.05977030828511984,0.09045147960441843,0.030681171319298595,9.0,8.0
final030_mixed_context,18129,0.10903283001599214,0.08832845311151315,0.020704376904478988,0.07407553902254996,0.09145223052459685,0.01737669150204689,9.0,7.0
final030_mixed_context,18130,0.10232256372357001,0.08812629271557983,0.014196271007990188,0.08569947491821955,0.09305158518057621,0.007352110262356659,7.0,6.0
final030_mixed_context,18131,0.11834360994808403,0.09981208358809524,0.018531526359988795,0.07962126961237126,0.10602271699077016,0.026401447378398904,8.0,7.0
final030_mixed_context,18132,0.09556248880713082,0.08215290912188972,0.013409579685241105,0.07403319255825627,0.09123270999240568,0.01719951743414941,8.0,8.0
final030_mixed_context,18133,0.1178564402430946,0.10598097574171898,0.011875464501375624,0.06539085874201116,0.09553687762117974,0.030146018879168582,8.0,8.0
final030_mixed_context,18134,0.10417083759368982,0.09093511518417378,0.013235722409516038,0.06334183084073802,0.09770628763783919,0.034364456797101164,8.0,8.0
final030_mixed_context,18135,0.12959230137606717,0.10970067917316688,0.01989162220290029,0.08454673621151448,0.10551376409437059,0.020967027882856107,9.0,8.0
