schema_version,seq,wall_time,ros_time,status,global_frame,base_frame,robot_x,robot_y,robot_yaw,goal_x,goal_y,goal_frame,goal_raw_x,goal_raw_y,goal_in_base_x,goal_in_base_y,target_dist,target_angle,obs_dim,coverage_count,empty_group_count,min_pooled_range,normalized_action_linear,normalized_action_angular,cmd_published_linear,cmd_published_angular,experiment_id,experiment_profile,compensation_mode,action_mapping_mode,cmd_target_linear,cmd_target_angular,cmd_desired_linear,cmd_desired_angular,cmd_compensated_raw_linear,cmd_compensated_raw_angular,compensation_linear_accepted,compensation_angular_accepted,compensation_linear_reason,compensation_angular_reason
3,0,2026-08-21T04:26:22.350,1787257582.350471258,NAVIGATING,odom,base_link,-0.000075,-0.000116,0.012386,3.999624,0.049583,odom,3.999624,0.049583,4.000008,0.000155,4.000008,0.000039,548,90,0,1.316697,0.999116,-0.752467,1.128940,-0.737615,,,calibration_direct,policy_direct_scale,0.899204,-0.630387,0.899204,-0.630387,1.128940,-0.737615,1,1,calibration_direct,calibration_direct
3,1,2026-08-21T04:26:22.870,1787257582.870338440,NAVIGATING,odom,base_link,-0.000211,-0.000145,0.012499,3.999624,0.049583,odom,3.999624,0.049583,4.000144,-0.000269,4.000144,-0.000067,548,90,0,1.317500,0.999095,-0.746660,1.127981,-0.731821,,,calibration_direct,policy_direct_scale,0.899186,-0.625522,0.899186,-0.625522,1.127981,-0.731821,1,1,calibration_direct,calibration_direct
3,2,2026-08-21T04:26:23.388,1787257583.388391495,NAVIGATING,odom,base_link,-0.000267,-0.000069,0.012761,3.999624,0.049583,odom,3.999624,0.049583,4.000199,-0.001395,4.000199,-0.000349,548,90,0,1.315681,0.999111,-0.753093,1.129033,-0.738239,,,calibration_direct,policy_direct_scale,0.899200,-0.630911,0.899200,-0.630911,1.129033,-0.738239,1,1,calibration_direct,calibration_direct
3,3,2026-08-21T04:26:23.908,1787257583.908025742,NAVIGATING,odom,base_link,-0.000293,-0.000095,0.013054,3.999624,0.049583,odom,3.999624,0.049583,4.000225,-0.002541,4.000226,-0.000635,548,90,0,1.316580,0.999112,-0.747303,1.128108,-0.732462,,,calibration_direct,policy_direct_scale,0.899200,-0.626061,0.899200,-0.626061,1.128108,-0.732462,1,1,calibration_direct,calibration_direct
3,4,2026-08-21T04:26:24.428,1787257584.428392649,NAVIGATING,odom,base_link,-0.000345,-0.000131,0.013319,3.999624,0.049583,odom,3.999624,0.049583,4.000276,-0.003566,4.000278,-0.000891,548,90,0,1.319046,0.999102,-0.765278,1.130975,-0.750384,,,calibration_direct,policy_direct_scale,0.899192,-0.641119,0.899192,-0.641119,1.130975,-0.750384,1,1,calibration_direct,calibration_direct
3,5,2026-08-21T04:26:24.948,1787257584.948545694,NAVIGATING,odom,base_link,-0.000406,-0.000076,0.013436,3.999624,0.049583,odom,3.999624,0.049583,4.000336,-0.004090,4.000338,-0.001022,548,90,0,1.318416,0.999088,-0.760321,1.130157,-0.745448,,,calibration_direct,policy_direct_scale,0.899179,-0.636967,0.899179,-0.636967,1.130157,-0.745448,1,1,calibration_direct,calibration_direct
3,6,2026-08-21T04:26:25.468,1787257585.468465567,NAVIGATING,odom,base_link,-0.000364,-0.000004,0.013874,3.999624,0.049583,odom,3.999624,0.049583,4.000291,-0.005913,4.000295,-0.001478,548,90,0,1.318281,0.999118,-0.756180,1.129538,-0.741317,,,calibration_direct,policy_direct_scale,0.899206,-0.633497,0.899206,-0.633497,1.129538,-0.741317,1,1,calibration_direct,calibration_direct
3,7,2026-08-21T04:26:25.988,1787257585.988219738,NAVIGATING,odom,base_link,-0.000368,0.000008,0.014151,3.999624,0.049583,odom,3.999624,0.049583,4.000293,-0.007032,4.000299,-0.001758,548,90,0,1.314743,0.999101,-0.756460,1.129557,-0.741599,,,calibration_direct,policy_direct_scale,0.899190,-0.633732,0.899190,-0.633732,1.129557,-0.741599,1,1,calibration_direct,calibration_direct
3,8,2026-08-21T04:26:26.508,1787257586.508214474,NAVIGATING,odom,base_link,-0.000237,-0.000036,0.014881,3.999624,0.049583,odom,3.999624,0.049583,4.000156,-0.009908,4.000169,-0.002477,548,90,0,1.315194,0.999121,-0.752306,1.128921,-0.737454,,,calibration_direct,policy_direct_scale,0.899209,-0.630252,0.899209,-0.630252,1.128921,-0.737454,1,1,calibration_direct,calibration_direct
3,9,2026-08-21T04:26:27.028,1787257587.028515339,NAVIGATING,odom,base_link,-0.000200,-0.000067,0.015157,3.999624,0.049583,odom,3.999624,0.049583,4.000117,-0.010978,4.000132,-0.002744,548,90,0,1.316002,0.999121,-0.754771,1.129316,-0.739913,,,calibration_direct,policy_direct_scale,0.899209,-0.632317,0.899209,-0.632317,1.129316,-0.739913,1,1,calibration_direct,calibration_direct
