scenario,seed,method,context_stage,monitor_trial,cmd_vx,cmd_vy,cmd_wz,measured_vx,measured_vy,measured_wz,predicted_vx,predicted_vy,predicted_wz,normalized_nis,cusum,legacy_alarm,signature_distance,alarm,valid,safety_events
final_friction_payload,17101,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.14439464656149445,0.006541121313427548,-0.21506998022553697,-0.20746932558362097,-0.002144360716151054,-0.18859754080869415,0.5187615004991789,0.0,False,nan,False,True,
final_friction_payload,17102,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.10096880021583761,0.02103841307739314,-0.1953668439307416,-0.1814361286715993,0.0009879823491855094,-0.19219243272421505,0.813253715225157,0.0,False,nan,False,True,
final_friction_payload,17103,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.11752692907797332,0.010956478521089054,-0.22049114341154422,-0.1920659444477907,-0.00047076083487754207,-0.18927411988737639,0.7317686125443076,0.0,False,nan,False,True,
final_friction_payload,17104,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.08413608237624186,0.017499656473499443,-0.18620296467015304,-0.17990118806123317,0.005862636652502372,-0.1944894756590429,1.1092038274004261,0.0,False,nan,False,True,
final_friction_payload,17105,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.128911829330238,0.006114364435320982,-0.17803114651385635,-0.1805279817722972,0.006502951866247486,-0.19067660935326997,0.32358433398215286,0.0,False,nan,False,True,
final_friction_payload,17106,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.12316738456044624,0.012215886581243923,-0.17318077964774994,-0.20159285167587332,-0.001900987076994551,-0.18202295068800872,0.7501614254622454,0.0,False,nan,False,True,
final_friction_payload,17107,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.09426384395659107,0.011155848191661197,-0.19354373775200884,-0.19756137262313786,0.003912378148298233,-0.1862564495898011,1.269371085509108,0.0,False,nan,False,True,
final_friction_payload,17108,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.1333245634976042,0.014269014768639123,-0.18649802575335064,-0.20265604115929278,-0.0071060585646300104,-0.17908951537235387,0.620597490546175,0.0,False,nan,False,True,
final_friction_payload,17109,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.117425584093938,0.013101144704326441,-0.17905751328434819,-0.18587372160887727,0.0055454156153575546,-0.19230440634515647,0.5682286521946466,0.0,False,nan,False,True,
final_friction_payload,17110,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.1756689541449804,0.008052481436479866,-0.17447934539334,-0.20092298430306801,-0.0002373825930417628,-0.18191568698082292,0.08673831310957066,0.0,False,nan,False,True,
final_friction_payload,17111,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.11889222223867388,0.009330346478190669,-0.1765055272109877,-0.18106835365515164,0.006035100481665754,-0.1939923623418888,0.47405474045538626,0.0,False,nan,False,True,
final_friction_payload,17112,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.1273940725009078,0.011501798719667496,-0.16162590749268171,-0.20589878000758818,-0.002787378841220598,-0.18215463800458012,0.775036304007708,0.0,False,nan,False,True,
final_friction_payload,17113,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.11168248399183947,0.023139292213930452,-0.22148195795803935,-0.2064210663356321,-0.0027998359033506418,-0.18436710371559697,1.2163386122162363,0.0,False,nan,False,True,
final_friction_payload,17114,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.13988603395076438,0.010999701180393548,-0.20734816639856923,-0.20532899541718466,-0.004321095596042145,-0.18310737585178247,0.5616248547975327,0.0,False,nan,False,True,
final_friction_payload,17115,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.11749627408102663,0.0204401870787552,-0.17268474319230337,-0.20750417821124068,-0.00525878599228527,-0.17864678301813333,1.030229747948402,0.0,False,nan,False,True,
final_friction_payload,17116,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.14467214006025256,0.01263650021939321,-0.20049532345630577,-0.20353791826068435,-0.0033228834982744837,-0.18477245456745875,0.45128747307041656,0.0,False,nan,False,True,
final_friction_payload,17117,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.11867816118293148,0.023264177761280074,-0.16533553719709482,-0.2054332869804584,-0.002858880758606722,-0.1812207663680536,0.9665942634498816,0.0,False,nan,False,True,
final_friction_payload,17118,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.10826304237729599,0.02829781916785253,-0.22668249443338223,-0.19916707457186197,-0.010658077100013305,-0.18696451435142444,1.2626315143873148,0.0,False,nan,False,True,
final_friction_payload,17119,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.10719625023273673,0.022872273026891658,-0.20917314159273262,-0.1866702184222586,0.001051016220195225,-0.1926994509907247,0.8230031907076839,0.0,False,nan,False,True,
final_friction_payload,17120,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.059878948936180135,0.036235830689113305,-0.17629664661885602,-0.2061693704447158,0.00018123150794369122,-0.18450202433354967,2.7067864184639507,1.2067864184639507,False,nan,False,True,
final_friction_payload,17121,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.11211565849598085,0.01749211005935643,-0.2101742967888297,-0.20350927170194172,-0.005068675406597147,-0.1858413992854684,1.0886287425099297,0.0,False,nan,False,True,
final_friction_payload,17122,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.10848623949665898,0.029005519806474492,-0.18994223244301375,-0.20476912594467678,-0.008673415145477125,-0.18046101992620622,1.2597487812758035,0.0,False,nan,False,True,
