scenario,seed,method,context_stage,monitor_trial,cmd_vx,cmd_vy,cmd_wz,measured_vx,measured_vy,measured_wz,predicted_vx,predicted_vy,predicted_wz,normalized_nis,cusum,alarm,valid,safety_events
ablate_gain_recoupling,12101,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2333753087168117,0.05785986265111994,-0.35582725450946534,-0.2562413107207102,0.008312291295552107,-0.3201614383543608,0.3919581759111043,0.0,False,True,
ablate_gain_recoupling,12102,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2839765936943737,0.03443973623078141,-0.325569927218839,-0.2964020984681055,-0.006068271156734725,-0.2887089050547619,0.27250256487424446,0.0,False,True,
ablate_gain_recoupling,12103,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.27646829683967533,0.02658723333693709,-0.324404527038491,-0.2945906291198679,-0.00396673750930123,-0.29654799972886564,0.18140145906299113,0.0,False,True,
ablate_gain_recoupling,12104,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2817024761060381,0.03536295069541665,-0.3377844048233737,-0.26307877605812896,0.009005737913107766,-0.3101748795074157,0.15499248061822826,0.0,False,True,
ablate_gain_recoupling,12105,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.3288682115877955,0.03191337697462595,-0.38160801300428665,-0.30675602482232767,0.004244039251613932,-0.30037314442853635,0.5199933060812997,0.0,False,True,
ablate_gain_recoupling,12106,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.25281942038173305,0.030062710359058466,-0.3180994241188003,-0.30099294185610825,-0.004791718077233483,-0.2807613792932832,0.46466756167275064,0.0,False,True,
ablate_gain_recoupling,12107,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2766712649710777,0.04032034134380104,-0.3129380148752026,-0.3005432169530314,0.002116999925310822,-0.30391906654619144,0.22438768675749401,0.0,False,True,
ablate_gain_recoupling,12108,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2917592854081845,0.057262511838129526,-0.3455755146198183,-0.2920709438447455,0.006893675726364912,-0.29243485708790135,0.4141819514658606,0.0,False,True,
ablate_gain_recoupling,12109,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.11822339319744327,-0.013745786625342489,-0.1295299532697993,-0.29289486367363643,-0.008386830486748343,-0.29891619215791443,4.742374126680947,3.2423741266809474,False,True,
ablate_gain_recoupling,12110,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.303410423967698,0.021608269843213252,-0.36948785115778937,-0.29692187810113624,0.006960647884747189,-0.3123203377061286,0.21581003626539697,0.0,False,True,
ablate_gain_recoupling,12111,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2540176298410012,0.021860638320939957,-0.33366646134290423,-0.2923538724573942,-0.003486402630835169,-0.2940290217160859,0.320220258611101,0.0,False,True,
ablate_gain_recoupling,12112,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.20093182015569777,0.01901559491343128,-0.30377751234476563,-0.25720896808590454,0.008899194114587195,-0.3119253105228783,0.35069702535944064,0.0,False,True,
ablate_gain_recoupling,12113,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.27933667824661057,0.024791852495869036,-0.3341304924503192,-0.3051769027867003,-0.016164555474470786,-0.28277115715992285,0.40808618203066516,0.0,False,True,
ablate_gain_recoupling,12114,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2972433966552868,0.04338317094305634,-0.3535352011315517,-0.29262111000977375,0.0008444022387383534,-0.29652527100546083,0.37820432228567996,0.0,False,True,
ablate_gain_recoupling,12115,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.1897647617049569,0.019863834606773313,-0.29062502078947394,-0.2914848556177693,-0.007094465050224648,-0.2988290005471696,1.1880640158315663,0.0,False,True,
ablate_gain_recoupling,12116,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.31789899187061765,0.026975959109418413,-0.3710834349289004,-0.30379077635690593,0.0022077818733056594,-0.30045487894507933,0.3777222297129678,0.0,False,True,
