run_id,planned_unit_id,attempt_id,block_id,method_id,map_id,shift_id,stage,trial_index,command_id,planned_command,sent_command,measured_velocity,covariance,valid,reason,update_enabled,update_applied,posterior_before,posterior_after,posterior_path,measure_start,measure_end,sample_count,reference_max_age_ms,scan_max_age_ms,detector_statistic,detector_alarm,recovery_index,validation_rmse,bag_path,status,terminal_reason,created_at
p8_shift_official_20260822_r34,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_01,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_01_attempt_01,SHIFT_BLOCK_01,frozen,,R1_command_gain_coupling,pre_calibration,1,PRE_001,"[0.351562, 0.023457, -0.31104]","[0.351562, 0.023457, -0.31104]","[0.295964649583184, -0.010376314372332662, -0.2373505192135826]","[[4.516230443146972e-06, -2.763395160706881e-06, 0.0], [-2.7633951607068807e-06, 1.0675879079385408e-05, 0.0], [0.0, 0.0, 5.109514480918449e-06]]",True,,True,True,0,1,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/posterior/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_01_v0001.npz,1787329324.7273402,1787329326.7273688,40,95.49236297607422,72.3426342010498,,,,,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_part_01,SUCCESS,completed,2026-08-21T16:22:07Z
p8_shift_official_20260822_r34,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_02,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_02_attempt_01,SHIFT_BLOCK_01,frozen,,R1_command_gain_coupling,pre_calibration,2,PRE_002,"[-0.398438, 0.223457, 0.00896]","[-0.398438, 0.223457, 0.00896]","[-0.3450591341490011, 0.1764188390688306, 0.002487030469186806]","[[9.566376084887036e-07, -4.656072415459815e-07, 0.0], [-4.6560724154598155e-07, 1.1234610216638194e-06, 0.0], [0.0, 0.0, 1.2049913379517194e-06]]",True,,True,True,1,2,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/posterior/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_02_v0002.npz,1787329328.765367,1787329330.7654028,40,95.44563293457031,56.208133697509766,,,,,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_part_01,SUCCESS,completed,2026-08-21T16:22:11Z
p8_shift_official_20260822_r34,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_03,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_03_attempt_01,SHIFT_BLOCK_01,frozen,,R1_command_gain_coupling,pre_calibration,3,PRE_003,"[0.201562, -0.109877, 0.32896]","[0.201562, -0.109877, 0.32896]","[0.14282548263307965, 0.002651498341087348, 0.31701712536155024]","[[3.2491927339453167e-06, -1.7393329012731532e-07, 0.0], [-1.7393329012731527e-07, 5.049930210878226e-06, 0.0], [0.0, 0.0, 5.2370278768222554e-06]]",True,,True,True,2,3,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/posterior/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_03_v0003.npz,1787329332.7881737,1787329334.7882102,39,83.61363410949707,55.787086486816406,,,,,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_part_01,SUCCESS,completed,2026-08-21T16:22:15Z
p8_shift_official_20260822_r34,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_04,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_04_attempt_01,SHIFT_BLOCK_01,frozen,,R1_command_gain_coupling,pre_calibration,4,PRE_004,"[-0.098437, 0.090123, 0.64896]","[-0.098437, 0.090123, 0.64896]","[-0.046090368903591805, 0.06359021563266305, 0.5241725891646265]","[[1.5911371782380902e-06, -4.986436222253202e-08, 0.0], [-4.986436222253204e-08, 2.358514459357079e-06, 0.0], [0.0, 0.0, 4.5316371737314765e-06]]",True,,True,True,3,4,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/posterior/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_04_v0004.npz,1787329336.7990549,1787329338.7990913,40,95.82304954528809,66.57242774963379,,,,,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_part_01,SUCCESS,completed,2026-08-21T16:22:19Z
p8_shift_official_20260822_r34,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_05,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_05_attempt_01,SHIFT_BLOCK_01,frozen,,R1_command_gain_coupling,pre_calibration,5,PRE_005,"[0.501563, 0.290123, -0.56704]","[0.501563, 0.290123, -0.56704]","[0.48992446583966387, 0.16333136937674803, -0.47931125556090165]","[[6.724434132134009e-06, -1.6483981223134714e-05, 0.0], [-1.6483981223134717e-05, 8.71060129394113e-05, 0.0], [0.0, 0.0, 6.337752612419612e-06]]",True,,True,True,4,5,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/posterior/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_05_v0005.npz,1787329340.8470726,1787329342.8471153,40,114.06898498535156,59.95488166809082,,,,,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_part_01,SUCCESS,completed,2026-08-21T16:22:23Z
p8_shift_official_20260822_r34,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_06,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_06_attempt_01,SHIFT_BLOCK_01,frozen,,R1_command_gain_coupling,pre_calibration,6,PRE_006,"[-0.473437, -0.280247, -0.24704]","[-0.473437, -0.280247, -0.24704]","[-0.40907000398636506, -0.2265858945669998, -0.17327632923797842]","[[7.580725464279699e-06, 3.268609210848038e-07, 0.0], [3.268609210848039e-07, 8.259567420091046e-06, 0.0], [0.0, 0.0, 5.638813657589134e-07]]",True,,True,True,5,6,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/posterior/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_06_v0006.npz,1787329344.888128,1787329346.8881567,41,105.59630393981934,57.305097579956055,,,,,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_part_01,SUCCESS,completed,2026-08-21T16:22:27Z
p8_shift_official_20260822_r34,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_07,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_07_attempt_01,SHIFT_BLOCK_01,frozen,,R1_command_gain_coupling,pre_calibration,7,PRE_007,"[0.126563, -0.080247, 0.07296]","[0.126563, -0.080247, 0.07296]","[0.006047065199949345, -0.0017059825294796647, 0.01222869639459655]","[[3.9696601942426096e-07, -2.054102557082066e-08, 0.0], [-2.054102557082066e-08, 3.1242834309505787e-07, 0.0], [0.0, 0.0, 3.3975588401939284e-07]]",True,,True,True,6,7,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/posterior/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_07_v0007.npz,1787329348.900093,1787329350.9001324,40,98.01626205444336,72.28255271911621,,,,,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_part_01,SUCCESS,completed,2026-08-21T16:22:31Z
p8_shift_official_20260822_r34,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_08,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_08_attempt_01,SHIFT_BLOCK_01,frozen,,R1_command_gain_coupling,pre_calibration,8,PRE_008,"[-0.173437, 0.119753, 0.39296]","[-0.173437, 0.119753, 0.39296]","[-0.10278090432131554, 0.09886883443510011, 0.3329759847538669]","[[3.280769582305942e-06, 1.516479794836019e-06, 0.0], [1.5164797948360192e-06, 2.8392727609917785e-06, 0.0], [0.0, 0.0, 4.4278380242398425e-06]]",True,,True,True,7,8,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/posterior/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_08_v0008.npz,1787329352.9368403,1787329354.9368815,41,111.42110824584961,67.8255558013916,,,,,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_part_01,SUCCESS,completed,2026-08-21T16:22:35Z
p8_shift_official_20260822_r34,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_09,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_09_attempt_01,SHIFT_BLOCK_01,frozen,,R1_command_gain_coupling,pre_calibration,9,PRE_009,"[0.426563, -0.21358, 0.71296]","[0.426563, -0.21358, 0.71296]","[0.38337426325861806, -0.03265139478885923, 0.6619718110767624]","[[3.544002187047917e-05, -2.0349771927396005e-05, 0.0], [-2.0349771927396005e-05, 6.61534673459134e-05, 0.0], [0.0, 0.0, 4.19272694149105e-06]]",True,,True,True,8,9,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/posterior/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_09_v0009.npz,1787329356.9492068,1787329358.9492488,40,91.79925918579102,64.29243087768555,,,,,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_part_01,SUCCESS,completed,2026-08-21T16:22:39Z
p8_shift_official_20260822_r34,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_10,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_10_attempt_01,SHIFT_BLOCK_01,frozen,,R1_command_gain_coupling,pre_calibration,10,PRE_010,"[-0.323437, -0.01358, -0.50304]","[-0.323437, -0.01358, -0.50304]","[-0.23943590934907333, -0.03654673474186, -0.4192026415420184]","[[3.1336182039918714e-06, -4.907051827903075e-06, 0.0], [-4.907051827903075e-06, 1.6129593967993663e-05, 0.0], [0.0, 0.0, 5.64699349788811e-07]]",True,,True,True,9,10,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/posterior/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_10_v0010.npz,1787329360.9959419,1787329362.9959776,40,102.4467945098877,68.76182556152344,,,,,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_part_01,SUCCESS,completed,2026-08-21T16:22:43Z
p8_shift_official_20260822_r34,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_11,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_11_attempt_01,SHIFT_BLOCK_01,frozen,,R1_command_gain_coupling,pre_calibration,11,PRE_011,"[0.276563, 0.18642, -0.18304]","[0.276563, 0.18642, -0.18304]","[0.22545612558479083, 0.09424057263994712, -0.152468481410881]","[[2.505617854500129e-06, 1.0869693889230373e-06, 0.0], [1.0869693889230373e-06, 4.75548562200909e-06, 0.0], [0.0, 0.0, 5.582799162918974e-06]]",True,,True,True,10,11,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/posterior/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_11_v0011.npz,1787329365.0354626,1787329367.0354898,40,95.0019359588623,55.815696716308594,,,,,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_part_01,SUCCESS,completed,2026-08-21T16:22:47Z
p8_shift_official_20260822_r34,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_12,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_12_attempt_01,SHIFT_BLOCK_01,frozen,,R1_command_gain_coupling,pre_calibration,12,PRE_012,"[-0.023438, -0.146914, 0.13696]","[-0.023438, -0.146914, 0.13696]","[0.0038357630015471425, -0.0031737975922485383, 0.057076346271266405]","[[3.185549598802593e-07, 4.5324909583639756e-07, 0.0], [4.5324909583639756e-07, 1.236401945930919e-06, 0.0], [0.0, 0.0, 1.0865440384632263e-05]]",True,,True,True,11,12,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/posterior/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_CALIBRATION_12_v0012.npz,1787329369.1482532,1787329371.1482909,40,101.74560546875,88.44947814941406,,,,,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_part_01,SUCCESS,completed,2026-08-21T16:22:51Z
p8_shift_official_20260822_r34,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_MONITOR_01,R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_MONITOR_01_attempt_01,SHIFT_BLOCK_01,frozen,,R1_command_gain_coupling,pre_monitor,1,MON_001,"[0.3, 0.0, 0.0]","[0.3, 0.0, 0.0]","[0.24096924950976575, 0.017651104225179945, 0.023395008064587455]","[[1.0824778874261954e-06, -7.882353615293866e-08, 0.0], [-7.882353615293864e-08, 9.472802535833544e-07, 0.0], [0.0, 0.0, 5.232840160920549e-06]]",True,,False,False,12,12,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/posterior/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_PRE_MONITOR_01_v0012.npz,1787329373.1860714,1787329375.1861036,39,98.91796112060547,54.779767990112305,0.49375985673414574,False,,,/home/unitree/lly/p8_real/p8_shift_official_20260822_r34/bags/R1_command_gain_coupling_SHIFT_BLOCK_01_frozen_part_01,SUCCESS,completed,2026-08-21T16:22:55Z
