scenario,seed,method,recovery_trial,rolling_rmse,target_rmse
replication030_gain_recoupling,20101,frozen,4,0.1395800848858571,0.09717897823563537
replication030_gain_recoupling,20102,frozen,4,0.15017137288411359,0.09208763988071805
replication030_gain_recoupling,20103,frozen,4,0.12940418878014592,0.08017287866517232
replication030_gain_recoupling,20104,frozen,4,0.12641185022859647,0.08692341359552466
replication030_gain_recoupling,20105,frozen,4,0.13615154735440088,0.10248993616115165
replication030_gain_recoupling,20106,frozen,4,0.13553021330991055,0.08121482338077989
replication030_gain_recoupling,20107,frozen,4,0.14506763153717636,0.10508067101438454
replication030_gain_recoupling,20108,frozen,4,0.13978853129257982,0.0836094238004136
replication030_gain_recoupling,20109,frozen,4,0.14138164252783514,0.07940575952235764
replication030_gain_recoupling,20110,frozen,4,0.14219755716036817,0.08523010018197916
replication030_gain_recoupling,20111,frozen,4,0.1441545117028323,0.08468449259408353
replication030_gain_recoupling,20112,frozen,4,0.14384941721292616,0.09097469659115105
replication030_gain_recoupling,20113,frozen,4,0.14281082623354188,0.08119838159567537
replication030_gain_recoupling,20114,frozen,4,0.12994209257745415,0.09592080552561537
replication030_gain_recoupling,20115,frozen,4,0.1416208003187941,0.09812072273099397
replication030_gain_recoupling,20116,frozen,4,0.13426816557984828,0.08577762119849064
replication030_gain_recoupling,20117,frozen,4,0.13527759487019134,0.08499066671945979
replication030_gain_recoupling,20118,frozen,4,0.1335746425713878,0.099906223260545
replication030_gain_recoupling,20119,frozen,4,0.13521137751386766,0.08976200067648107
replication030_gain_recoupling,20120,frozen,4,0.1397547129583326,0.09393210154867002
replication030_gain_recoupling,20121,frozen,4,0.12904205474494532,0.09641652495319339
replication030_gain_recoupling,20122,frozen,4,0.15651607568752607,0.09627342135742231
replication030_gain_recoupling,20123,frozen,4,0.12215590500762953,0.07672519854940653
replication030_gain_recoupling,20124,frozen,4,0.13921628829686827,0.09663444328669146
replication030_gain_recoupling,20125,frozen,4,0.13892370248412558,0.10064804505908422
replication030_gain_recoupling,20126,frozen,4,0.14698601712370493,0.10639419548409684
replication030_gain_recoupling,20127,frozen,4,0.13907833851557766,0.08044119922274713
replication030_gain_recoupling,20128,frozen,4,0.18203768648193436,0.10735714925109797
replication030_gain_recoupling,20129,frozen,4,0.1401510373538982,0.09819970890368665
replication030_gain_recoupling,20130,frozen,4,0.14502778053993162,0.08184112098757232
replication030_gain_recoupling,20131,frozen,4,0.13428594497344842,0.0852609035081925
replication030_gain_recoupling,20132,frozen,4,0.1202446965542761,0.08266079012642798
replication030_gain_recoupling,20133,frozen,4,0.15279878671066188,0.09319861706330573
replication030_gain_recoupling,20134,frozen,4,0.1496673418665256,0.09472278155267967
replication030_gain_recoupling,20135,frozen,4,0.1504852092138046,0.10870480261910957
