planned_unit_id,block_id,position,method_id,route_order
NAV_BLOCK_09_B1_dense,NAV_BLOCK_09,2,B1_dense,BA
NAV_BLOCK_09_B2_lhs,NAV_BLOCK_09,3,B2_lhs,AB
NAV_BLOCK_09_B3_sobol,NAV_BLOCK_09,4,B3_sobol,BA
NAV_BLOCK_09_B4_d_opt,NAV_BLOCK_09,5,B4_d_opt,AB
NAV_BLOCK_09_B5_active_no_task,NAV_BLOCK_09,6,B5_active_no_task,BA
NAV_BLOCK_09_B6_random,NAV_BLOCK_09,7,B6_random,AB
NAV_BLOCK_09_B8_full,NAV_BLOCK_09,8,B8_full,BA
NAV_BLOCK_10_B1_dense,NAV_BLOCK_10,1,B1_dense,AB
NAV_BLOCK_10_B2_lhs,NAV_BLOCK_10,2,B2_lhs,BA
NAV_BLOCK_10_B3_sobol,NAV_BLOCK_10,3,B3_sobol,AB
NAV_BLOCK_10_B4_d_opt,NAV_BLOCK_10,4,B4_d_opt,BA
NAV_BLOCK_10_B5_active_no_task,NAV_BLOCK_10,5,B5_active_no_task,AB
NAV_BLOCK_10_B6_random,NAV_BLOCK_10,6,B6_random,BA
NAV_BLOCK_10_B8_full,NAV_BLOCK_10,7,B8_full,AB
NAV_BLOCK_10_B0_raw,NAV_BLOCK_10,8,B0_raw,BA
NAV_BLOCK_11_B2_lhs,NAV_BLOCK_11,1,B2_lhs,AB
NAV_BLOCK_11_B3_sobol,NAV_BLOCK_11,2,B3_sobol,BA
NAV_BLOCK_11_B4_d_opt,NAV_BLOCK_11,3,B4_d_opt,AB
NAV_BLOCK_11_B5_active_no_task,NAV_BLOCK_11,4,B5_active_no_task,BA
NAV_BLOCK_11_B6_random,NAV_BLOCK_11,5,B6_random,AB
NAV_BLOCK_11_B8_full,NAV_BLOCK_11,6,B8_full,BA
NAV_BLOCK_11_B0_raw,NAV_BLOCK_11,7,B0_raw,AB
NAV_BLOCK_11_B1_dense,NAV_BLOCK_11,8,B1_dense,BA
NAV_BLOCK_12_B3_sobol,NAV_BLOCK_12,1,B3_sobol,AB
NAV_BLOCK_12_B4_d_opt,NAV_BLOCK_12,2,B4_d_opt,BA
NAV_BLOCK_12_B5_active_no_task,NAV_BLOCK_12,3,B5_active_no_task,AB
NAV_BLOCK_12_B6_random,NAV_BLOCK_12,4,B6_random,BA
NAV_BLOCK_12_B8_full,NAV_BLOCK_12,5,B8_full,AB
NAV_BLOCK_12_B0_raw,NAV_BLOCK_12,6,B0_raw,BA
NAV_BLOCK_12_B1_dense,NAV_BLOCK_12,7,B1_dense,AB
NAV_BLOCK_12_B2_lhs,NAV_BLOCK_12,8,B2_lhs,BA
NAV_BLOCK_13_B4_d_opt,NAV_BLOCK_13,1,B4_d_opt,AB
NAV_BLOCK_13_B5_active_no_task,NAV_BLOCK_13,2,B5_active_no_task,BA
NAV_BLOCK_13_B6_random,NAV_BLOCK_13,3,B6_random,AB
NAV_BLOCK_13_B8_full,NAV_BLOCK_13,4,B8_full,BA
NAV_BLOCK_13_B0_raw,NAV_BLOCK_13,5,B0_raw,AB
NAV_BLOCK_13_B1_dense,NAV_BLOCK_13,6,B1_dense,BA
NAV_BLOCK_13_B2_lhs,NAV_BLOCK_13,7,B2_lhs,AB
NAV_BLOCK_13_B3_sobol,NAV_BLOCK_13,8,B3_sobol,BA
NAV_BLOCK_14_B5_active_no_task,NAV_BLOCK_14,1,B5_active_no_task,AB
NAV_BLOCK_14_B6_random,NAV_BLOCK_14,2,B6_random,BA
NAV_BLOCK_14_B8_full,NAV_BLOCK_14,3,B8_full,AB
NAV_BLOCK_14_B0_raw,NAV_BLOCK_14,4,B0_raw,BA
NAV_BLOCK_14_B1_dense,NAV_BLOCK_14,5,B1_dense,AB
NAV_BLOCK_14_B2_lhs,NAV_BLOCK_14,6,B2_lhs,BA
NAV_BLOCK_14_B3_sobol,NAV_BLOCK_14,7,B3_sobol,AB
NAV_BLOCK_14_B4_d_opt,NAV_BLOCK_14,8,B4_d_opt,BA
NAV_BLOCK_15_B6_random,NAV_BLOCK_15,1,B6_random,AB
NAV_BLOCK_15_B8_full,NAV_BLOCK_15,2,B8_full,BA
NAV_BLOCK_15_B0_raw,NAV_BLOCK_15,3,B0_raw,AB
NAV_BLOCK_15_B1_dense,NAV_BLOCK_15,4,B1_dense,BA
NAV_BLOCK_15_B2_lhs,NAV_BLOCK_15,5,B2_lhs,AB
NAV_BLOCK_15_B3_sobol,NAV_BLOCK_15,6,B3_sobol,BA
NAV_BLOCK_15_B4_d_opt,NAV_BLOCK_15,7,B4_d_opt,AB
NAV_BLOCK_15_B5_active_no_task,NAV_BLOCK_15,8,B5_active_no_task,BA
NAV_BLOCK_16_B8_full,NAV_BLOCK_16,1,B8_full,AB
NAV_BLOCK_16_B0_raw,NAV_BLOCK_16,2,B0_raw,BA
NAV_BLOCK_16_B1_dense,NAV_BLOCK_16,3,B1_dense,AB
NAV_BLOCK_16_B2_lhs,NAV_BLOCK_16,4,B2_lhs,BA
NAV_BLOCK_16_B3_sobol,NAV_BLOCK_16,5,B3_sobol,AB
NAV_BLOCK_16_B4_d_opt,NAV_BLOCK_16,6,B4_d_opt,BA
NAV_BLOCK_16_B5_active_no_task,NAV_BLOCK_16,7,B5_active_no_task,AB
NAV_BLOCK_16_B6_random,NAV_BLOCK_16,8,B6_random,BA
NAV_BLOCK_17_B0_raw,NAV_BLOCK_17,1,B0_raw,AB
NAV_BLOCK_17_B1_dense,NAV_BLOCK_17,2,B1_dense,BA
NAV_BLOCK_17_B2_lhs,NAV_BLOCK_17,3,B2_lhs,AB
NAV_BLOCK_17_B3_sobol,NAV_BLOCK_17,4,B3_sobol,BA
NAV_BLOCK_17_B4_d_opt,NAV_BLOCK_17,5,B4_d_opt,AB
NAV_BLOCK_17_B5_active_no_task,NAV_BLOCK_17,6,B5_active_no_task,BA
NAV_BLOCK_17_B6_random,NAV_BLOCK_17,7,B6_random,AB
NAV_BLOCK_17_B8_full,NAV_BLOCK_17,8,B8_full,BA
NAV_BLOCK_18_B1_dense,NAV_BLOCK_18,1,B1_dense,AB
NAV_BLOCK_18_B2_lhs,NAV_BLOCK_18,2,B2_lhs,BA
NAV_BLOCK_18_B3_sobol,NAV_BLOCK_18,3,B3_sobol,AB
NAV_BLOCK_18_B4_d_opt,NAV_BLOCK_18,4,B4_d_opt,BA
NAV_BLOCK_18_B5_active_no_task,NAV_BLOCK_18,5,B5_active_no_task,AB
NAV_BLOCK_18_B6_random,NAV_BLOCK_18,6,B6_random,BA
