scenario,seed,method,context_stage,monitor_trial,cmd_vx,cmd_vy,cmd_wz,measured_vx,measured_vy,measured_wz,predicted_vx,predicted_vy,predicted_wz,normalized_nis,cusum,alarm,valid,safety_events
ablate_friction_payload,12101,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.18403507776016892,0.024225650351460425,-0.282610914075833,-0.2528501413763492,0.006882618722457008,-0.31753644760782407,0.5984304675004236,0.0,False,True,
ablate_friction_payload,12102,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2742832202340921,0.02844334749616066,-0.31760198338021656,-0.28604095309185906,-0.0036621425913482466,-0.2966837232076508,0.15172886904902852,0.0,False,True,
ablate_friction_payload,12103,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2642774574593677,0.02405427290479468,-0.3165872782257174,-0.2876070325520483,-0.004863100722074738,-0.2995431810747814,0.16645887646006688,0.0,False,True,
ablate_friction_payload,12104,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2641085873547169,0.02571083080590677,-0.32104515734025163,-0.2558679405638108,0.01054304883517112,-0.3124152286975857,0.036112390098039085,0.0,False,True,
ablate_friction_payload,12105,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.3317894266977307,0.025946209183327854,-0.3769354695764485,-0.3097252830432918,0.00039984064803652336,-0.2984560583109108,0.4810880195529556,0.0,False,True,
ablate_friction_payload,12106,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.233589113046734,0.0317873180069954,-0.3150279716807291,-0.3042561537286987,-0.007277823207239908,-0.2834768950884511,0.761893521823639,0.0,False,True,
ablate_friction_payload,12107,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2776886732271685,0.03614662563633032,-0.31346783621076085,-0.29441482091277776,-0.0015383742423865107,-0.29160958213980187,0.21179539946358542,0.0,False,True,
ablate_friction_payload,12108,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.29059294772160776,0.053386446182511614,-0.34337877721556936,-0.29001217928095036,0.005526424343576134,-0.2954096450459316,0.3738050691898145,0.0,False,True,
ablate_friction_payload,12109,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.10482263898927165,-0.005607296447857314,-0.1165657352718747,-0.2932294924761175,-0.01502768535964476,-0.2980925161285586,5.659213866420564,4.159213866420564,False,True,
ablate_friction_payload,12110,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.29636222308431615,0.024088024892255856,-0.36460814621751314,-0.29235260881936886,0.002498365321872481,-0.29619912437161766,0.3229227169026335,0.0,False,True,
ablate_friction_payload,12111,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.23615768705255807,0.020519292766834053,-0.3237423433932921,-0.26771025558270123,0.004835739729572509,-0.3144922574572285,0.13815759097686245,0.0,False,True,
ablate_friction_payload,12112,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.16752852048970174,0.009172872436796759,-0.2586803707909293,-0.25483628053498475,0.004885258318215811,-0.3154666020058994,0.9674827819632933,0.0,False,True,
ablate_friction_payload,12113,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.27188428023474775,0.0248696115507827,-0.332192323488964,-0.3014217345829068,-0.013287990230856495,-0.2835955660613804,0.3896377517228517,0.0,False,True,
ablate_friction_payload,12114,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.3039852025172697,0.03557466581153378,-0.36588625534314606,-0.2872086515079127,-0.004008005995039059,-0.29153636330156624,0.5201223271649675,0.0,False,True,
ablate_friction_payload,12115,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.11602713137154984,0.0009368182220768331,-0.16532123233202026,-0.29113453854270294,-0.013414304014676512,-0.2956189389517477,4.11986542877875,2.61986542877875,False,True,
ablate_friction_payload,12116,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.30970376622589635,0.02673228566835644,-0.3643685286119387,-0.3030786271481148,0.0018019898362634365,-0.3002975623941106,0.30970284624173394,0.0,False,True,
ablate_friction_payload,12117,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.31060708126564174,0.05218246034457142,-0.3368369226164271,-0.3076125708019733,0.003582100044759145,-0.3046558379513291,0.31560936108275134,0.0,False,True,
ablate_friction_payload,12118,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2979985924943658,0.018781551313913222,-0.35742064557392356,-0.3051490671189775,-0.007482481995398193,-0.29855540022620314,0.2812743272927658,0.0,False,True,
ablate_friction_payload,12119,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.20909057188551938,0.019409333001608898,-0.3155068319472471,-0.2606985798457621,0.001604442726758778,-0.33612427976607945,0.34550267801836076,0.0,False,True,
ablate_friction_payload,12120,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2766358229918475,0.02663681157902218,-0.34732585910013836,-0.2948057494364141,3.809591072894138e-05,-0.3139420593230661,0.17704460249982204,0.0,False,True,
ablate_friction_payload,12121,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.30214741880773477,0.055524268554049024,-0.3841705757402992,-0.30396060169719696,-0.004205405375356902,-0.2949661709886309,0.777269728902355,0.0,False,True,
ablate_friction_payload,12122,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.31398580608973103,0.03289098400684849,-0.381113440340995,-0.30104212250448203,-0.0018013771154238032,-0.30821538516419444,0.45607077557982184,0.0,False,True,
ablate_friction_payload,12123,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.22299479839377784,0.03956607730430017,-0.3402300470952943,-0.26837215456264635,0.0075807605886453935,-0.31094166540803536,0.3834032170333039,0.0,False,True,
ablate_friction_payload,12124,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.3150201198940926,0.025440709206151536,-0.36711085677455274,-0.2911206612888719,-9.438680169337218e-05,-0.3016600627654423,0.38159938614015426,0.0,False,True,
ablate_friction_payload,12125,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.21852664375777864,-0.0005664855210819523,-0.2849428502364852,-0.28616276818335956,-0.0035412360835088454,-0.29415365046823694,0.4930801625310215,0.0,False,True,
ablate_friction_payload,12126,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.2379689065669886,0.02879814331167528,-0.3071331325597414,-0.29758905790237883,-0.00835113428163665,-0.28872918732504954,0.5528841827219847,0.0,False,True,
ablate_friction_payload,12127,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.3132484549178378,0.024716782529317024,-0.3555785311095259,-0.3011346238807668,-0.008364042937504989,-0.2894076998966228,0.38844008609002206,0.0,False,True,
ablate_friction_payload,12128,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.3210458002181955,0.04110379208353908,-0.3657758744898234,-0.30944384377936623,0.0037783039962560154,-0.29973913142241,0.415258682673235,0.0,False,True,
ablate_friction_payload,12129,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.29741183216768247,0.022301639151991022,-0.3408992036261223,-0.3018309127129964,-0.007525005871508526,-0.28971818297223506,0.2497781359395811,0.0,False,True,
ablate_friction_payload,12130,frozen,pre_shift,1,-0.3,0.0,-0.35,-0.303030236986303,0.03336321330766299,-0.34058539896332635,-0.3092131935111949,0.0004291431305678676,-0.2950981741199804,0.2381851968903809,0.0,False,True,
